ano,tipoProposicao,numero,ementa,verdict_ccj,clausula,aprovacao_verdict,contradiz_parecer,documento_id
2022,Projeto de Decreto Legislativo,245,"Concede	o	título	de	Cidadã
Honorária de Brasília à Sra. Lydia Garcia.
",admissivel_com_ressalva,"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 245/2022 no âmbito da CCJ, na forma do substitutivo anexo.",aprovada,ressalva_aprovada,121282
2022,Projeto de Decreto Legislativo,250,Concede Título de Cidadão Benemérito de Brasília ao Senhor Leonardo Santos.,admissivel,"o nº 334/2023. O Projeto em tela foi apenas o segundo do gênero apresentado pelo Deputado Delmasso na condição de primeiro subscritor na sessão legislativa do ano de 2022. III – CONCLUSÃO Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 250/2022 no âmbito desta Comissão de Constituição e Justiça.",pendente,proposicao_pendente,103274
2022,Projeto de Decreto Legislativo,251,Concede Título de Cidadão Benemérito de Brasília ao Senhor Humberto Alves de Freitas.,admissivel,"§ 1º do art. 2º da Resolução nº 334/2023. Consulta ao sistema PLe nos informa que foi o quarto PDL congênere apresentado pelo autor, na condição de primeiro ou único subscritor, em 2022. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 251/2022 no âmbito da CCJ.",pendente,proposicao_pendente,113258
2022,Projeto de Decreto Legislativo,253,Concede Título de Cidadão Benemérito de Brasília ao Senhor Édson Pereira Pires.,inadmissivel,"Como exposto, o Projeto não cumpre o requisito pessoal previsto e tampouco respeita as regras de propositura estabelecidas no art. 2º, da Resolução nº 334/2023. Pelo exposto, manifestamos voto pela INADMISSIBILIDADE do Projeto de Decreto Legislativo nº 253/2022 no âmbito desta Comissão de Constituição e Justiça.",pendente,proposicao_pendente,91215
2022,Projeto de Decreto Legislativo,253,Concede Título de Cidadão Benemérito de Brasília ao Senhor Édson Pereira Pires.,inadmissivel,"Pelo exposto, manifestamos voto pela INADMISSIBILIDADE do Projeto de Decreto Legislativo nº 253/2022 no âmbito desta Comissão de Constituição e Justiça.",pendente,proposicao_pendente,89909
2022,Projeto de Decreto Legislativo,260,Concede o Título de Cidadã Honorária de Brasília à Senhora MARLUCE GUEDES FERREIRA.,admissivel,"da Resolução nº 334/2023. O Projeto em tela foi apenas o primeiro do gênero apresentado pelo Deputado João Cardoso na condição de primeiro subscritor na sessão legislativa do ano de 2022. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 260/2022 no âmbito desta Comissão de Constituição e Justiça.",aprovada,nao,97784
2022,Projeto de Decreto Legislativo,261,Concede o Título de Cidadão Honorário de Brasília ao Senhor JORGE EDUARDO DEISTER.,admissivel,"o na condição de primeiro subscritor na sessão legislativa de 2021. Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 261/2022 no âmbito desta Comissão de Constituição e Justiça.",aprovada,nao,97986
2022,Projeto de Decreto Legislativo,262,Concede Título de Cidadão Honorário de Brasília ao Senhor Paccelli José Maracci Zahler.,admissivel,"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 262/2022 no âmbito da CCJ.",pendente,proposicao_pendente,275140
2022,Projeto de Decreto Legislativo,266," Concede  Título de Cidadã Honorária de Brasília a senhora MEIRE LÚCIA GOMES MONTEIRO MOTA COELHO.
",admissivel,"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 266/2021 no âmbito desta Comissão de Constituição e Justiça.",aprovada,nao,111496
2022,Projeto de Decreto Legislativo,270,“Concede o Título de Cidadã Honorária de Brasília à Promotora de Justiça Maria da Graça Peres Soares Amorim”,admissivel,"Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 270/2022 no âmbito desta Comissão de Constituição e Justiça.",pendente,proposicao_pendente,78710
