deputado,chave,sessao_legislativa,ano,ordinarias,presencas,ausencias,ausencias_cobertas_por_diaria,ausencias_sem_cobertura_conhecida,diarias_recebidas,dias_de_afastamento_autorizado,ordinarias_no_afastamento,presencas_no_afastamento,atos_da_mesa,as_of
CHICO VIGILANTE,CHICO VIGILANTE,33,2023,107,102,5,0,5,0,0,0,0,,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,34,2024,108,84,24,0,24,0,0,0,0,,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,35,2025,124,81,43,0,43,0,0,0,0,,2026-09-01
CHICO VIGILANTE,CHICO VIGILANTE,36,2026,68,49,19,0,19,0,0,0,0,,2026-09-01
DANIEL DONIZET,DANIEL DONIZET,33,2023,107,56,51,0,51,1,11,0,0,,2026-09-01
DANIEL DONIZET,DANIEL DONIZET,34,2024,108,50,58,3,55,1,11,4,1,Ato da Mesa Diretora nº 113/2027,2026-09-01
DANIEL DONIZET,DANIEL DONIZET,35,2025,124,20,104,0,104,1,11,0,0,,2026-09-01
DANIEL DONIZET,DANIEL DONIZET,36,2026,68,8,60,0,60,1,11,0,0,,2026-09-01
DAYSE AMARILIO,DAYSE AMARILIO,33,2023,107,91,16,0,16,2,7,0,0,,2026-09-01
DAYSE AMARILIO,DAYSE AMARILIO,34,2024,108,74,34,2,32,2,7,2,0,Ato da Mesa Diretora nº 139/2024; Ato da Mesa Diretora nº 160/2024,2026-09-01
DAYSE AMARILIO,DAYSE AMARILIO,35,2025,124,49,75,0,75,2,7,0,0,,2026-09-01
DAYSE AMARILIO,DAYSE AMARILIO,36,2026,68,20,48,0,48,2,7,0,0,,2026-09-01
DOUTORA JANE,DOUTORA JANE,33,2023,107,88,19,3,16,4,31,3,0,Ato da Mesa Diretora nº 168/2023.,2026-09-01
DOUTORA JANE,DOUTORA JANE,34,2024,108,67,41,7,34,4,31,7,0,Ato da Mesa Diretora nº 126/2024; Ato da Mesa Diretora nº 51/2024,2026-09-01
DOUTORA JANE,DOUTORA JANE,35,2025,124,56,68,2,66,4,31,2,0,Ato da Mesa Diretora nº 10/2025,2026-09-01
DOUTORA JANE,DOUTORA JANE,36,2026,68,39,29,0,29,4,31,0,0,,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,33,2023,107,68,39,0,39,4,10,0,0,,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,34,2024,108,75,33,2,31,4,10,2,0,Ato da Mesa Diretora nº 25/2024,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,35,2025,124,64,60,1,59,4,10,1,0,Ato da Mesa Diretora nº 128/2025,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,36,2026,68,34,34,0,34,4,10,0,0,,2026-09-01
FÁBIO FELIX,FABIO FELIX,33,2023,107,97,10,0,10,0,0,0,0,,2026-09-01
FÁBIO FELIX,FABIO FELIX,34,2024,108,94,14,0,14,0,0,0,0,,2026-09-01
FÁBIO FELIX,FABIO FELIX,35,2025,124,74,50,0,50,0,0,0,0,,2026-09-01
FÁBIO FELIX,FABIO FELIX,36,2026,68,49,19,0,19,0,0,0,0,,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,33,2023,107,105,2,0,2,0,0,0,0,,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,34,2024,108,99,9,0,9,0,0,0,0,,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,35,2025,124,96,28,0,28,0,0,0,0,,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,36,2026,68,50,18,0,18,0,0,0,0,,2026-09-01
