deputado,sessao_legislativa,ano,votacoes_nominais_presente,votou,presente_e_nao_votou,votacoes_nominais_da_sessao_legislativa,nao_votou,votos_sim,votos_nao,abstencoes,as_of
CHICO VIGILANTE,33,2023,137,114,23,138,24,87,27,0,2026-08-27
CHICO VIGILANTE,34,2024,113,104,9,122,18,78,25,1,2026-08-27
CHICO VIGILANTE,35,2025,160,142,18,160,18,107,33,2,2026-08-27
CHICO VIGILANTE,36,2026,62,52,10,62,10,37,12,3,2026-08-27
DANIEL DONIZET,33,2023,109,70,39,138,68,52,18,0,2026-08-27
DANIEL DONIZET,34,2024,93,65,28,122,57,49,16,0,2026-08-27
DANIEL DONIZET,35,2025,115,90,25,160,70,77,12,1,2026-08-27
DANIEL DONIZET,36,2026,7,7,0,62,55,5,2,0,2026-08-27
DAYSE AMARILIO,33,2023,133,124,9,138,14,99,24,1,2026-08-27
DAYSE AMARILIO,34,2024,117,109,8,122,13,85,21,3,2026-08-27
DAYSE AMARILIO,35,2025,150,111,39,160,49,76,32,3,2026-08-27
DAYSE AMARILIO,36,2026,51,50,1,62,12,39,11,0,2026-08-27
DOUTORA JANE,33,2023,132,99,33,138,39,75,24,0,2026-08-27
DOUTORA JANE,34,2024,96,79,17,122,43,66,12,1,2026-08-27
DOUTORA JANE,35,2025,138,112,26,160,48,97,12,3,2026-08-27
DOUTORA JANE,36,2026,56,53,3,62,9,35,11,7,2026-08-27
EDUARDO PEDROSA,33,2023,115,100,15,138,38,79,21,0,2026-08-27
EDUARDO PEDROSA,34,2024,122,111,11,122,11,92,19,0,2026-08-27
EDUARDO PEDROSA,35,2025,158,137,21,160,23,123,13,1,2026-08-27
EDUARDO PEDROSA,36,2026,62,58,4,62,4,41,17,0,2026-08-27
FÁBIO FELIX,33,2023,131,120,11,138,18,94,23,3,2026-08-27
FÁBIO FELIX,34,2024,122,112,10,122,10,85,26,1,2026-08-27
FÁBIO FELIX,35,2025,160,131,29,160,29,83,41,7,2026-08-27
FÁBIO FELIX,36,2026,62,53,9,62,9,41,12,0,2026-08-27
GABRIEL MAGNO,33,2023,138,131,7,138,7,101,27,3,2026-08-27
GABRIEL MAGNO,34,2024,118,110,8,122,12,81,26,3,2026-08-27
GABRIEL MAGNO,35,2025,160,130,30,160,30,82,45,3,2026-08-27
GABRIEL MAGNO,36,2026,62,49,13,62,13,37,12,0,2026-08-27
HERMETO,33,2023,129,100,29,138,38,75,25,0,2026-08-27
HERMETO,34,2024,112,89,23,122,33,69,18,2,2026-08-27
HERMETO,35,2025,154,144,10,160,16,128,15,1,2026-08-27
HERMETO,36,2026,62,44,18,62,18,26,18,0,2026-08-27
IOLANDO,33,2023,119,105,14,138,33,72,31,2,2026-08-27
IOLANDO,34,2024,114,99,15,122,23,80,19,0,2026-08-27
IOLANDO,35,2025,137,125,12,160,35,107,18,0,2026-08-27
IOLANDO,36,2026,62,49,13,62,13,34,15,0,2026-08-27
JAQUELINE SILVA,33,2023,138,117,21,138,21,91,26,0,2026-08-27
JAQUELINE SILVA,34,2024,122,110,12,122,12,92,18,0,2026-08-27
JAQUELINE SILVA,35,2025,160,158,2,160,2,143,15,0,2026-08-27
JAQUELINE SILVA,36,2026,62,55,7,62,7,37,18,0,2026-08-27
JOAQUIM RORIZ NETO,33,2023,138,113,25,138,25,83,29,1,2026-08-27
JOAQUIM RORIZ NETO,34,2024,97,74,23,122,48,59,15,0,2026-08-27
JOAQUIM RORIZ NETO,35,2025,125,103,22,160,57,87,16,0,2026-08-27
JOAQUIM RORIZ NETO,36,2026,55,45,10,62,17,32,13,0,2026-08-27
JORGE VIANNA,33,2023,113,85,28,138,53,67,18,0,2026-08-27
JORGE VIANNA,34,2024,94,65,29,122,57,52,13,0,2026-08-27
JORGE VIANNA,35,2025,141,112,29,160,48,103,5,4,2026-08-27
JORGE VIANNA,36,2026,58,47,11,62,15,27,16,4,2026-08-27
JOÃO CARDOSO,33,2023,119,81,38,138,57,65,16,0,2026-08-27
JOÃO CARDOSO,34,2024,103,79,24,122,43,65,14,0,2026-08-27
JOÃO CARDOSO,35,2025,135,112,23,160,48,95,17,0,2026-08-27
JOÃO CARDOSO,36,2026,38,25,13,62,37,22,3,0,2026-08-27
MARTINS MACHADO,33,2023,138,121,17,138,17,93,28,0,2026-08-27
MARTINS MACHADO,34,2024,122,114,8,122,8,95,19,0,2026-08-27
MARTINS MACHADO,35,2025,159,148,11,160,12,131,17,0,2026-08-27
MARTINS MACHADO,36,2026,59,58,1,62,4,41,17,0,2026-08-27
MAX MACIEL,33,2023,138,123,15,138,15,97,25,1,2026-08-27
MAX MACIEL,34,2024,122,103,19,122,19,76,26,1,2026-08-27
MAX MACIEL,35,2025,160,135,25,160,25,90,37,8,2026-08-27
MAX MACIEL,36,2026,60,44,16,62,18,29,11,4,2026-08-27
PASTOR DANIEL DE CASTRO,33,2023,138,128,10,138,10,96,31,1,2026-08-27
PASTOR DANIEL DE CASTRO,34,2024,119,114,5,122,8,94,17,3,2026-08-27
PASTOR DANIEL DE CASTRO,35,2025,142,129,13,160,31,111,14,4,2026-08-27
PASTOR DANIEL DE CASTRO,36,2026,60,60,0,62,2,42,18,0,2026-08-27
PAULA BELMONTE,33,2023,134,105,29,138,33,77,28,0,2026-08-27
PAULA BELMONTE,34,2024,97,66,31,122,56,57,9,0,2026-08-27
PAULA BELMONTE,35,2025,106,76,30,160,84,61,14,1,2026-08-27
PAULA BELMONTE,36,2026,51,23,28,62,39,18,5,0,2026-08-27
PEPA,33,2023,117,97,20,138,41,70,27,0,2026-08-27
PEPA,34,2024,117,105,12,122,17,86,19,0,2026-08-27
PEPA,35,2025,155,148,7,160,12,133,15,0,2026-08-27
PEPA,36,2026,62,59,3,62,3,43,16,0,2026-08-27
RICARDO VALE,33,2023,135,130,5,138,8,102,28,0,2026-08-27
RICARDO VALE,34,2024,114,106,8,122,16,82,23,1,2026-08-27
RICARDO VALE,35,2025,145,128,17,160,32,98,29,1,2026-08-27
RICARDO VALE,36,2026,62,55,7,62,7,42,12,1,2026-08-27
ROBÉRIO NEGREIROS,33,2023,126,114,12,138,24,89,24,1,2026-08-27
ROBÉRIO NEGREIROS,34,2024,110,89,21,122,33,74,15,0,2026-08-27
ROBÉRIO NEGREIROS,35,2025,130,86,44,160,74,76,9,1,2026-08-27
ROBÉRIO NEGREIROS,36,2026,48,32,16,62,30,22,10,0,2026-08-27
ROGERIO MORRO DA CRUZ,33,2023,138,115,23,138,23,88,27,0,2026-08-27
ROGERIO MORRO DA CRUZ,34,2024,112,101,11,122,21,85,16,0,2026-08-27
ROGERIO MORRO DA CRUZ,35,2025,155,142,13,160,18,124,18,0,2026-08-27
ROGERIO MORRO DA CRUZ,36,2026,62,57,5,62,5,45,10,2,2026-08-27
ROOSEVELT VILELA,33,2023,132,104,28,138,34,76,27,1,2026-08-27
ROOSEVELT VILELA,34,2024,102,82,20,122,40,67,14,1,2026-08-27
ROOSEVELT VILELA,35,2025,152,131,21,160,29,114,17,0,2026-08-27
ROOSEVELT VILELA,36,2026,55,41,14,62,21,27,14,0,2026-08-27
THIAGO MANZONI,33,2023,136,113,23,138,25,81,30,2,2026-08-27
THIAGO MANZONI,34,2024,114,96,18,122,26,76,16,4,2026-08-27
THIAGO MANZONI,35,2025,154,119,35,160,41,90,19,10,2026-08-27
THIAGO MANZONI,36,2026,62,35,27,62,27,30,5,0,2026-08-27
WELLINGTON LUIZ,33,2023,137,125,12,138,13,101,24,0,2026-08-27
WELLINGTON LUIZ,34,2024,120,109,11,122,13,92,15,2,2026-08-27
WELLINGTON LUIZ,35,2025,156,148,8,160,12,131,17,0,2026-08-27
WELLINGTON LUIZ,36,2026,58,58,0,62,4,40,18,0,2026-08-27
