sessao_legislativa,ano,co_materia,data,dia_da_semana,materia,presentes_no_dia,votantes,presentes_que_nao_votaram,votos_sim,votos_nao,abstencoes,as_of
33,2023,6366,2023-02-08,quarta,BLOCO REQUERIMENTOS 08.02.2023,22,13,9,13,0,0,2026-08-27
33,2023,6396,2023-03-01,quarta,RECURSO Nº 1 /2023,21,13,8,13,0,0,2026-08-27
33,2023,6397,2023-03-01,quarta,BLOCO REQUERIMENTOS 01.03.2023,21,14,7,14,0,0,2026-08-27
33,2023,6399,2023-03-01,quarta,TURNO ÚNICO REQUERIMENTO Nº 217/2023,21,16,5,16,0,0,2026-08-27
33,2023,6037,2023-03-21,terça,2º TURNO PROPOSTA DE EMENDA A LEI ORGÂNICA Nº 46/2022,24,16,8,16,0,0,2026-08-27
33,2023,6379,2023-03-21,terça,BLOCO REQUERIMENTOS 21.03.2023,24,16,8,16,0,0,2026-08-27
33,2023,6635,2023-03-21,terça,TURNO ÚNICO MOÇÃO Nº 57/2023,24,19,5,12,7,0,2026-08-27
33,2023,6381,2023-03-28,terça,1º TURNO DO PROJETO DE LEI  Nº 3/2023,22,15,7,15,0,0,2026-08-27
33,2023,6384,2023-03-28,terça,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 129/2022,22,14,8,14,0,0,2026-08-27
33,2023,6599,2023-03-28,terça,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 13/2023,22,14,8,14,0,0,2026-08-27
33,2023,6601,2023-03-28,terça,PARECER CAS AO PLC Nº 13/2023,22,0,22,0,0,0,2026-08-27
33,2023,6619,2023-03-28,terça,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 12/2023,22,14,8,14,0,0,2026-08-27
33,2023,1106,2023-04-04,terça,VETO TOTAL PROJETO DE LEI Nº 438/2019,20,19,1,19,0,0,2026-08-27
33,2023,6758,2023-04-04,terça,VETO PARCIAL AO PLC Nº 113/2022.,20,18,2,2,18,0,2026-08-27
33,2023,6390,2023-04-11,terça,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 141/2022,22,19,3,19,0,0,2026-08-27
33,2023,6391,2023-04-11,terça,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 141/2022,22,18,4,18,0,0,2026-08-27
33,2023,6794,2023-04-11,terça,PARECER DA CESC AO PROC 04/2023,22,21,1,19,0,2,2026-08-27
33,2023,6015,2023-04-12,quarta,VETO TOTAL PROJETO DE LEI 2886/2022,21,21,0,0,21,0,2026-08-27
33,2023,6365,2023-04-12,quarta,PROJETO DE DECRETO LEGISLATIVO Nº 177/2021,21,14,7,14,0,0,2026-08-27
33,2023,6382,2023-04-12,quarta,2º TURNO DO PROJETO DE LEI  Nº 3/2023,21,16,5,16,0,0,2026-08-27
33,2023,6385,2023-04-12,quarta,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 129/2022,21,16,5,16,0,0,2026-08-27
33,2023,6600,2023-04-12,quarta,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 13/2023,21,15,6,15,0,0,2026-08-27
33,2023,6621,2023-04-12,quarta,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 12/2023,21,14,7,14,0,0,2026-08-27
33,2023,6797,2023-04-19,quarta,BLOCO REQUERIMENTOS E MOÇÕES 19.04.2023,21,13,8,13,0,0,2026-08-27
33,2023,6833,2023-04-26,quarta,BLOCO REQUERIMENTOS 26.04.2023,18,13,5,13,0,0,2026-08-27
33,2023,6852,2023-05-03,quarta,BLOCO MOÇÕES E REQUERIMENTOS 03.05.2023,22,15,7,15,0,0,2026-08-27
33,2023,6894,2023-05-23,terça,TURNO ÚNICO PDL Nº 14/2023,20,14,6,14,0,0,2026-08-27
33,2023,6895,2023-05-23,terça,BLOCO REQUERIMENTOS E MOÇÕES 23.05.2023,20,13,7,13,0,0,2026-08-27
33,2023,6899,2023-05-23,terça,TURNO ÚNICO PDL Nº 181/2021,20,14,6,14,0,0,2026-08-27
33,2023,6806,2023-05-31,quarta,TURNO ÚNICO PDL Nº 204/2021,22,13,9,13,0,0,2026-08-27
33,2023,6907,2023-05-31,quarta,1º TURNO DO PROJETO DE LEI  Nº 399/2023,22,14,8,14,0,0,2026-08-27
33,2023,6310,2023-06-20,terça,1º TURNO DO PROJETO DE LEI  Nº 3069/2022,23,23,0,20,3,0,2026-08-27
33,2023,6991,2023-06-20,terça,1º TURNO PELO Nº 5/2023,23,22,1,22,0,0,2026-08-27
33,2023,7016,2023-06-20,terça,1º TURNO DO PROJETO DE LEI Nº 219/2023,23,23,0,23,0,0,2026-08-27
33,2023,7020,2023-06-20,terça,2º TURNO PL Nº 219/2023,23,23,0,23,0,0,2026-08-27
33,2023,7046,2023-06-20,terça,EMENDA Nº 14 AO PL Nº 3069/2023,23,23,0,8,15,0,2026-08-27
33,2023,7047,2023-06-20,terça,EMENDA Nº 15 AO PL Nº 3069/2023,23,23,0,8,15,0,2026-08-27
33,2023,7048,2023-06-20,terça,EMENDA Nº 16 AO PL Nº 3069/2023,23,23,0,8,15,0,2026-08-27
33,2023,7049,2023-06-20,terça,EMENDA Nº 17 AO PL Nº 3069/2023,23,23,0,7,16,0,2026-08-27
