fonte,entidade,campo_normalizado,grafias,n_arquivos,origem_arquivos,tipo_original,rotulo_original,descricao_original,modulo,publicado_em
ckan,concursos,_id,_id,2,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),int,n/d,n/d,concursos.py,não publicado
ckan,concursos,ato_de_nomeacao,Ato de Nomeação,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-nomeados.ato_de_nomeacao
ckan,concursos,cargo,Cargo,2,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-aprovados-por-cargo-e-categoria.cargo_na_fonte; concurso-2018-nomeados.cargo
ckan,concursos,categoria,Categoria,2,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-aprovados-por-cargo-e-categoria.categoria; concurso-2018-funil.categoria; concurso-2018-nomeados.categoria
ckan,concursos,classificacao_final,Classificação Final,1,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89),numeric,n/d,n/d,concursos.py,não publicado
ckan,concursos,exercicio,Exercício,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,não publicado
ckan,concursos,exoneracao,Exoneração,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,não publicado
ckan,concursos,nome,Nome,2,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-nomeados.nome
ckan,concursos,nomeacao,Nomeação,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-nomeados.data_nomeacao_na_fonte
ckan,concursos,nomeacao_tornada_sem_efeito,Nomeação Tornada sem Efeito,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,concurso-2018-nomeados.nomeacao_tornada_sem_efeito
ckan,concursos,posse,Posse,1,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),text,n/d,n/d,concursos.py,não publicado
