tabela,coluna,natureza,fonte,entidade,campo_original,campo_normalizado,campo_atomico,origem_arquivo,tipo_original,rotulo_original,descricao_original,derivada_de,nota,modulo,tipo_publicado
aprovadas-contra-parecer-agregado,ano,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno; pleservico:proposicao:content[].dataLeitura,"ano extraído de siglaNumeroAno (ex.: 'PL 1492/2024'); quando isso não é possível, cai para dataLeitura — o campo `ano` da API vem sempre nulo",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,base,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,total de linhas do dataset 4 no ano — soma das seis colunas de contradiz_parecer,export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,contradiz,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='sim', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,nao_contradiz,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='nao', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,ressalva_aprovada,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='ressalva_aprovada', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,parecer_sem_clausula,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='parecer_sem_clausula', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,proposicao_pendente,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='proposicao_pendente', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-agregado,indeterminado,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.contradiz_parecer,"contagem de linhas com contradiz_parecer='indeterminado', por ano",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,ano,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno; pleservico:proposicao:content[].dataLeitura,"ano extraído de siglaNumeroAno (ex.: 'PL 1492/2024'); quando isso não é possível, cai para dataLeitura — o campo `ano` da API vem sempre nulo",export.py,contagem (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,tipoProposicao,atomica,pleservico,proposicao,content[].tipoProposicao,content[].tipoproposicao,pleservico:proposicao:content[].tipoProposicao,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,numero,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:proposicao:content[].siglaNumeroAno,número extraído de siglaNumeroAno; aprovadas-contra-parecer-da-ccj's próprio identificador não vem em campo separado na fonte,export.py,chave (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,ementa,atomica,pleservico,proposicao,content[].ementa,content[].ementa,pleservico:proposicao:content[].ementa,POST https://ple.cl.df.gov.br/pleservico/api/public/proposicao/filter?page=38&size=100&sort=,string,n/d,n/d,n/d,n/d,export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,verdict_ccj,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:documento-ativas:[].documentoTextual.html.conteudo,"o mesmo verdict de pareceres-ccj-admissibilidade, restrito à base de pareceres com comissão reconhecida como CCJ (parecer.is_ccj)",export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,clausula,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:documento-ativas:[].documentoTextual.html.conteudo,a mesma cláusula verbatim de pareceres-ccj-admissibilidade.clausula,export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,aprovacao_verdict,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,pleservico:historico-proposicao:content[].descricao; pleservico:historico-proposicao:content[].dataHistorico,"veredito (aprovada/rejeitada/pendente/nao_se_aplica/inclassificavel) lido dos marcadores terminais do histórico de tramitação, na ordem cronológica (approval.derive_verdict)",export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,contradiz_parecer,derivada,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,aprovadas-contra-parecer-da-ccj.verdict_ccj; aprovadas-contra-parecer-da-ccj.aprovacao_verdict,rótulo (sim/nao/ressalva_aprovada/parecer_sem_clausula/proposicao_pendente/indeterminado) decidido por export._contradiz cruzando o veredito do parecer da CCJ com o desfecho registrado pela Casa,export.py,texto (inferido pelo painel)
aprovadas-contra-parecer-da-ccj,documento_id,atomica,pleservico,documento-ativas,[].id,[].id,pleservico:documento-ativas:[].id,GET https://ple.cl.df.gov.br/pleservico/api/public/proposicao/8384/documento/ativas,number,n/d,n/d,n/d,n/d,export.py,chave (inferido pelo painel)
