origem,ano,modalidade,compras,valor_estimado,valor_homologado,compras_sem_valor_homologado,processos_tambem_em_licitacoes,as_of
ComprasNet,2020,Pregão Eletrônico,38,"31.218.109,21","17.723.264,70",10,0,2025-06-03T21:36:20
ComprasNet,2020,Pregão Eletrônico (SRP),6,"3.213.229,02","2.028.586,35",0,0,2025-06-03T21:36:20
ComprasNet,2021,Pregão Eletrônico,51,"30.286.869,34","24.100.333,47",9,3,2025-06-03T21:36:20
ComprasNet,2021,Pregão Eletrônico (SRP),4,"187.973,73","155.576,50",0,0,2025-06-03T21:36:20
ComprasNet,2022,Pregão Eletrônico,43,"25.936.787,46","17.319.538,12",8,42,2025-06-03T21:36:20
ComprasNet,2022,Pregão Eletrônico (SRP),7,"10.060.636,53","3.685.913,55",2,6,2025-06-03T21:36:20
ComprasNet,2023,Pregão Eletrônico,10,"818.665,88","377.597,61",3,10,2025-06-03T21:36:20
PNCP,2023,Dispensa,30,"396.787,11","217.290,66",0,26,2025-06-03T21:36:20
PNCP,2023,Inexigibilidade,10,"3.438.096,31","3.438.096,31",0,0,2025-06-03T21:36:20
PNCP,2023,Pregão - Eletrônico,23,"21.385.443,38","15.105.182,79",0,14,2025-06-03T21:36:20
PNCP,2024,Credenciamento,2,"100,00","0,00",0,0,2025-06-03T21:36:20
PNCP,2024,Dispensa,32,"768.778,35","509.541,31",0,29,2025-06-03T21:36:20
PNCP,2024,Inexigibilidade,14,"3.912.611,24","3.912.611,24",0,0,2025-06-03T21:36:20
PNCP,2024,Pregão - Eletrônico,49,"49.906.720,42","39.978.307,12",0,24,2025-06-03T21:36:20
PNCP,2025,Dispensa,11,"232.309,08","100.453,89",0,9,2025-06-03T21:36:20
PNCP,2025,Inexigibilidade,1,"27.248,00","27.248,00",0,0,2025-06-03T21:36:20
PNCP,2025,Pregão - Eletrônico,9,"26.192.281,53","7.673.777,36",0,4,2025-06-03T21:36:20
