cargo,cargo_na_fonte,categoria,aprovados,melhor_classificacao,pior_classificacao,nomeados_na_mesma_categoria,as_of
Analista Legislativo,Analista Legislativo,Agente de Polícia Legislativa,76,1,61,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Analista Legislativo,125,1,110,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Fotógrafo,14,1,13,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Secretário,10,1,8,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Tec. Man. Op. Eq. Audiovisuais,21,1,21,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Técnico de Arquivo e Biblioteca,6,1,6,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,Técnico de Enfermagem,19,1,15,0,2026-06-30T20:46:58.703863
Consultor,Consulktor,,1,,,0,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Constituição e Justiça,88,1,82,24,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Desenvolvimento Urbano,8,1,8,7,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Direitos Humanos,21,1,19,0,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,"Educação, Cultura e Desporto",16,1,16,10,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Finanças Públicas,15,1,14,9,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Meio Ambiente,20,1,19,11,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Redação Parlamentar,21,1,21,7,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,"Regulação, Infraestrutura e Serviços Públicos",21,1,21,5,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Saúde,37,1,36,9,2026-06-30T20:46:58.703863
Consultor Legislativo,Consultor Legislativo,Tributação,6,1,6,1,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Administrador,72,1,67,41,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Analista de Sistemas - Área 1,17,1,17,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Analista de Sistemas - Área 2,19,1,19,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Analista de Sistemas - Área 3,20,1,18,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Analista de Sistemas - Área 4,46,1,46,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Arquiteto,7,1,7,7,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Arquivista,7,1,7,7,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Assistente Social,6,1,6,6,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Bibliotecário,6,1,6,6,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Contador,62,1,60,18,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Economista,12,1,12,11,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Enfermeiro,18,1,17,16,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Engenheiro Civil,17,1,17,3,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Engenheiro Mecânico,10,1,10,6,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Inspetor de Polícia Legislativa,15,1,15,3,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Médico (Ambulatorial/Perito),8,1,8,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Médico do Trabalho,11,1,11,6,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Odontologista,10,1,10,3,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Pedagogo,17,1,17,15,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Psicólogo (Área 1 - Organizacional),8,1,8,5,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Psicólogo (Área 2 - Clínico/Perito),10,1,10,0,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Revisor de Texto,23,1,22,21,2026-06-30T20:46:58.703863
Consultor Técnico-Legislativo,Consultor Técnico-Legislativo,Taquígrafo Especialista,10,1,10,8,2026-06-30T20:46:58.703863
