cargo,categoria,aprovados,nomeados,tornadas_sem_efeito,com_posse,sem_posse,exonerados,as_of
Analista Legislativo,Agente de Polícia Legislativa,76,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Analista Legislativo,125,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Fotógrafo,14,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Secretário,10,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Tec. Man. Op. Eq. Audiovisuais,21,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Técnico de Arquivo e Biblioteca,6,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo,Técnico de Enfermagem,19,0,0,0,0,0,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Agente de Polícia Legislativa,0,72,10,63,9,3,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Analista Legislativo (Secretário),0,9,1,6,3,0,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Analista Legislativo (Técnico Legislativo),0,122,14,108,14,27,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Analista Legislativo (Técnico de Arquivo e Biblioteca),0,4,0,4,0,2,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Analista de Apoio à Saúde (Técnico em Enfermagem),0,19,1,18,1,3,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Fotógrafo,0,5,0,1,4,0,2026-06-30T20:46:58.703863
Analista Legislativo (Técnico Legislativo),Técnico em Manut. e Op. de Eq. Audiovisuais,0,21,5,16,5,1,2026-06-30T20:46:58.703863
Consultor,,1,0,0,0,0,0,2026-06-30T20:46:58.703863
Consultor Legislativo,Constituição e Justiça,88,24,5,19,5,2,2026-06-30T20:46:58.703863
Consultor Legislativo,Desenvolvimento Urbano,8,7,0,7,0,0,2026-06-30T20:46:58.703863
Consultor Legislativo,Direitos Humanos,21,0,0,0,0,0,2026-06-30T20:46:58.703863
Consultor Legislativo,"Direitos Humanos, Minorias, Cidadania e Sociedade",0,9,0,9,0,1,2026-06-30T20:46:58.703863
Consultor Legislativo,"Educação, Cultura e Desporto",16,10,0,10,0,0,2026-06-30T20:46:58.703863
Consultor Legislativo,Finanças Públicas,15,9,2,7,2,1,2026-06-30T20:46:58.703863
Consultor Legislativo,Meio Ambiente,20,11,1,10,1,1,2026-06-30T20:46:58.703863
Consultor Legislativo,Redação Parlamentar,21,7,2,5,2,1,2026-06-30T20:46:58.703863
