ano,mes,mes_numero,empenhado_total_publicado,empenhado_classificacao_somada,empenhado_diferenca,liquidado_total_publicado,liquidado_classificacao_somada,liquidado_diferenca,pago_total_publicado,pago_classificacao_somada,pago_diferenca,superficies_que_declaram_o_mes,as_of
2022,Janeiro,1,"94.361.070,47","94.361.070,47","0,00","35.009.325,24","35.009.325,24","0,00","34.467.136,15","34.467.136,15","0,00",2,2026-08-07T20:00:31
2022,Fevereiro,2,"74.930.506,76","74.930.506,76","0,00","36.061.298,02","36.061.298,02","0,00","35.359.735,62","35.359.735,62","0,00",2,2026-08-07T20:00:31
2022,Março,3,"39.413.663,26","39.413.663,26","0,00","37.185.798,50","37.185.798,50","0,00","37.583.902,86","37.583.902,86","0,00",2,2026-08-07T20:00:31
2022,Abril,4,"31.454.038,29","31.454.038,29","0,00","38.723.221,47","38.723.221,47","0,00","38.756.689,77","38.756.689,77","0,00",2,2026-08-07T20:00:31
2022,Maio,5,"33.722.106,73","33.722.106,73","0,00","40.826.246,67","40.826.246,67","0,00","40.846.412,14","40.846.412,14","0,00",2,2026-08-07T20:00:31
2022,Junho,6,"39.180.325,79","39.180.325,79","0,00","46.358.132,69","46.358.132,69","0,00","46.264.574,69","46.264.574,69","0,00",2,2026-08-07T20:00:31
2022,Julho,7,"31.842.394,83","31.842.394,83","0,00","40.821.190,69","40.821.190,69","0,00","40.905.615,65","40.905.615,65","0,00",2,2026-08-07T20:00:31
2022,Agosto,8,"35.270.142,81","35.270.142,81","0,00","45.977.007,58","45.977.007,58","0,00","45.965.573,37","45.965.573,37","0,00",2,2026-08-07T20:00:31
2022,Setembro,9,"31.111.861,95","31.111.861,95","0,00","41.568.065,61","41.568.065,61","0,00","41.576.105,97","41.576.105,97","0,00",2,2026-08-07T20:00:31
2022,Outubro,10,"31.725.048,96","31.725.048,96","0,00","41.641.471,37","41.641.471,37","0,00","41.618.654,32","41.618.654,32","0,00",2,2026-08-07T20:00:31
2022,Novembro,11,"50.966.886,95","50.966.886,95","0,00","45.117.036,03","45.117.036,03","0,00","43.293.380,61","43.293.380,61","0,00",2,2026-08-07T20:00:31
2022,Dezembro,12,"62.905.522,80","62.905.522,80","0,00","68.312.984,07","68.312.984,07","0,00","70.064.953,59","70.064.953,59","0,00",2,2026-08-07T20:00:31
2023,Janeiro,1,"102.885.257,80","102.885.257,80","0,00","35.617.953,41","35.617.953,41","0,00","35.004.601,81","35.004.601,81","0,00",2,2026-08-07T20:00:31
2023,Fevereiro,2,"76.834.574,00","76.834.574,00","0,00","41.841.360,13","41.841.360,13","0,00","41.608.570,10","41.608.570,10","0,00",2,2026-08-07T20:00:31
2023,Março,3,"45.715.439,14","45.715.439,14","0,00","42.256.595,43","42.256.595,43","0,00","42.086.562,05","42.086.562,05","0,00",2,2026-08-07T20:00:31
2023,Abril,4,"37.157.527,97","37.157.527,97","0,00","42.802.150,77","42.802.150,77","0,00","42.860.854,29","42.860.854,29","0,00",2,2026-08-07T20:00:31
2023,Maio,5,"44.367.156,55","44.367.156,55","0,00","50.068.997,70","50.068.997,70","0,00","50.091.294,20","50.091.294,20","0,00",2,2026-08-07T20:00:31
2023,Junho,6,"47.145.781,34","47.145.781,34","0,00","57.595.991,47","57.595.991,47","0,00","57.597.901,79","57.597.901,79","0,00",2,2026-08-07T20:00:31
2023,Julho,7,"44.827.616,01","44.827.616,01","0,00","45.742.622,42","45.742.622,42","0,00","45.592.312,09","45.592.312,09","0,00",2,2026-08-07T20:00:31
2023,Agosto,8,"35.309.177,74","35.309.177,74","0,00","46.358.611,15","46.358.611,15","0,00","45.500.191,12","45.500.191,12","0,00",2,2026-08-07T20:00:31
2023,Setembro,9,"40.618.467,22","40.618.467,22","0,00","49.215.696,88","49.215.696,88","0,00","49.841.285,54","49.841.285,54","0,00",2,2026-08-07T20:00:31
2023,Outubro,10,"40.019.278,98","40.019.278,98","0,00","48.137.731,05","48.137.731,05","0,00","47.999.463,17","47.999.463,17","0,00",2,2026-08-07T20:00:31
2023,Novembro,11,"55.542.984,01","55.542.984,01","0,00","49.819.737,06","49.819.737,06","0,00","49.914.187,45","49.914.187,45","0,00",2,2026-08-07T20:00:31
2023,Dezembro,12,"64.700.700,58","64.700.700,58","0,00","86.829.780,09","86.829.780,09","0,00","86.766.548,20","86.766.548,20","0,00",2,2026-08-07T20:00:31
2024,Janeiro,1,"139.412.537,83","139.412.537,83","0,00","46.818.838,83","46.818.838,83","0,00","46.186.667,54","46.186.667,54","0,00",2,2026-08-07T20:00:31
2024,Fevereiro,2,"68.642.558,28","68.642.558,28","0,00","48.252.967,92","48.252.967,92","0,00","47.915.546,60","47.915.546,60","0,00",2,2026-08-07T20:00:31
2024,Março,3,"47.078.977,86","47.078.977,86","0,00","50.220.755,55","50.220.755,55","0,00","49.889.365,75","49.889.365,75","0,00",2,2026-08-07T20:00:31
2024,Abril,4,"51.994.184,35","51.994.184,35","0,00","52.205.098,89","52.205.098,89","0,00","52.614.141,68","52.614.141,68","0,00",2,2026-08-07T20:00:31
2024,Maio,5,"47.393.450,29","47.393.450,29","0,00","53.773.689,26","53.773.689,26","0,00","53.770.615,92","53.770.615,92","0,00",2,2026-08-07T20:00:31
2024,Junho,6,"58.943.539,42","58.943.539,42","0,00","63.908.184,72","63.908.184,72","0,00","62.446.981,59","62.446.981,59","0,00",2,2026-08-07T20:00:31
