id_emenda,ano,nr_emenda,declarada_no_painel,declarada_no_portal,vl_lei_alteracao_painel,vl_lei_alteracao_portal,diferenca,vl_empenhado_painel,vl_empenhado_portal,diferenca_empenhado,motivo_da_ausencia,as_of_painel,as_of_portal
594,2021,00557.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
595,2021,00394.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
596,2021,00542.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
597,2021,00503.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
598,2021,00203.01,não,sim,,"500.000,00",,,"500.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
599,2021,00533.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
600,2021,00316.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
601,2021,00313.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
602,2021,00281.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
603,2021,00091.01,não,sim,,"290.000,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
604,2021,00229.01,não,sim,,"2.000.000,00",,,"1.945.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
605,2021,00022.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
606,2021,00427.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
