ano,mes,mes_numero,linhas_na_folha,matriculas_distintas,folha_creditos,folha_liquido,natureza_3190_empenhado,natureza_3191_empenhado,pessoal_empenhado,natureza_3190_liquidado,natureza_3191_liquidado,pessoal_liquidado,diferenca_creditos_menos_empenhado,ambas_as_fontes
2012,Julho,7,1806,1806,"0,00","10.938.669,56",,,,,,,,não
2012,Agosto,8,1842,1842,"0,00","11.098.435,73",,,,,,,,não
2012,Setembro,9,1833,1833,"0,00","11.266.624,20",,,,,,,,não
2012,Outubro,10,1842,1842,"0,00","11.092.804,71",,,,,,,,não
2012,Novembro,11,1842,1842,"0,00","11.401.744,00",,,,,,,,não
2012,Dezembro,12,1847,1847,"0,00","10.994.367,93",,,,,,,,não
2013,Janeiro,1,1847,1846,"0,00","13.769.045,29",,,,,,,,não
2013,Fevereiro,2,1835,1835,"0,00","12.023.073,82",,,,,,,,não
2013,Março,3,1838,1838,"0,00","11.888.066,41",,,,,,,,não
2013,Abril,4,1820,1820,"0,00","11.584.186,95",,,,,,,,não
2013,Maio,5,1827,1827,"0,00","12.420.391,13",,,,,,,,não
2013,Junho,6,1833,1833,"0,00","16.939.790,24",,,,,,,,não
2013,Julho,7,1832,1832,"0,00","12.154.267,93",,,,,,,,não
2013,Agosto,8,1849,1849,"0,00","12.552.570,55",,,,,,,,não
2013,Setembro,9,1823,1823,"0,00","12.179.492,99",,,,,,,,não
2013,Outubro,10,1853,1853,"20.507.429,32","12.721.813,51",,,,,,,,não
2013,Novembro,11,1822,1822,"20.392.057,85","12.647.923,89",,,,,,,,não
2013,Dezembro,12,1838,1838,"20.050.823,69","12.291.593,17",,,,,,,,não
2014,Janeiro,1,1838,1838,"25.441.407,72","16.690.964,60",,,,,,,,não
2014,Fevereiro,2,1844,1844,"23.513.373,02","14.972.651,63",,,,,,,,não
2014,Março,3,1853,1853,"23.238.207,51","14.498.116,93",,,,,,,,não
2014,Abril,4,1854,1854,"22.829.505,66","14.167.905,05",,,,,,,,não
2014,Maio,5,1862,1862,"23.075.225,86","14.274.139,83",,,,,,,,não
2014,Junho,6,1877,1877,"27.714.867,32","18.843.352,27",,,,,,,,não
