ano,unidade_orcamentaria,funcao,subfuncao,natureza,fonte,tipo_documento_da_loa,valor_votado_na_loa,valor_movimentado_pelos_creditos,diferenca,superficies_que_declaram
2009,10101,28,846,319096,100,proposta,"130.000,00",,,1
2009,10101,4,122,319011,100,proposta,"3.575.000,00",,,1
2009,10101,4,122,319012,100,proposta,"400.000,00",,,1
2009,10101,4,122,319013,100,proposta,"700.000,00",,,1
2009,10101,4,122,319016,100,proposta,"60.000,00",,,1
2009,10101,4,122,339008,100,proposta,"11.000,00",,,1
2009,10101,4,122,339014,100,proposta,"20.000,00",,,1
2009,10101,4,122,339015,100,proposta,"30.000,00",,,1
2009,10101,4,122,339030,100,proposta,"60.000,00",,,1
2009,10101,4,122,339032,100,proposta,"10.000,00",,,1
2009,10101,4,122,339033,100,proposta,"120.000,00",,,1
2009,10101,4,122,339039,100,proposta,"1.595.000,00",,,1
2009,10101,4,122,339046,100,proposta,"152.000,00",,,1
2009,10101,4,122,339049,100,proposta,"2.000,00",,,1
2009,10101,4,122,449052,100,proposta,"50.000,00",,,1
2009,1101,1,122,319011,100,proposta,"169.241.760,00",,,1
2009,1101,1,122,319013,100,proposta,"11.050.000,00",,,1
2009,1101,1,122,319016,100,proposta,"850.000,00",,,1
2009,1101,1,122,319092,100,proposta,"26.138.483,00",,,1
2009,1101,1,122,339008,100,proposta,"3.630.000,00",,,1
2009,1101,1,122,339014,100,proposta,"167.400,00",,,1
2009,1101,1,122,339030,100,proposta,"1.466.500,00",,,1
2009,1101,1,122,339033,100,proposta,"170.000,00",,,1
2009,1101,1,122,339036,100,proposta,"58.120,00",,,1
2009,1101,1,122,339039,100,proposta,"4.147.800,00",,,1
2009,1101,1,122,339046,100,proposta,"21.600.000,00",,,1
2009,1101,1,122,339047,100,proposta,"35.500,00",,,1
2009,1101,1,122,339049,100,proposta,"1.496.000,00",,,1
2009,1101,1,122,339092,100,proposta,"100.000,00",,,1
2009,1101,1,122,449051,100,proposta,"30.000,00",,,1
2009,1101,1,122,449052,100,proposta,"2.433.348,00",,,1
2009,1101,1,128,339014,100,proposta,"5.000,00",,,1
2009,1101,1,128,339032,100,proposta,"182.500,00",,,1
2009,1101,1,128,339033,100,proposta,"15.000,00",,,1
2009,1101,1,128,339036,100,proposta,"245.800,00",,,1
2009,1101,1,128,339039,100,proposta,"999.300,00",,,1
2009,1101,1,131,339039,100,proposta,"19.800.000,00",,,1
2009,1101,1,31,335041,100,proposta,"60.000,00",,,1
2009,1101,1,31,339035,100,proposta,"341.700,00",,,1
2009,1101,1,31,339039,100,proposta,"4.512.000,00",,,1
2009,1101,1,31,449052,100,proposta,"3.261.522,00",,,1
2009,1101,28,846,319092,100,proposta,"150.000,00",,,1
2009,1101,28,846,319094,100,proposta,"300.000,00",,,1
2009,1101,28,846,319096,100,proposta,"250.000,00",,,1
2009,1101,28,846,339093,100,proposta,"3.487.380,00",,,1
2009,11101,13,392,339030,100,proposta,"1.000,00",,,1
2009,11101,13,392,339039,100,proposta,"1.000,00",,,1
2009,11101,14,422,339036,100,proposta,"1.000,00",,,1
2009,11101,14,422,339039,100,proposta,"1.000,00",,,1
2009,11101,15,451,339039,100,proposta,"2.000,00",,,1
2009,11101,15,452,339030,100,proposta,"4.000.000,00",,,1
2009,11101,15,452,339039,100,proposta,"10.000.000,00",,,1
2009,11101,18,543,339039,100,proposta,"1.000,00",,,1
2009,11101,25,752,339039,134,proposta,"67.000.000,00",,,1
2009,11101,25,752,449052,134,proposta,"5.000.000,00",,,1
2009,11101,28,846,319096,100,proposta,"2.000.000,00",,,1
2009,11101,28,846,339093,100,proposta,"3.467.000,00",,,1
2009,11101,4,122,319009,100,proposta,"800.500,00",,,1
2009,11101,4,122,319011,100,proposta,"105.034.500,00",,,1
2009,11101,4,122,319012,100,proposta,"1.700.000,00",,,1
2009,11101,4,122,319013,100,proposta,"20.000.000,00",,,1
2009,11101,4,122,319016,100,proposta,"1.500.000,00",,,1
2009,11101,4,122,339008,100,proposta,"1.052.475,00",,,1
2009,11101,4,122,339014,100,proposta,"2.000.000,00",,,1
2009,11101,4,122,339015,100,proposta,"2.000.000,00",,,1
2009,11101,4,122,339030,100,proposta,"3.554.000,00",,,1
2009,11101,4,122,339033,100,proposta,"2.500.000,00",,,1
2009,11101,4,122,339036,100,proposta,"1.008.000,00",,,1
2009,11101,4,122,339039,100,proposta,"22.662.525,00",,,1
2009,11101,4,122,339039,102,proposta,"15.074.354,00",,,1
2009,11101,4,122,339046,100,proposta,"2.500.000,00",,,1
2009,11101,4,122,339049,100,proposta,"2.500.000,00",,,1
2009,11101,4,122,339139,100,proposta,"400.000,00",,,1
2009,11101,4,122,449052,100,proposta,"2.830.000,00",,,1
2009,11101,4,127,339030,100,proposta,"50.000,00",,,1
2009,11101,4,127,339039,100,proposta,"5.597.000,00",,,1
2009,11101,4,131,339039,100,proposta,"3.030.000,00",,,1
2009,11101,4,131,339039,120,proposta,"1.287.000,00",,,1
2009,11101,8,244,339036,100,proposta,"1.000,00",,,1
2009,11101,8,244,339039,100,proposta,"1.000,00",,,1
2009,11103,13,392,339030,100,proposta,"92.800,00",,,1
2009,11103,13,392,339031,100,proposta,"6.900,00",,,1
2009,11103,13,392,339036,100,proposta,"10.300,00",,,1
2009,11103,13,392,339039,100,proposta,"228.100,00",,,1
2009,11103,15,451,449051,100,proposta,"1.920.000,00",,,1
2009,11103,15,451,449051,120,proposta,"224.012,00",,,1
2009,11103,15,451,449051,160,proposta,"1.849.988,00",,,1
2009,11103,15,452,339030,100,proposta,"770.500,00",,,1
2009,11103,15,452,339030,111,proposta,"77.307,00",,,1
2009,11103,15,452,339039,100,proposta,"66.200,00",,,1
2009,11103,25,451,449051,120,proposta,"80.000,00",,,1
2009,11103,27,812,339030,100,proposta,"45.100,00",,,1
2009,11103,27,812,339031,100,proposta,"35.200,00",,,1
2009,11103,27,812,339039,100,proposta,"52.500,00",,,1
2009,11103,27,813,339030,100,proposta,"83.900,00",,,1
2009,11103,27,813,339039,100,proposta,"186.200,00",,,1
2009,11103,28,846,339093,100,proposta,"85.000,00",,,1
2009,11103,4,122,339014,100,proposta,"2.900,00",,,1
2009,11103,4,122,339030,100,proposta,"153.993,00",,,1
2009,11103,4,122,339033,100,proposta,"2.900,00",,,1
2009,11103,4,122,339036,100,proposta,"12.200,00",,,1
