data,deputado,no_pdf,no_painel,concorda
2026-08-18,CHICO VIGILANTE,1,1,1
2026-08-18,DOUTORA JANE,1,1,1
2026-08-18,EDUARDO PEDROSA,1,1,1
2026-08-18,FÁBIO FELIX,1,1,1
2026-08-18,GABRIEL MAGNO,1,1,1
2026-08-18,IOLANDO,1,1,1
2026-08-18,JAQUELINE SILVA,1,1,1
2026-08-18,JOAQUIM RORIZ NETO,1,1,1
2026-08-18,JORGE VIANNA,1,1,1
2026-08-18,JOÃO CARDOSO,1,1,1
2026-08-18,MARTINS MACHADO,1,1,1
2026-08-18,MAX MACIEL,1,1,1
2026-08-18,PASTOR DANIEL DE CASTRO,1,1,1
2026-08-18,PAULA BELMONTE,1,1,1
2026-08-18,PEPA,1,1,1
2026-08-18,RICARDO VALE,1,1,1
2026-08-18,ROBÉRIO NEGREIROS,1,1,1
2026-08-18,ROGERIO MORRO DA CRUZ,1,1,1
2026-08-18,ROOSEVELT VILELA,1,1,1
2026-08-18,THIAGO MANZONI,1,1,1
2026-08-18,WELLINGTON LUIZ,1,1,1
2026-08-19,CHICO VIGILANTE,1,1,1
2026-08-19,JAQUELINE SILVA,1,1,1
2026-08-19,JORGE VIANNA,1,1,1
2026-08-19,MARTINS MACHADO,1,1,1
2026-08-19,MAX MACIEL,1,1,1
2026-08-19,RICARDO VALE,1,1,1
2026-08-19,ROGERIO MORRO DA CRUZ,1,1,1
2026-08-19,THIAGO MANZONI,1,1,1
