ano,mes,mes_numero,competencia,linhas_mensal,linhas_consolidado,liquido_mensal,liquido_consolidado,diferenca,ambas_as_superficies,observacao
2012,Julho,7,2012-07,,,,,,não,"era em PDF (OS-072): 1806 linha(s), líquido 10.938.669,56 — sem arquivo mensal nem consolidado neste mês"
2012,Agosto,8,2012-08,,,,,,não,"era em PDF (OS-072): 1842 linha(s), líquido 11.098.435,73 — sem arquivo mensal nem consolidado neste mês"
2012,Setembro,9,2012-09,,,,,,não,"era em PDF (OS-072): 1833 linha(s), líquido 11.266.624,20 — sem arquivo mensal nem consolidado neste mês"
2012,Outubro,10,2012-10,,,,,,não,"era em PDF (OS-072): 1842 linha(s), líquido 11.092.804,71 — sem arquivo mensal nem consolidado neste mês"
2012,Novembro,11,2012-11,,,,,,não,"era em PDF (OS-072): 1842 linha(s), líquido 11.401.744,00 — sem arquivo mensal nem consolidado neste mês"
2012,Dezembro,12,2012-12,,,,,,não,"era em PDF (OS-072): 1847 linha(s), líquido 10.994.367,93 — sem arquivo mensal nem consolidado neste mês"
2013,Janeiro,1,2013-01,,,,,,não,"era em PDF (OS-072): 1847 linha(s), líquido 13.769.045,29 — sem arquivo mensal nem consolidado neste mês"
2013,Fevereiro,2,2013-02,,,,,,não,"era em PDF (OS-072): 1835 linha(s), líquido 12.023.073,82 — sem arquivo mensal nem consolidado neste mês"
2013,Março,3,2013-03,,,,,,não,"era em PDF (OS-072): 1838 linha(s), líquido 11.888.066,41 — sem arquivo mensal nem consolidado neste mês"
2013,Abril,4,2013-04,,,,,,não,"era em PDF (OS-072): 1820 linha(s), líquido 11.584.186,95 — sem arquivo mensal nem consolidado neste mês"
2013,Maio,5,2013-05,,,,,,não,"era em PDF (OS-072): 1827 linha(s), líquido 12.420.391,13 — sem arquivo mensal nem consolidado neste mês"
2013,Junho,6,2013-06,,,,,,não,"era em PDF (OS-072): 1833 linha(s), líquido 16.939.790,24 — sem arquivo mensal nem consolidado neste mês"
2013,Julho,7,2013-07,,,,,,não,"era em PDF (OS-072): 1832 linha(s), líquido 12.154.267,93 — sem arquivo mensal nem consolidado neste mês"
2013,Agosto,8,2013-08,,,,,,não,"era em PDF (OS-072): 1849 linha(s), líquido 12.552.570,55 — sem arquivo mensal nem consolidado neste mês"
2013,Setembro,9,2013-09,,,,,,não,"era em PDF (OS-072): 1823 linha(s), líquido 12.179.492,99 — sem arquivo mensal nem consolidado neste mês"
2013,Outubro,10,2013-10,,,,,,não,"era em PDF (OS-072): 1853 linha(s), líquido 12.721.813,51 — sem arquivo mensal nem consolidado neste mês"
2013,Novembro,11,2013-11,,,,,,não,"era em PDF (OS-072): 1822 linha(s), líquido 12.647.923,89 — sem arquivo mensal nem consolidado neste mês"
2013,Dezembro,12,2013-12,,,,,,não,"era em PDF (OS-072): 1838 linha(s), líquido 12.291.593,17 — sem arquivo mensal nem consolidado neste mês"
2014,Janeiro,1,2014-01,,,,,,não,"era em PDF (OS-072): 1838 linha(s), líquido 16.690.964,60 — sem arquivo mensal nem consolidado neste mês"
2014,Fevereiro,2,2014-02,,,,,,não,"era em PDF (OS-072): 1844 linha(s), líquido 14.972.651,63 — sem arquivo mensal nem consolidado neste mês"
2014,Março,3,2014-03,,,,,,não,"era em PDF (OS-072): 1853 linha(s), líquido 14.498.116,93 — sem arquivo mensal nem consolidado neste mês"
2014,Abril,4,2014-04,,,,,,não,"era em PDF (OS-072): 1854 linha(s), líquido 14.167.905,05 — sem arquivo mensal nem consolidado neste mês"
2014,Maio,5,2014-05,,,,,,não,"era em PDF (OS-072): 1862 linha(s), líquido 14.274.139,83 — sem arquivo mensal nem consolidado neste mês"
2014,Junho,6,2014-06,,,,,,não,"era em PDF (OS-072): 1877 linha(s), líquido 18.843.352,27 — sem arquivo mensal nem consolidado neste mês"
2014,Julho,7,2014-07,,,,,,não,"era em PDF (OS-072): 1863 linha(s), líquido 14.194.359,98 — sem arquivo mensal nem consolidado neste mês"
2014,Agosto,8,2014-08,,,,,,não,"era em PDF (OS-072): 1878 linha(s), líquido 14.325.287,39 — sem arquivo mensal nem consolidado neste mês"
2014,Setembro,9,2014-09,,,,,,não,"era em PDF (OS-072): 1887 linha(s), líquido 14.482.917,23 — sem arquivo mensal nem consolidado neste mês"
2014,Outubro,10,2014-10,,,,,,não,"era em PDF (OS-072): 1878 linha(s), líquido 14.261.169,81 — sem arquivo mensal nem consolidado neste mês"
2014,Novembro,11,2014-11,,,,,,não,"era em PDF (OS-072): 1882 linha(s), líquido 14.414.433,11 — sem arquivo mensal nem consolidado neste mês"
2014,Dezembro,12,2014-12,,,,,,não,"era em PDF (OS-072): 1881 linha(s), líquido 14.080.050,28 — sem arquivo mensal nem consolidado neste mês"
2015,Janeiro,1,2015-01,,,,,,não,"era em PDF (OS-072): 1676 linha(s), líquido 17.725.057,72 — sem arquivo mensal nem consolidado neste mês"
2015,Fevereiro,2,2015-02,,,,,,não,"era em PDF (OS-072): 1726 linha(s), líquido 16.082.511,48 — sem arquivo mensal nem consolidado neste mês"
2015,Março,3,2015-03,,,,,,não,"era em PDF (OS-072): 1785 linha(s), líquido 15.804.816,21 — sem arquivo mensal nem consolidado neste mês"
2015,Abril,4,2015-04,,,,,,não,"era em PDF (OS-072): 1820 linha(s), líquido 15.689.018,58 — sem arquivo mensal nem consolidado neste mês"
2015,Maio,5,2015-05,,,,,,não,"era em PDF (OS-072): 1836 linha(s), líquido 15.874.005,96 — sem arquivo mensal nem consolidado neste mês"
2015,Junho,6,2015-06,,,,,,não,"era em PDF (OS-072): 1847 linha(s), líquido 21.520.988,30 — sem arquivo mensal nem consolidado neste mês"
2015,Julho,7,2015-07,,,,,,não,"era em PDF (OS-072): 1857 linha(s), líquido 15.361.511,96 — sem arquivo mensal nem consolidado neste mês"
2015,Agosto,8,2015-08,,,,,,não,"era em PDF (OS-072): 1854 linha(s), líquido 15.546.314,68 — sem arquivo mensal nem consolidado neste mês"
2015,Setembro,9,2015-09,,,,,,não,"era em PDF (OS-072): 1831 linha(s), líquido 15.217.882,84 — sem arquivo mensal nem consolidado neste mês"
2015,Outubro,10,2015-10,,,,,,não,"era em PDF (OS-072): 1838 linha(s), líquido 15.218.978,13 — sem arquivo mensal nem consolidado neste mês"
2015,Novembro,11,2015-11,,,,,,não,"era em PDF (OS-072): 1855 linha(s), líquido 15.451.097,18 — sem arquivo mensal nem consolidado neste mês"
2015,Dezembro,12,2015-12,,,,,,não,"era em PDF (OS-072): 1860 linha(s), líquido 15.086.142,66 — sem arquivo mensal nem consolidado neste mês"
