cnpj,empresa,pessoas_distintas,linhas,meses_distintos,possui_contrato,contratos,valor_contratado,possui_ordem_bancaria,ordens_bancarias,valor_recebido,as_of
38036000000114,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,72,1473,34,sim,2,"18.054.126,42",sim,68,"23.671.148,57",2026-07-01T16:21:21.183246
13258899000199,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,48,1292,34,sim,2,"5.791.242,96",sim,65,"8.902.961,69",2026-07-01T16:21:21.183246
12817803000465,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,62,1092,21,sim,1,"5.147.440,08",sim,26,"6.360.171,60",2026-07-01T16:21:21.183246
72619976000158,AGIL EMPRESA DE VIGILANCIA LTDA,60,674,13,sim,1,"5.617.389,96",sim,12,"3.745.237,25",2026-07-01T16:21:21.183246
11349160000167,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,28,660,34,sim,1,"3.029.532,72",sim,50,"6.921.459,96",2026-07-01T16:21:21.183246
01114245000102,CONNECTOR ENGENHARIA LTDA,16,240,16,sim,1,"1.726.207,74",sim,22,"1.786.955,57",2026-07-01T16:21:21.183246
02604476000167,CLIMATICA ENGENHARIA EIRELI,16,238,34,sim,2,"2.012.872,66",sim,107,"3.096.832,97",2026-07-01T16:21:21.183246
13569390000167,PONTUAL SERVIÇOS GERAIS LTDA,9,238,34,não,0,,não,0,,2026-07-01T16:21:21.183246
05058935000142,INTERATIVA FACILITIES LTDA,22,221,17,sim,1,"2.325.000,06",sim,41,"1.833.496,73",2026-07-01T16:21:21.183246
04744995000156,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,15,221,17,sim,1,"3.299.448,72",sim,57,"1.907.954,72",2026-07-01T16:21:21.183246
22463530000109,JDR SERVICES LTDA,12,120,10,sim,1,"872.833,14",sim,15,"603.971,39",2026-07-01T16:21:21.183246
07566931000109,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,12,96,8,sim,1,"999.633,10",sim,31,"1.455.292,85",2026-07-01T16:21:21.183246
26963645000113,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,7,92,23,sim,3,"2.022.281,52",não,0,,2026-07-01T16:21:21.183246
46444068000160,BIOLIMP LIMPEZA APOIO E CONSERVACAO LTDA,4,24,6,sim,1,"239.896,80",sim,5,"87.681,20",2026-07-01T16:21:21.183246
40298958000125,ARTEMIS SOLUÇÕES E PREVENÇÃO CONTRA INCÊNDIO LTDA,4,8,2,sim,1,"405.650,23",sim,2,"45.529,84",2026-07-01T16:21:21.183246
