deputado,chave,ano,mes,total_no_quadro,total_nos_comprovantes,diferenca,comprovantes,concordam,as_of_quadro,as_of_comprovantes
CHICO VIGILANTE,CHICO VIGILANTE,2023,1,1414.73,1414.73,0.00,8,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,2,1154.89,1154.89,0.00,6,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,3,1532.14,1532.14,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,4,4031.96,4031.96,0.00,5,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,5,4040.05,4040.05,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,6,4189.11,1189.11,3000.00,6,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,7,4199.75,4199.75,0.00,7,sim,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,8,10570.87,19850.87,'-9280.00,9,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,9,6512.64,3312.64,3200.00,6,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,10,9822.30,9730.79,91.51,8,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,11,10008.24,183.02,9825.22,4,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2023,12,9854.38,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,1,10109.16,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,2,15009.91,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,3,15730.33,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,4,15793.20,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,5,16176.64,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,6,10019.26,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,7,10015.98,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,8,9920.33,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,9,15746.94,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,10,15489.54,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,11,15606.48,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2024,12,14841.78,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,1,15266.72,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,2,15475.33,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,3,15515.16,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,4,15815.26,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,5,16502.54,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,6,16460.09,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,7,14362.77,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,8,14184.00,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,9,14160.92,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,10,14332.24,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,11,14353.56,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2025,12,14374.88,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,1,14374.88,374.88,14000.00,6,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,2,14109.74,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,3,14402.38,,,0,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,4,14402.38,14839.14,'-436.76,8,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,5,14332.24,75.74,14256.50,1,não,2026-09-01,2026-08-11T18:09:30
CHICO VIGILANTE,CHICO VIGILANTE,2026,6,14375.67,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,2,7039.12,1539.12,5500.00,6,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,3,12649.65,7449.65,5200.00,8,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,4,12033.67,14233.67,'-2200.00,12,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,5,13973.39,11623.39,2350.00,10,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,6,12936.47,15286.47,'-2350.00,13,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,7,11000.00,10000.00,1000.00,3,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,8,14845.45,15845.45,'-1000.00,12,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,9,13326.53,9826.53,3500.00,10,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,10,13009.97,12000.00,1009.97,4,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,11,13034.67,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2023,12,12791.49,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,1,12200.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,2,14927.90,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,3,15369.83,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,4,13255.88,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,5,15453.04,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,6,15186.91,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,7,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,8,15721.98,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,9,14477.38,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,10,16511.98,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,11,16574.05,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2024,12,14499.94,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,1,15240.05,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,2,15347.10,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,3,16107.27,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,4,13700.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,5,12631.47,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,6,11243.50,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,7,9000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,8,9000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,9,9500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,10,8500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,11,14000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2025,12,15500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,1,15000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,2,15500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,3,16000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,4,16499.82,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,5,16432.39,,,0,não,2026-09-01,2026-08-11T18:09:30
DANIEL DONIZET,DANIEL DONIZET,2026,6,16432.39,,,0,não,2026-09-01,2026-08-11T18:09:30
DAYSE AMARÍLIO DONETTS DINIZ,DAYSE AMARILIO,2023,1,2874.68,2874.68,0.00,3,sim,2026-09-01,2026-08-11T18:09:30
