numero,empresa,cnpj,forma_do_registro,modalidade,objeto,gestor,fiscal_tecnico,fiscal_administrativo,ato_de_nomeacao,valor,data_inicio,data_termino,vigencia_na_colheita,empresa_sancionada,recebeu_ordem_bancaria,as_of
,"ASSOCIAÇÃO DOS SERVIDORES, EX-SERVIDORES E PENSIONISTAS DA CLDF - ASSECAM",05772338000185,cnpj,Permissão de Uso,"Permissão de uso de espaço público no âmbito do Edifício-Sede da Câmara Legislativa do Distrito Federal pelo PERMISSIONÁRIO, a título oneroso, exclusivamente para o desempenho de suas funções estatutárias.",,Debora Kelly Garcia / Lorena Rezende Prado,,"PSG n. 204, de 11/08/2023, DCL n.173 , de 15/08/2023",,,,,não,não,2026-06-26T15:56:41
,EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS,34028316000707,cnpj,Inexigibilidade,Contratação de produtos e serviços por meio de Pacote de Serviços dos CORREIOS mediante adesão ao Termo de Condições Comerciais,,Flavio Ito Silva / Claudiane Soares Nascimento,,"PSG nº 244, de 12/09/2025, DCL nº 199, de 16/09/2025.","30.000,00",2025-09-10,,,não,sim,2026-06-26T15:56:41
004-23,SENADO FEDERAL/TV SENADO,00530279000115,cnpj,Acordo de Cooperação,TERMO DE AUTORIZAÇÃO PARA PERMUTA DE CONTEÚDO AUDIOVISUAL,Flavio Correa Ferreira,Felipe Machado Porto,,"PSG nº 201, de 16/08/23, DCL nº 178, 18/08/2023.",,,,,não,sim,2026-06-26T15:56:41
012-18,FUNDAÇÃO CARLOS CHAGAS,60555513000190,cnpj,Dispensa,Prestação de serviços técnicos especializados para a organização e realização do concurso público para provimento de cargos do quadro de pessoal efetivo da CLDF.,Inaldo José de oliveira,Maria Eugenia Gruber,Josué Alves da Silva,Port. N.08 de 09/01/2017 DCL n. 20/01/17,,2018-09-08,,,não,não,2026-06-26T15:56:41
012-23,Rede de Ouvidorias Públicas do Distrito Federal - REDE OUVIR - DF,,vazio,Acordo de Cooperação,"Termo de cooperação entre União, TJDFT, MPDFT, MPCDF, CGDF, CLDF e TCDF para criação estruturação e o funcionamento da Rede de Ouvidorias Públicas do Distrito Federal - REDE OUVIR - DF.",,,,,,,,,não,não,2026-06-26T15:56:41
060-25,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL (CAESB),00082024000137,cnpj,Inexigibilidade,"O presente Contrato tem por objeto a prestação, de forma contínua, dos serviços públicos de abastecimento de água, esgotamento sanitário e outros serviços para as dependências da CLDF",,Osmar Rodrigues da Silva / Wesley Soares de Lima,,"PSG n. 182 de 19/06/2026, DCL nº 127 de 22/06/2026.","69.408,35",,,,não,sim,2026-06-26T15:56:41
331-17,CEB Distribução S.A.,,nao_verifica,Inexigibilidade,Fornecimento de energia para o edificío sede da CLDF com renovação automatica de 12 meses.,,,,,"900.000,00",2019-08-03,2020-08-02,encerrado,não,não,2026-06-26T15:56:41
332-17,CEB Distribução S.A.,,nao_verifica,Inexigibilidade,Fornecimento de energia para o edificío sede da CLDF com renovação automatica de 12 meses.,,,,,"900.000,00",2019-08-03,2020-08-02,encerrado,não,não,2026-06-26T15:56:41
004-21,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DF,,vazio,Permissão de Uso,"Cessão de uso gratuito dos veículos oficiais constantes da tabela, com vistas a utilização dos bens em demandas relacionadas à segurança institucional da CLDF, vinculadas à COPOL e para demandas específicas do GMD, de interesse público.",Francisco Torres,,,,,2021-10-20,2022-04-18,encerrado,não,não,2026-06-26T15:56:41
014-22,REDXCORP PRODUÇÃO E LOCAÇÃO EIRELI,01847054000150,cnpj,Pregão,Prestação de serviços técnicos especializados em tratamento de mídias analógicas para armazenamento digital.,,,,,"1.189.916,80",2022-04-20,2022-04-19,encerrado,não,sim,2026-06-26T15:56:41
028-21,ORGANIZAÇÃO FLORESTA ENGENHARIA E SERVIÇOS LTDA,00394874000170,cnpj,Pregão,"Contratação de empresa de engenharia especializada para execução de serviço de nova impermeabilização com manta asfáltica, revestimento em argamassa e retrofit das instalações elétricas e hidráulicas dos espelhos d´água interno e externo da CLDF.",Jose Gomes da Silva Neto/José Rodrigues Oliveir,Marcelo Augusto Fernandes,,"PSG nº 121, de 12/05/23, DCL nº 102 de 16/05/23","213.192,26",2021-06-23,2022-06-22,encerrado,não,sim,2026-06-26T15:56:41
