ano,tipoProposicao,numero,siglaNumeroAno,data_leitura,cargo_convocado,clausula,resultado,resultado_fonte,resultado_rotulo_painel,resultado_marcador_api,tipo_votacao,data_deliberacao,votos_sim,votos_nao,abstencoes,autores,autor_ids,ementa
2022,Requerimento,3334,REQ 3334/2022,2022-05-17,Secretário de Estado de Proteção da Ordem Urbanística do Distrito Federal - DF Legal,C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputada Júlia Lucy,28,"Requer a convocação do Secretário de Estado de Proteção da Ordem Urbanística do Distrito Federal - DF Legal - para comparecer à Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo para explicar e debater a atuação do órgão no desenvolvimento econômico do Distrito Federal."
2023,Requerimento,16,REQ 16/2023,2023-02-01,Senhores Anderson Gustavo Torres e Fernando de Sousa Oliveira,C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputado Fábio Felix; Deputada Dayse Amarilio; Deputado Max Maciel,20; 60; 63,"Requer a convocação dos Senhores Anderson Gustavo Torres e Fernando de Sousa Oliveira para prestar esclarecimentos acerca da atuação da Secretaria de Estado de Segurança Pública do Distrito Federal em razão dos episódios criminosos havidos no dia 8.1.2023, na Praça dos Três Poderes."
2025,Requerimento,1937,REQ 1937/2025,2025-04-01,"presidente do Banco de Brasília S.A (BRB), senhor Paulo Henrique Rodrigues Costa",C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputado Chico Vigilante; Deputado Ricardo Vale; Deputado Gabriel Magno,15; 57; 68,"Requer a convocação do presidente do Banco de Brasília S.A (BRB), senhor Paulo Henrique Rodrigues Costa"
2025,Requerimento,1998,REQ 1998/2025,2025-04-30,SECRETÁRIO DE ESTADO DE SAÚDE DO DISTRITO FEDERAL,C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputada Paula Belmonte,64,REQUERIMENTO DE CONVOCAÇÃO DO SECRETÁRIO DE ESTADO DE SAÚDE DO DISTRITO FEDERAL para prestar esclarecimentos e debater sobre os problemas da Secretaria de Saúde que foram veiculados nas reportagens contidas nos links abaixo
2025,Requerimento,2189,REQ 2189/2025,2025-08-14,Presidente do Banco de Brasília - BRB,C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputada Paula Belmonte,64,"Requer a CONVOCAÇÃO do Presidente do Banco de Brasília - BRB para comparecer à Câmara Legislativa do Distrito Federal para explicar e debater a compra de parte das ações do Banco Master após a decisão proferida em 13 de agosto de 2025 pela 7ª Turma Cível do Tribunal de Justiça do Distrito Federal e Territórios.

"
2025,Requerimento,2505,REQ 2505/2025,2025-11-19,"Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB",C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputado Chico Vigilante,15,"Requer a convocação do Senhor Paulo Henrique Costa, presidente afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão à frente da presidência  do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central do Brasil que afastaram o Senhor Paulo Henrique Costa da Presidência do BRB e determinaram a liquidação extrajudicial do Banco Master e o bloqueio de bens do BRB."
2025,Requerimento,2507,REQ 2507/2025,2025-11-19,"Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB",C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputado Chico Vigilante,15,"Requer a convocação do Senhor Dario Oswaldo Garcia Júnior, diretor afastado do Banco de Brasília - BRB, a esta Câmara Legislativa, para prestar esclarecimentos sobre riscos de crédito e problemas de gestão na direção do BRB, relacionados à tentativa de compra do Banco Master, à operação da Polícia Federal e às decisões judiciais e do Banco Central do Brasil que afastaram diretores do BRB e determinaram a liquidação extrajudicial do Banco Master e o bloqueio de bens do BRB."
2025,Requerimento,2510,REQ 2510/2025,2025-11-19,"Presidente do Banco de Brasília – BRB, Sr. Paulo Henrique, bem como do Diretor Financeiro, Sr. Dario Oswaldo",C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputada Paula Belmonte,64,"Requer-se a CONVOCAÇÃO do Presidente do Banco de Brasília – BRB, Sr. Paulo Henrique, bem como do Diretor Financeiro, Sr. Dario Oswaldo, para que compareçam à Câmara Legislativa do Distrito Federal, a fim de prestarem esclarecimentos acerca das operações realizadas pelo BRB relativas à tentativa de aquisição de participação acionária do Banco Master.

"
2026,Requerimento,2553,REQ 2553/2026,2026-01-14,"Presidente do Banco de Brasília S.A. – BRB, do Secretário de Estado de Economia do Distrito Federal, do Secretário de Governo e do Chefe da Casa Civil",C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputada Paula Belmonte,64,"Requer a convocação do Presidente do Banco de Brasília S.A. – BRB, do Secretário de Estado de Economia do Distrito Federal, do Secretário de Governo e do Chefe da Casa Civil para prestarem esclarecimentos a esta Casa Legislativa acerca de eventual plano de capitalização do BRB, do uso de recursos públicos e das responsabilidades administrativas e políticas envolvidas."
2026,Requerimento,2560,REQ 2560/2026,2026-01-28,Presidente do Banco de Brasília S.A. – BRB,C1-convocacao-requerida,sem_deliberacao_publicada,nenhuma,,,,,,,,Deputado Fábio Felix,20,Requer a convocação do Presidente do Banco de Brasília S.A. – BRB para esclarecer os prejuízos nas operações com o Banco Master e o plano de aporte
