lei,ano,numero_emenda,fase,situacao,autor,tipo_movimento,unidade_orcamentaria,funcao,funcao_rotulo,subfuncao,subfuncao_rotulo,programa,acao,subtitulo,nome_subtitulo,localizacao,nome_localizacao,natureza,natureza_rotulo,natureza_em_seis_digitos,natureza_categoria_economica,natureza_grupo,natureza_modalidade_de_aplicacao,natureza_elemento,natureza_subelemento,fonte,fonte_rotulo,esfera,meta,valor,justificativa,justificativa_relatoria
PL-00250-2011,2011,1,Emendas Individuais,Protocolada,Cláudio Abrantes,acrescimo,11119,27,,812,,1900,2033,6748,PROMOÇÃO DE ATIVIDADES DESPORTIVAS NO RIACHO FUNDO,17,REGIÃO XVII - RIACHO FUNDO,339032,,339032,3,3,90,32,,100,,1,1,"13.000,00",teste teste teste,
PL-00250-2011,2011,1,Emendas Individuais,Protocolada,Cláudio Abrantes,decrescimo,11106,13,,392,,1300,2007,4695,GRITO DE CARNAVAL DE BRAZLÂNDIA,4,REGIÃO IV - BRAZLÂNDIA,339036,,339036,3,3,90,36,,100,,1,1,"5.000,00",teste teste teste,
PL-00250-2011,2011,1,Emendas Individuais,Protocolada,Cláudio Abrantes,decrescimo,11130,13,,392,,1300,2007,6944,PROMOÇÃO DE ATIVIDADES CULTURAIS NO ITAPOÃ,28,REGIÃO XXVIII - ITAPOÃ,339030,,339030,3,3,90,30,,100,,1,1,"8.000,00",teste teste teste,
PL-00317-2011,2011,1,Emendas Individuais,Protocolada,Wasny de Roure,acrescimo,13203,9,,272,,1,9004,9712,PAGAMENTO DE INATIVOS E PENSIONISTAS DO DISTRITO FEDERAL - FUNDO FINANCEIRO,99,DISTRITO FEDERAL,319092,,319092,3,1,90,92,,100,,2,0,"3.574.150,00","A emenda apresentada pela Liderança de Governo segue pedido da Sra Presidente do TCDF, Sra. Marli Vi-nhadeli, e do Sr. Presidente do Iprev, Sr. Francisco Jogivan, objetivando efetuar pagamento de despesas de exercícios anteriores com pessoal inativo e pensionistas daquela Corte, uma vez que essas despesas, após a instituições do Fundo Previdenciário do DF, ficam sobre a responsabilidade dessa unidade orçamentária. A documentação comprobatória segue anexa a emenda.",
PL-00317-2011,2011,1,Emendas Individuais,Protocolada,Wasny de Roure,decrescimo,2101,1,,122,,48,8502,21,ADMINISTRAÇÃO DE PESSOAL DO TRIBUNAL DE CONTAS DO DISTRITO FEDERAL,99,DISTRITO FEDERAL,319011,,319011,3,1,90,11,,100,,1,0,"3.574.150,00","A emenda apresentada pela Liderança de Governo segue pedido da Sra Presidente do TCDF, Sra. Marli Vi-nhadeli, e do Sr. Presidente do Iprev, Sr. Francisco Jogivan, objetivando efetuar pagamento de despesas de exercícios anteriores com pessoal inativo e pensionistas daquela Corte, uma vez que essas despesas, após a instituições do Fundo Previdenciário do DF, ficam sobre a responsabilidade dessa unidade orçamentária. A documentação comprobatória segue anexa a emenda.",
PL-00359-2011,2011,1,Emendas Individuais,Protocolada,Benício Tavares,acrescimo,11127,13,,392,,1300,2007,20031,PROMOÇÃO DE ATIVIDADES CULTURAIS E ESPORTIVAS NA CIDADE ESTRUTURAL,25,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO,339039,,339039,3,3,90,39,,100,,1,1,"80.000,00",A presente emenda visa remanejar recursos de emenda de minha ahtoria para atender reivindicação da comunidade local.,
PL-00359-2011,2011,1,Emendas Individuais,Protocolada,Benício Tavares,decrescimo,11111,13,,392,,1300,2007,4613,"PROMOÇÃO DO VII FEST SHOW DA QUATRO, EM CEILÂNDIA",9,REGIÃO IX - CEILÂNDIA,339039,,339039,3,3,90,39,,100,,1,1,"40.000,00",A presente emenda visa remanejar recursos de emenda de minha ahtoria para atender reivindicação da comunidade local.,
PL-00359-2011,2011,1,Emendas Individuais,Protocolada,Benício Tavares,decrescimo,11111,27,,812,,1900,9075,4828,REALIZAÇÃO DO I TORNEIO DE FUTEBOL AMADOR DO ESPORTE CLUBE UNIÃO,9,REGIÃO IX - CEILÂNDIA,339039,,339039,3,3,90,39,,100,,1,1,"40.000,00",A presente emenda visa remanejar recursos de emenda de minha ahtoria para atender reivindicação da comunidade local.,
PL-00359-2011,2011,2,Emendas Individuais,Protocolada,Chico Leite,acrescimo,18101,12,,362,,164,1888,20035,"CONSTRUÇÃO DO ADITÓRIO DO CEM 417, EM SANTA MARIA",13,REGIÃO XIII - SANTA MARIA,449051,,449051,4,4,90,51,,100,,1,500,"150.000,00",OS MORADORES DE SANTA MARIA LUTAM HÁ ANOS PELA CONSTRUÇÃO DESTE AUDITÓRIO NO CEM 417 DE SANTA MARIA. ESTE AUDITÓRIO SERÁ UM ESPAÇO CULTURAL E COMUTÁRIO DOS MORADORES DAQUELA IMPORTANTE CIDADE.,
PL-00359-2011,2011,2,Emendas Individuais,Protocolada,Chico Leite,decrescimo,11115,13,,392,,1466,2043,4414,"APOIO ÀS ATIVIDADES DO INSTITUTO CULTURA EM MOVIMENTO, EM SANTA MARIA.",13,REGIÃO XIII - SANTA MARIA,339039,,339039,3,3,90,39,,100,,1,1000,"150.000,00",OS MORADORES DE SANTA MARIA LUTAM HÁ ANOS PELA CONSTRUÇÃO DESTE AUDITÓRIO NO CEM 417 DE SANTA MARIA. ESTE AUDITÓRIO SERÁ UM ESPAÇO CULTURAL E COMUTÁRIO DOS MORADORES DAQUELA IMPORTANTE CIDADE.,
