lei,ano,quantidade_emendas,valor_acrescimos,valor_decrescimos,valor_liquido,publicado_em
PL-00250-2011,2011,1,"13.000,00","13.000,00","0,00",2024-08-15
PL-00317-2011,2011,1,"3.574.150,00","3.574.150,00","0,00",2024-08-15
PL-00359-2011,2011,227,"37.075.000,00","37.075.000,00","0,00",2024-08-15
PL-00398-2011,2011,11,"1.440.000,00","1.440.000,00","0,00",2024-08-15
PL-00485-2011,2011,93,"29.849.000,00","29.849.000,00","0,00",2024-08-15
PL-00506-2011,2011,176,"41.167.422,58","41.167.422,58","0,00",2024-08-15
PL-00513-2011,2011,12,"3.150.000,00","3.150.000,00","0,00",2024-08-15
PL-00535-2011,2011,57,"11.273.000,00","11.273.000,00","0,00",2024-08-15
PL-00536-2011,2011,1,"330.000,00","330.000,00","0,00",2024-08-15
PL-00617-2011,2011,6,"4.973.000,00","4.973.000,00","0,00",2024-08-15
PL-00620-2011,2011,1,"50.000,00","50.000,00","0,00",2024-08-15
PL-00627-2011,2011,106,"31.990.350,00","31.990.350,00","0,00",2024-08-15
PL-01234-2011,2011,1,"100.000,00","100.000,00","0,00",2024-08-15
PL-01758-2011,2011,21,"46.742,00","46.742,00","0,00",2024-08-15
PL-00777-2012,2012,120,"27.645.412,00","27.645.412,00","0,00",2024-08-15
PL-00828-2012,2012,94,"22.918.622,00","22.918.622,00","0,00",2024-08-15
PL-00903-2012,2012,92,"75.803.554,00","75.803.554,00","0,00",2024-08-15
PL-00963-2012,2012,27,"4.570.000,00","4.570.000,00","0,00",2024-08-15
PL-01000-2012,2012,88,"19.144.000,00","19.144.000,00","0,00",2024-08-15
PL-01036-2012,2012,149,"41.973.741,83","41.973.741,83","0,00",2024-08-15
PL-01086-2012,2012,72,"12.366.908,00","12.366.908,00","0,00",2024-08-15
PL-01108-2012,2012,73,"17.388.477,00","17.388.477,00","0,00",2024-08-15
PL-01180-2012,2012,52,"13.351.542,55","13.351.542,55","0,00",2024-08-15
PL-01348-2013,2013,19,"7.878.500,00","7.878.500,00","0,00",2024-08-15
PL-01366-2013,2013,86,"39.386.500,00","39.386.500,00","0,00",2024-08-15
PL-01431-2013,2013,157,"29.328.500,00","29.328.500,00","0,00",2024-08-15
PL-01484-2013,2013,102,"30.194.000,00","30.194.000,00","0,00",2024-08-15
PL-01519-2013,2013,59,"15.880.000,00","15.880.000,00","0,00",2024-08-15
PL-01552-2013,2013,52,"9.548.213,68","9.548.213,68","0,00",2024-08-15
PL-01575-2013,2013,107,"22.969.940,80","22.969.940,80","0,00",2024-08-15
PL-01647-2013,2013,6,"4.798.590,00","4.798.590,00","0,00",2024-08-15
PL-01669-2013,2013,45,"7.038.375,00","7.038.375,00","0,00",2024-08-15
PL-01673-2013,2013,21,"4.641.498,00","4.641.498,00","0,00",2024-08-15
PL-01716-2013,2013,11,"1.975.000,00","1.975.000,00","0,00",2024-08-15
PL-01729-2013,2013,6,"875.000,00","875.000,00","0,00",2024-08-15
PL-01800-2014,2014,177,"55.261.000,00","55.261.000,00","0,00",2024-08-15
