chave,nome_na_api,nome_no_painel_de_votacao,nome_no_painel_de_emendas,unidade_no_documento,nome_nas_diarias,fontes,observacao
DAYSE AMARILIO,Deputada Dayse Amarilio,DAYSE AMARILIO,DAYSE AMARILIO,GAB DEP DAYSE AMARILIO,Dayse Amarílio,4,diárias: Dayse Amarílio
DOUTORA JANE,Deputada Doutora Jane,DOUTORA JANE,DOUTORA JANE,GAB DEP DOUTORA JANE,Doutora Jane; Jane Klebia Reis,4,diárias: Doutora Jane; Jane Klebia Reis
JAQUELINE SILVA,Deputada Jaqueline Silva,JAQUELINE SILVA,JAQUELINE SILVA,GAB DEP JAQUELINE SILVA,Jaqueline Silva,4,
PAULA BELMONTE,Deputada Paula Belmonte,PAULA BELMONTE,PAULA BELMONTE,GAB DEP PAULA BELMONTE,Paula Belmonte,4,
CHICO VIGILANTE,Deputado Chico Vigilante,CHICO VIGILANTE,CHICO VIGILANTE,GAB DEP CHICO VIGILANTE,,4,
DANIEL DONIZET,Deputado Daniel Donizet,DANIEL DONIZET,DANIEL DONIZET,GAB DEP DANIEL DONIZET,Daniel Donizete,4,diárias: Daniel Donizete
EDUARDO PEDROSA,Deputado Eduardo Pedrosa,EDUARDO PEDROSA,EDUARDO PEDROSA,GAB DEP EDUARDO PEDROSA,Eduardo Pedrosa,4,
FABIO FELIX,Deputado Fábio Felix,FÁBIO FELIX,FÁBIO FELIX,GAB DEP FÁBIO FÉLIX,,4,
GABRIEL MAGNO,Deputado Gabriel Magno,GABRIEL MAGNO,GABRIEL MAGNO,GAB DEP GABRIEL MAGNO,,4,
HERMETO,Deputado Hermeto,HERMETO,HERMETO,GAB DEP HERMETO,Hermeto,4,
IOLANDO,Deputado Iolando,IOLANDO,IOLANDO,GAB DEP IOLANDO,Iolando Almeida; Iolando Almeida de Souza,4,diárias: Iolando Almeida; Iolando Almeida de Souza
JOAQUIM RORIZ NETO,Deputado Joaquim Roriz Neto,JOAQUIM RORIZ NETO,JOAQUIM RORIZ NETO,GAB DEP JOAQUIM RORIZ NETO,Joaquim Domingos Roriz Neto; Joaquim Roriz Neto,4,diárias: Joaquim Domingos Roriz Neto; Joaquim Roriz Neto
JORGE VIANNA,Deputado Jorge Vianna,JORGE VIANNA,JORGE VIANNA,GAB DEP JORGE VIANNA,,4,
JOAO CARDOSO,Deputado João Cardoso,JOÃO CARDOSO,JOÃO CARDOSO,GAB DEP JOÃO CARDOSO,,4,
MARTINS MACHADO,Deputado Martins Machado,MARTINS MACHADO,MARTINS MACHADO,GAB DEP MARTINS MACHADO,Marcos Martins Machado; Martins Machado,4,diárias: Marcos Martins Machado; Martins Machado
MAX MACIEL,Deputado Max Maciel,MAX MACIEL,MAX MACIEL,GAB DEP MAX MACIEL,Max Maciel; Max Maciel Cavalcante,4,diárias: Max Maciel; Max Maciel Cavalcante
PASTOR DANIEL DE CASTRO,Deputado Pastor Daniel de Castro,PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,GAB DEP PR DANIEL DE CASTRO,Pastor Daniel de Castro,4,unidade do documento abrevia: PR DANIEL DE CASTRO
PEPA,Deputado Pepa,PEPA,PEPA,GAB DEP PEPA,,4,
RAFAEL PRUDENTE,Deputado Rafael Prudente,,RAFAEL PRUDENTE,,,2,sem presença registrada no período; sem emenda protocolada pelo gabinete no período
RICARDO VALE,Deputado Ricardo Vale,RICARDO VALE,RICARDO VALE,GAB DEP RICARDO VALE,Ricardo Vale,4,
ROBERIO NEGREIROS,Deputado Robério Negreiros,ROBÉRIO NEGREIROS,ROBÉRIO NEGREIROS,GAB DEP ROBÉRIO NEGREIROS,Robério Negreiros,4,
ROGERIO MORRO DA CRUZ,Deputado Rogério Morro da Cruz,ROGERIO MORRO DA CRUZ,ROGÉRIO MORRO DA CRUZ,GAB DEP ROGÉRIO MORRO DA CRUZ,,4,
ROOSEVELT VILELA,Deputado Roosevelt Vilela,ROOSEVELT VILELA,ROOSEVELT VILELA,GAB DEP ROOSEVELT VILELA,Roosevelt Vilela; Roosevelt Vilela Pires,4,diárias: Roosevelt Vilela; Roosevelt Vilela Pires
THIAGO MANZONI,Deputado Thiago Manzoni,THIAGO MANZONI,THIAGO MANZONI,GAB DEP THIAGO MANZONI,Thiago Manzoni; Thiago de Araújo Macieira Manzoni,4,diárias: Thiago Manzoni; Thiago de Araújo Macieira Manzoni
WELLINGTON LUIZ,Deputado Wellington Luiz,WELLINGTON LUIZ,WELLINGTON LUIZ,GAB DEP WELLINGTON LUIZ,Wellington Luiz,4,
