ano,mes,mes_numero,unidade_orcamentaria,funcao,funcao_rotulo,subfuncao,subfuncao_rotulo,natureza,natureza_rotulo,natureza_em_seis_digitos,natureza_categoria_economica,natureza_grupo,natureza_modalidade_de_aplicacao,natureza_elemento,natureza_subelemento,fonte,fonte_rotulo,empenhado,liquidado,pago,as_of
2022,Janeiro,1,1101,1,,122,,319007,,319007,3,1,90,07,,100,,"1.456.116,48","95.122,29","95.122,29",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319011,,319011,3,1,90,11,,100,,"28.600.473,95","28.600.473,95","28.161.687,76",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319013,,319013,3,1,90,13,,100,,"65.005,93","4.545,87","4.545,87",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319016,,319016,3,1,90,16,,100,,"31.022,86","31.022,85","31.022,85",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319092,,319092,3,1,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319113,,319113,3,1,91,13,,100,,"47.170.000,00","3.356.792,32","3.356.792,32",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339008,,339008,3,3,90,08,,100,,"293.289,00","293.289,00","293.289,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339014,,339014,3,3,90,14,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339030,,339030,3,3,90,30,,100,,"9.789,95","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339033,,339033,3,3,90,33,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339035,,339035,3,3,90,35,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339037,,339037,3,3,90,37,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339039,,339039,3,3,90,39,,100,,"1.729.279,86","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339046,,339046,3,3,90,46,,100,,"2.232.263,89","2.232.263,88","2.132.214,38",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339047,,339047,3,3,90,47,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339049,,339049,3,3,90,49,,100,,"34.273,14","34.273,13","31.903,73",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339093,,339093,3,3,90,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339147,,339147,3,3,91,47,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,449051,,449051,4,4,90,51,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,449052,,449052,4,4,90,52,,100,,"254.662,49","133.782,49","133.782,49",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,122,,449092,,449092,4,4,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,126,,339030,,339030,3,3,90,30,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,126,,339039,,339039,3,3,90,39,,100,,"1.478.395,96","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,126,,339040,,339040,3,3,90,40,,100,,"4.102.541,03","28.439,87","28.439,87",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,126,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
