ano,mes,mes_numero,unidade_orcamentaria,empenhado,liquidado,pago,repasse_recebido_no_mes,as_of
2022,Janeiro,1,1101,"94.361.070,47","35.009.325,24","34.467.136,15","51.718.309,25",2026-08-07T20:00:31
2022,Fevereiro,2,1101,"74.930.506,76","36.061.298,02","35.359.735,62","51.718.309,25",2026-08-07T20:00:31
2022,Março,3,1101,"39.413.663,26","37.185.798,50","37.583.902,86","51.706.309,25",2026-08-07T20:00:31
2022,Abril,4,1101,"31.454.038,29","38.723.221,47","38.756.689,77","51.706.309,25",2026-08-07T20:00:31
2022,Maio,5,1101,"33.722.106,73","40.826.246,67","40.846.412,14","46.849.309,25",2026-08-07T20:00:31
2022,Junho,6,1101,"39.180.325,79","46.358.132,69","46.264.574,69","46.825.309,25",2026-08-07T20:00:31
2022,Julho,7,1101,"31.842.394,83","40.821.190,69","40.905.615,65","46.825.309,25",2026-08-07T20:00:31
2022,Agosto,8,1101,"35.270.142,81","45.977.007,58","45.965.573,37","46.825.309,25",2026-08-07T20:00:31
2022,Setembro,9,1101,"31.111.861,95","41.568.065,61","41.576.105,97","46.825.309,25",2026-08-07T20:00:31
2022,Outubro,10,1101,"31.725.048,96","41.641.471,37","41.618.654,32","46.825.309,25",2026-08-07T20:00:31
2022,Novembro,11,1101,"50.966.886,95","45.117.036,03","43.293.380,61","46.825.309,25",2026-08-07T20:00:31
2022,Dezembro,12,1101,"62.905.522,80","68.312.984,07","70.064.953,59","40.895.000,00",2026-08-07T20:00:31
2023,Janeiro,1,1101,"102.885.257,80","35.617.953,41","35.004.601,81","64.264.805,83",2026-08-07T20:00:31
2023,Fevereiro,2,1101,"76.834.574,00","41.841.360,13","41.608.570,10","50.562.263,20",2026-08-07T20:00:31
2023,Março,3,1101,"45.715.439,14","42.256.595,43","42.086.562,05","50.562.263,20",2026-08-07T20:00:31
2023,Abril,4,1101,"37.157.527,97","42.802.150,77","42.860.854,29","50.562.263,20",2026-08-07T20:00:31
