ano,funcao,funcao_rotulo,subfuncao,subfuncao_rotulo,linhas,empenhado,liquidado,pago,as_of
2022,1,,122,,324,"488.521.317,15","474.170.800,17","473.293.929,45",2026-08-07T20:15:03.924257
2022,1,,126,,72,"12.867.676,86","10.088.396,24","10.087.471,32",2026-08-07T20:15:03.924257
2022,1,,128,,36,"803.443,07","765.483,90","765.092,17",2026-08-07T20:15:03.924257
2022,1,,131,,48,"144.335,40","132.307,45","132.307,45",2026-08-07T20:15:03.924257
2022,1,,31,,85,"26.858.276,05","17.538.274,15","17.520.058,32",2026-08-07T20:15:03.924257
2022,1,,392,,48,"264.000,00","24.000,00","21.360,00",2026-08-07T20:15:03.924257
2022,28,,845,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,28,,846,,132,"27.424.521,07","14.882.516,03","14.882.516,03",2026-08-07T20:15:03.924257
2023,1,,122,,273,"549.289.043,17","542.654.627,39","541.251.747,87",2026-08-07T20:15:03.924257
2023,1,,126,,60,"13.410.070,20","11.748.656,17","11.747.588,07",2026-08-07T20:15:03.924257
2023,1,,128,,36,"1.496.723,77","1.447.509,07","1.447.509,07",2026-08-07T20:15:03.924257
2023,1,,131,,44,"8.424.185,43","7.084.724,67","7.065.216,54",2026-08-07T20:15:03.924257
2023,1,,31,,39,"38.037.577,81","21.411.972,73","21.411.972,73",2026-08-07T20:15:03.924257
2023,1,,392,,45,"270.000,00","6.000,00","6.000,00",2026-08-07T20:15:03.924257
2023,28,,845,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2023,28,,846,,85,"24.196.360,96","11.933.737,53","11.933.737,53",2026-08-07T20:15:03.924257
2024,1,,122,,324,"652.641.385,92","643.366.375,89","642.303.885,83",2026-08-07T20:15:03.924257
2024,1,,126,,65,"21.746.875,85","19.124.642,13","19.124.642,13",2026-08-07T20:15:03.924257
2024,1,,128,,36,"1.898.445,34","1.829.104,43","1.829.104,43",2026-08-07T20:15:03.924257
2024,1,,131,,48,"180.490,67","162.271,08","162.271,08",2026-08-07T20:15:03.924257
2024,1,,31,,68,"51.735.363,41","28.432.140,96","28.432.140,96",2026-08-07T20:15:03.924257
2024,1,,392,,48,"279.388,05","279.388,05","271.798,05",2026-08-07T20:15:03.924257
2024,28,,845,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2024,28,,846,,97,"36.461.573,19","31.589.118,53","31.549.276,25",2026-08-07T20:15:03.924257
2025,1,,122,,324,"711.779.449,95","702.007.161,94","700.910.731,20",2026-08-07T20:15:03.924257
2025,1,,126,,72,"39.490.688,70","23.388.506,06","23.388.506,06",2026-08-07T20:15:03.924257
2025,1,,128,,36,"2.343.530,89","2.132.483,81","2.130.174,83",2026-08-07T20:15:03.924257
2025,1,,131,,48,"203.952,48","187.260,72","187.260,72",2026-08-07T20:15:03.924257
2025,1,,31,,84,"57.431.962,29","38.540.169,45","38.540.169,45",2026-08-07T20:15:03.924257
2025,1,,392,,48,"439.433,87","439.433,87","443.097,68",2026-08-07T20:15:03.924257
2025,28,,845,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2025,28,,846,,124,"42.016.009,46","37.511.029,26","37.511.029,26",2026-08-07T20:15:03.924257
2026,1,,122,,189,"483.071.797,91","415.288.791,77","414.110.492,74",2026-08-07T20:15:03.924257
2026,1,,126,,42,"28.195.221,28","11.321.963,09","11.321.963,09",2026-08-07T20:15:03.924257
2026,1,,128,,21,"1.939.916,68","938.034,60","937.275,96",2026-08-07T20:15:03.924257
2026,1,,131,,28,"206.301,12","106.150,56","106.150,56",2026-08-07T20:15:03.924257
2026,1,,31,,49,"30.463.385,93","18.512.238,05","18.512.238,05",2026-08-07T20:15:03.924257
2026,1,,392,,28,"41.549,20","22.309,20","21.818,40",2026-08-07T20:15:03.924257
2026,28,,845,,7,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2026,28,,846,,77,"25.259.774,54","21.545.014,52","21.533.495,33",2026-08-07T20:15:03.924257
