ano,natureza,natureza_rotulo,natureza_em_seis_digitos,natureza_categoria_economica,natureza_grupo,natureza_modalidade_de_aplicacao,natureza_elemento,natureza_subelemento,linhas,empenhado,liquidado,pago,as_of
2022,319007,,319007,3,1,90,07,,12,"1.950.637,55","1.859.055,60","1.859.055,60",2026-08-07T20:15:03.924257
2022,319011,,319011,3,1,90,11,,12,"348.753.968,47","342.217.986,42","341.607.499,22",2026-08-07T20:15:03.924257
2022,319013,,319013,3,1,90,13,,12,"27.565.068,15","25.059.573,75","25.059.573,75",2026-08-07T20:15:03.924257
2022,319016,,319016,3,1,90,16,,12,"1.949.986,25","1.681.086,25","1.681.086,25",2026-08-07T20:15:03.924257
2022,319091,,319091,3,1,90,91,,12,"143.412,57","131.412,57","131.412,57",2026-08-07T20:15:03.924257
2022,319092,,319092,3,1,90,92,,24,"5.139.509,74","5.139.509,74","5.139.509,74",2026-08-07T20:15:03.924257
2022,319094,,319094,3,1,90,94,,12,"14.588.613,58","9.109.113,58","9.109.113,58",2026-08-07T20:15:03.924257
2022,319096,,319096,3,1,90,96,,12,"1.823.796,88","1.377.340,14","1.377.340,14",2026-08-07T20:15:03.924257
2022,319113,,319113,3,1,91,13,,12,"47.464.246,11","46.876.998,21","46.876.998,21",2026-08-07T20:15:03.924257
2022,319192,,319192,3,1,91,92,,24,"285.447,10","285.447,10","285.447,10",2026-08-07T20:15:03.924257
2022,319196,,319196,3,1,91,96,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339008,,339008,3,3,90,08,,12,"4.042.852,50","4.029.152,50","4.029.152,50",2026-08-07T20:15:03.924257
2022,339014,,339014,3,3,90,14,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339030,,339030,3,3,90,30,,36,"1.973.767,91","1.135.005,60","1.135.005,60",2026-08-07T20:15:03.924257
2022,339031,,339031,3,3,90,31,,24,"240.000,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339032,,339032,3,3,90,32,,24,"33.531,70","33.531,70","33.531,70",2026-08-07T20:15:03.924257
2022,339033,,339033,3,3,90,33,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339035,,339035,3,3,90,35,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339036,,339036,3,3,90,36,,36,"263.440,43","249.537,39","246.505,66",2026-08-07T20:15:03.924257
2022,339037,,339037,3,3,90,37,,36,"15.203.925,28","13.543.365,02","13.443.682,97",2026-08-07T20:15:03.924257
2022,339039,,339039,3,3,90,39,,72,"32.282.634,61","21.598.545,15","21.598.545,15",2026-08-07T20:15:03.924257
2022,339040,,339040,3,3,90,40,,12,"6.869.958,36","5.115.164,73","5.114.239,81",2026-08-07T20:15:03.924257
2022,339046,,339046,3,3,90,46,,12,"29.959.011,31","29.911.233,91","29.729.256,39",2026-08-07T20:15:03.924257
2022,339047,,339047,3,3,90,47,,12,"28.371,89","14.012,91","14.012,91",2026-08-07T20:15:03.924257
2022,339049,,339049,3,3,90,49,,12,"447.231,07","446.231,07","443.291,29",2026-08-07T20:15:03.924257
2022,339091,,339091,3,3,90,91,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339092,,339092,3,3,90,92,,61,"52.629,21","52.629,21","52.629,21",2026-08-07T20:15:03.924257
2022,339093,,339093,3,3,90,93,,24,"8.875.395,31","2.149.347,01","2.149.347,01",2026-08-07T20:15:03.924257
2022,339139,,339139,3,3,91,39,,36,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339147,,339147,3,3,91,47,,12,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339192,,339192,3,3,91,92,,24,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,339193,,339193,3,3,91,93,,24,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
