ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,vl_emenda,vl_lei_alteracao,vl_bloqueado_siggo,vl_disponivel,vl_empenhado,vl_desbloqueado,vl_saldo_a_solicitar,vl_liquidado,as_of
2021,2021-09-30,594,LOA - 6778/2021(PL1417-2021),00557.01,08.244.6228.4188.0019,não,CANCELADO,180902,FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,595,LOA - 6778/2021(PL1417-2021),00394.01,08.244.6228.4188.0016,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-26,596,LOA - 6778/2021(PL1417-2021),00542.01,08.244.6228.4188.0018,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-23,597,LOA - 6778/2021(PL1417-2021),00503.01,08.243.6228.4188.0017,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,598,LOA - 6778/2021(PL1417-2021),00203.01,08.244.6228.4159.0007,não,ATIVO,180902,FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL,"500.000,00","500.000,00","0,00","0,00","500.000,00","500.000,00","0,00","128.897,15",2025-12-16T18:14:28.151388
2021,2021-04-26,599,LOA - 6778/2021(PL1417-2021),00533.01,26.782.6216.3005.0018,não,CANCELADO,200202,DEPARTAMENTO DE ESTRADAS DE RODAGEM,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,600,LOA - 6778/2021(PL1417-2021),00316.01,25.752.6209.1836.7034,não,ATIVO,190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,601,LOA - 6778/2021(PL1417-2021),00313.01,15.752.6209.1836.7033,não,ATIVO,190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,602,LOA - 6778/2021(PL1417-2021),00281.01,15.752.6209.1836.7042,não,ATIVO,190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,603,LOA - 6778/2021(PL1417-2021),00091.01,15.752.6209.1836.7028,não,ATIVO,190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,"290.000,00","290.000,00","90.000,00","200.000,00","0,00","200.000,00","52.000,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,604,LOA - 6778/2021(PL1417-2021),00229.01,14.422.6203.3779.0009,não,ATIVO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"2.000.000,00","2.000.000,00","0,00","55.000,00","1.945.000,00","2.000.000,00","0,00","1.945.000,00",2025-12-16T18:14:28.151388
