ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,parlamentar_no_painel,partido_no_painel,vl_emenda,vl_lei_alteracao_portal,vl_lei_alteracao_painel,vl_empenhado_portal,vl_empenhado_painel,vl_bloqueado_portal,vl_bloqueado_painel,vl_disponivel_portal,vl_disponivel_painel,vl_desbloqueado,vl_liquidado,vl_saldo_a_solicitar,as_of_portal,as_of_painel
2023,2023-03-07,3153,7212 LOA/2023(PL2992-2022),00298.01,08.244.6228.1235.0001,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,LEANDRO GRASS,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3154,7212 LOA/2023(PL2992-2022),00297.01,08.244.6228.1235.0002,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,LEANDRO GRASS,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3155,7212 LOA/2023(PL2992-2022),00361.01,16.482.6208.3010.0002,não,CANCELADO,280209,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL,CLÁUDIO ABRANTES,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3156,7212 LOA/2023(PL2992-2022),00317.01,13.392.6219.9112.0002,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,CHICO VIGILANTE,PARTIDO DOS TRABALHADORES,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3157,7212 LOA/2023(PL2992-2022),00211.01,13.392.6219.9112.0003,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,RAFAEL PRUDENTE,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3158,7212 LOA/2023(PL2992-2022),00412.01,20.304.6201.4022.0004,não,ATIVO,210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,"750.000,00","750.000,00","750.000,00","704.012,27","704.012,27","0,00","0,00","45.987,73","45.987,73","750.000,00","702.968,27","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3159,7212 LOA/2023(PL2992-2022),00406.01,13.392.6219.9112.0004,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,RODRIGO DELMASSO,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-06,3160,7212 LOA/2023(PL2992-2022),00063.01,26.782.6217.3209.0005,não,CANCELADO,200202,DEPARTAMENTO DE ESTRADAS DE RODAGEM,JÚLIA LUCY,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3161,7212 LOA/2023(PL2992-2022),00367.01,14.244.6211.9070.0005,não,CANCELADO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,CLÁUDIO ABRANTES,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3162,7212 LOA/2023(PL2992-2022),00303.01,10.301.6202.3136.0006,não,CANCELADO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,LEANDRO GRASS,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-06,3163,7212 LOA/2023(PL2992-2022),00138.01,10.302.6202.3225.0007,não,CANCELADO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,ARLETE SAMPAIO,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-06,3164,7212 LOA/2023(PL2992-2022),00100.01,10.302.6202.3736.0007,não,CANCELADO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,JORGE VIANNA,PARTIDO SOCIAL DEMOCRÁTICO,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3165,7212 LOA/2023(PL2992-2022),00247.01,14.422.6211.4211.0007,não,CANCELADO,570101,SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","'-200.000,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-06,3166,7212 LOA/2023(PL2992-2022),00140.01,20.606.6201.2620.0008,não,CANCELADO,210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",ARLETE SAMPAIO,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3167,7212 LOA/2023(PL2992-2022),00307.01,06.181.6217.3098.0009,não,CANCELADO,220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,FERNANDO FERNANDES,GDF,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3168,7212 LOA/2023(PL2992-2022),00250.01,14.243.6211.4217.0009,não,ATIVO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,"300.000,00","300.000,00","300.000,00","91.461,32","91.461,32","0,00","0,00","208.538,68","208.538,68","300.000,00","91.461,32","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-11-08,3169,7212 LOA/2023(PL2992-2022),00072.01,26.782.6216.4195.0011,não,ATIVO,200202,DEPARTAMENTO DE ESTRADAS DE RODAGEM,EDUARDO PEDROSA,UNIÃO BRASIL,"1.600.000,00","1.600.000,00","800.000,00","1.599.983,24","799.991,62","0,00","0,00","16,76","8,38","1.600.000,00","1.599.983,24","0,00",2025-12-16T18:14:28.151388,2026-09-01
2023,2023-03-07,3170,7212 LOA/2023(PL2992-2022),00418.01,26.782.6216.4195.0012,não,ATIVO,200202,DEPARTAMENTO DE ESTRADAS DE RODAGEM,DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,"1.000.000,00","1.000.000,00","1.000.000,00","1.000.000,00","1.000.000,00","0,00","0,00","0,00","0,00","1.000.000,00","1.000.000,00","0,00",2025-12-16T18:14:28.151388,2026-09-01
