ano_exercicio,parlamentar,partido,emendas,emendas_ativas,emendas_canceladas,emendas_impositivas,vl_lei_alteracao,vl_empenhado,as_of
2023,AGACIEL MAIA,GDF,7,0,7,3,0.00,0.00,2026-09-01
2023,ARLETE SAMPAIO,GDF,22,0,22,11,0.00,0.00,2026-09-01
2023,CHICO VIGILANTE,PARTIDO DOS TRABALHADORES,25,19,6,19,25017350.00,22395420.66,2026-09-01
2023,CLÁUDIO ABRANTES,GDF,30,0,30,5,0.00,0.00,2026-09-01
2023,DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,21,13,8,8,25017350.00,23418228.70,2026-09-01
2023,DAYSE AMARILIO,PARTIDO SOCIALISTA BRASILEIRO,25,17,8,12,22248596.00,20850248.57,2026-09-01
2023,DOUTORA JANE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,30,22,8,15,22845000.00,19314833.30,2026-09-01
2023,EDUARDO PEDROSA,UNIÃO BRASIL,42,27,15,24,25017350.00,23846684.81,2026-09-01
2023,FERNANDO FERNANDES,GDF,13,0,13,5,0.00,0.00,2026-09-01
2023,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,37,25,12,17,22950330.00,19348101.04,2026-09-01
2023,GABRIEL MAGNO,PARTIDO DOS TRABALHADORES,26,18,8,16,23510410.00,20830423.96,2026-09-01
2023,HERMETO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,53,31,22,28,25017350.00,19554201.57,2026-09-01
2023,IOLANDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,27,17,10,9,25017350.00,23210719.73,2026-09-01
2023,JAQUELINE SILVA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,52,31,21,27,21569750.00,20848015.69,2026-09-01
2023,JOAQUIM RORIZ NETO,PARTIDO LIBERAL,35,25,10,22,21600525.00,19781628.88,2026-09-01
2023,JORGE VIANNA,PARTIDO SOCIAL DEMOCRÁTICO,48,34,14,28,23467017.00,18297361.14,2026-09-01
2023,JOSÉ GOMES,GDF,29,0,29,10,0.00,0.00,2026-09-01
2023,JOÃO CARDOSO,AVANTE,42,25,17,24,25017350.00,21628279.62,2026-09-01
2023,JÚLIA LUCY,GDF,25,0,25,9,0.00,0.00,2026-09-01
2023,LEANDRO GRASS,GDF,7,0,7,5,0.00,0.00,2026-09-01
2023,MARTINS MACHADO,REPUBLICANOS,33,24,9,12,25000000.00,20418326.21,2026-09-01
2023,MAX MACIEL,PARTIDO SOCIALISMO E LIBERDADE,35,28,7,20,23500000.00,20100383.12,2026-09-01
2023,PASTOR DANIEL DE CASTRO,PROGRESSISTAS,40,34,6,23,23500000.00,18448000.60,2026-09-01
2023,PAULA BELMONTE,CIDADANIA,44,28,16,23,22467000.00,17084082.03,2026-09-01
2023,PEPA,PROGRESSISTAS,29,27,2,15,23500000.00,21035203.69,2026-09-01
2023,RAFAEL PRUDENTE,GDF,10,0,10,2,0.00,0.00,2026-09-01
2023,REGINALDO SARDINHA,GDF,6,0,6,3,0.00,0.00,2026-09-01
2023,REGINALDO VERAS,GDF,11,0,11,7,0.00,0.00,2026-09-01
2023,RICARDO VALE,PARTIDO DOS TRABALHADORES,28,21,7,14,22309730.00,18355000.55,2026-09-01
2023,ROBÉRIO NEGREIROS,PARTIDO SOCIAL DEMOCRÁTICO,35,25,10,20,25917350.00,24571577.04,2026-09-01
2023,RODRIGO DELMASSO,GDF,19,0,19,10,0.00,0.00,2026-09-01
2023,ROGÉRIO MORRO DA CRUZ,PARTIDO RENOVAÇÃO DEMOCRÁTICA,33,29,4,22,23200000.00,20854942.72,2026-09-01
2023,ROOSEVELT VILELA,PARTIDO LIBERAL,37,24,13,12,25017350.00,22911070.79,2026-09-01
2023,THIAGO MANZONI,PARTIDO LIBERAL,44,25,19,24,23280000.00,19788532.69,2026-09-01
2023,WELLINGTON LUIZ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,18,6,11,23500000.00,20679024.89,2026-09-01
2024,CHICO VIGILANTE,PARTIDO DOS TRABALHADORES,24,19,5,9,27000000.00,24799680.88,2026-09-01
2024,DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20,11,9,9,27000000.00,25092070.44,2026-09-01
2024,DAYSE AMARILIO,PARTIDO SOCIALISTA BRASILEIRO,43,23,20,20,24989912.00,24044240.77,2026-09-01
2024,DOUTORA JANE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,39,16,23,18,27000000.00,23256129.40,2026-09-01
2024,EDUARDO PEDROSA,UNIÃO BRASIL,36,18,18,24,25263575.00,24030860.63,2026-09-01
2024,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,43,21,22,12,26164000.00,21673360.85,2026-09-01
2024,GABRIEL MAGNO,PARTIDO DOS TRABALHADORES,35,15,20,20,27700000.00,23147216.84,2026-09-01
2024,HERMETO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,42,13,29,26,22858569.00,20538108.39,2026-09-01
2024,IOLANDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,22,13,9,8,25361828.00,23853950.46,2026-09-01
2024,JAQUELINE SILVA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,53,37,16,28,26500000.00,25142958.57,2026-09-01
2024,JOAQUIM RORIZ NETO,PARTIDO LIBERAL,32,17,15,19,27000000.00,25688235.91,2026-09-01
2024,JORGE VIANNA,PARTIDO SOCIAL DEMOCRÁTICO,39,28,11,26,27000000.00,23360691.32,2026-09-01
2024,JOÃO CARDOSO,AVANTE,37,20,17,18,19277206.00,18564886.51,2026-09-01
2024,MARTINS MACHADO,REPUBLICANOS,31,20,11,13,26699966.00,23657689.40,2026-09-01
2024,MAX MACIEL,PARTIDO SOCIALISMO E LIBERDADE,47,32,15,16,28208000.00,23762062.74,2026-09-01
2024,PASTOR DANIEL DE CASTRO,PROGRESSISTAS,39,16,23,29,23089199.00,22638120.03,2026-09-01
2024,PAULA BELMONTE,CIDADANIA,55,31,24,36,24950416.00,21091503.17,2026-09-01
2024,PEPA,PROGRESSISTAS,25,16,9,14,26556000.00,26002134.50,2026-09-01
2024,RICARDO VALE,PARTIDO DOS TRABALHADORES,42,18,24,24,27000000.00,18652418.42,2026-09-01
2024,ROBÉRIO NEGREIROS,PARTIDO SOCIAL DEMOCRÁTICO,34,21,13,19,26590500.00,25698765.08,2026-09-01
2024,ROGÉRIO MORRO DA CRUZ,PARTIDO RENOVAÇÃO DEMOCRÁTICA,47,27,20,26,26000000.00,17829452.02,2026-09-01
2024,ROOSEVELT VILELA,PARTIDO LIBERAL,26,17,9,7,27000000.00,24226622.83,2026-09-01
2024,THIAGO MANZONI,PARTIDO LIBERAL,47,26,21,22,26600000.00,24802074.48,2026-09-01
2024,WELLINGTON LUIZ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,27,20,7,11,24501571.00,21107170.50,2026-09-01
2025,CHICO VIGILANTE,PARTIDO DOS TRABALHADORES,33,23,10,15,27587179.00,22527065.18,2026-09-01
2025,DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,17,9,8,4,24625662.00,23084098.44,2026-09-01
2025,DAYSE AMARILIO,PARTIDO SOCIALISTA BRASILEIRO,22,18,4,13,26478649.00,21930490.51,2026-09-01
2025,DOUTORA JANE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,30,19,11,15,22367362.00,21388381.81,2026-09-01
2025,EDUARDO PEDROSA,UNIÃO BRASIL,30,23,7,18,26316419.00,25811401.89,2026-09-01
2025,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,33,19,14,16,23842737.00,21326131.04,2026-09-01
2025,GABRIEL MAGNO,PARTIDO DOS TRABALHADORES,29,17,12,17,20125062.00,18222260.50,2026-09-01
2025,HERMETO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,57,32,25,30,31349169.00,24134383.32,2026-09-01
2025,IOLANDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,17,13,4,6,26472130.00,25131331.96,2026-09-01
2025,JAQUELINE SILVA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,38,23,15,21,26511174.00,25692373.34,2026-09-01
2025,JOAQUIM RORIZ NETO,PARTIDO LIBERAL,22,14,8,13,26733460.00,26583172.34,2026-09-01
2025,JORGE VIANNA,PARTIDO SOCIAL DEMOCRÁTICO,39,33,6,25,30429612.00,27503199.40,2026-09-01
2025,JOÃO CARDOSO,AVANTE,36,15,21,15,29723968.00,23915439.13,2026-09-01
2025,MARTINS MACHADO,REPUBLICANOS,27,19,8,13,26331963.00,25527370.95,2026-09-01
2025,MAX MACIEL,PARTIDO SOCIALISMO E LIBERDADE,36,23,13,18,29050751.00,19831854.56,2026-09-01
2025,PASTOR DANIEL DE CASTRO,PROGRESSISTAS,22,14,8,10,23984894.00,22749674.14,2026-09-01
2025,PAULA BELMONTE,CIDADANIA,33,15,18,12,16241423.00,15234793.94,2026-09-01
2025,PEPA,PROGRESSISTAS,31,23,8,9,27457036.00,26069137.09,2026-09-01
2025,RICARDO VALE,PARTIDO DOS TRABALHADORES,39,29,10,21,23444141.00,16201731.05,2026-09-01
2025,ROBÉRIO NEGREIROS,PARTIDO SOCIAL DEMOCRÁTICO,33,15,18,16,27438091.00,26743682.40,2026-09-01
2025,ROGÉRIO MORRO DA CRUZ,PARTIDO RENOVAÇÃO DEMOCRÁTICA,40,32,8,22,29657898.00,19597381.57,2026-09-01
2025,ROOSEVELT VILELA,PARTIDO LIBERAL,36,29,7,10,26265227.00,25384508.06,2026-09-01
2025,THIAGO MANZONI,PARTIDO LIBERAL,27,18,9,10,30493278.00,23134589.28,2026-09-01
2025,WELLINGTON LUIZ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,44,37,7,17,29790896.00,22173669.20,2026-09-01
2026,CHICO VIGILANTE,PARTIDO DOS TRABALHADORES,24,21,3,10,34492000.00,9790538.05,2026-09-01
2026,DANIEL DONIZET,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20,13,7,7,34492000.00,18931006.27,2026-09-01
2026,DAYSE AMARILIO,PARTIDO SOCIALISTA BRASILEIRO,21,17,4,16,34492000.00,12168083.64,2026-09-01
2026,DOUTORA JANE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20,18,2,9,34492000.00,13724320.01,2026-09-01
2026,EDUARDO PEDROSA,UNIÃO BRASIL,27,22,5,16,34172000.00,16326321.52,2026-09-01
2026,FÁBIO FELIX,PARTIDO SOCIALISMO E LIBERDADE,22,21,1,11,34492000.00,6994052.42,2026-09-01
2026,GABRIEL MAGNO,PARTIDO DOS TRABALHADORES,36,35,1,19,34492000.00,3023387.25,2026-09-01
2026,HERMETO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,35,31,4,17,34492000.00,20234138.78,2026-09-01
2026,IOLANDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,12,9,3,6,34492000.00,18962532.36,2026-09-01
2026,JAQUELINE SILVA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,35,27,8,15,34492000.00,17550393.98,2026-09-01
2026,JOAQUIM RORIZ NETO,PARTIDO LIBERAL,13,8,5,6,34492000.00,25399963.19,2026-09-01
2026,JORGE VIANNA,PARTIDO SOCIAL DEMOCRÁTICO,42,35,7,26,34492000.00,13631999.02,2026-09-01
2026,JOÃO CARDOSO,AVANTE,24,17,7,9,34492000.00,11565719.12,2026-09-01
2026,MARTINS MACHADO,REPUBLICANOS,21,20,1,9,34492000.00,15682000.72,2026-09-01
2026,MAX MACIEL,PARTIDO SOCIALISMO E LIBERDADE,30,29,1,16,34669000.00,11009615.14,2026-09-01
2026,PASTOR DANIEL DE CASTRO,PROGRESSISTAS,16,10,6,6,34492000.00,17676765.00,2026-09-01
2026,PAULA BELMONTE,CIDADANIA,24,19,5,11,34492000.00,4000000.00,2026-09-01
2026,PEPA,PROGRESSISTAS,22,19,3,9,34492000.00,23707543.46,2026-09-01
2026,RICARDO VALE,PARTIDO DOS TRABALHADORES,23,19,4,10,34492000.00,3936972.90,2026-09-01
2026,ROBÉRIO NEGREIROS,PARTIDO SOCIAL DEMOCRÁTICO,28,19,9,11,34492000.00,15345006.62,2026-09-01
2026,ROGÉRIO MORRO DA CRUZ,PARTIDO RENOVAÇÃO DEMOCRÁTICA,29,24,5,13,34492000.00,12212373.34,2026-09-01
2026,ROOSEVELT VILELA,PARTIDO LIBERAL,25,23,2,6,33992000.00,20584089.18,2026-09-01
2026,THIAGO MANZONI,PARTIDO LIBERAL,22,15,7,6,34492000.00,17858714.24,2026-09-01
2026,WELLINGTON LUIZ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,35,29,6,11,34492000.00,15889435.41,2026-09-01
