cod_unidade_orcamentaria,unidade_orcamentaria,ano,emendas,canceladas,vl_emenda,vl_lei_alteracao,vl_empenhado,vl_disponivel,vl_desbloqueado,vl_liquidado,as_of
190121,ADM. REG. DA CANDANGOLÂNDIA,2021,12,3,"4.815.000,00","4.835.000,00","4.603.528,91","175.471,09","4.779.000,00","2.071.067,52",2025-12-16T18:14:28.151388
190121,ADM. REG. DA CANDANGOLÂNDIA,2022,11,3,"2.366.597,00","2.366.597,00","1.759.909,76","416.687,24","2.880.000,00","1.759.909,76",2025-12-16T18:14:28.151388
190121,ADM. REG. DA CANDANGOLÂNDIA,2023,7,5,"1.150.000,00","1.150.000,00","445.858,56","304.141,44","750.000,00","191.669,00",2025-12-16T18:14:28.151388
190121,ADM. REG. DA CANDANGOLÂNDIA,2024,5,5,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190121,ADM. REG. DA CANDANGOLÂNDIA,2025,5,1,"1.150.000,00","1.150.000,00","664.223,50","485.776,50","1.150.000,00","209.279,65",2025-12-16T18:14:28.151388
190133,ADM. REG. DA FERCAL,2021,5,2,"860.000,00","860.000,00","677.255,14","182.744,86","860.000,00","335.784,65",2025-12-16T18:14:28.151388
190133,ADM. REG. DA FERCAL,2022,6,2,"1.345.428,00","1.345.428,00","1.294.250,88","51.177,12","3.250.000,00","1.294.250,88",2025-12-16T18:14:28.151388
190133,ADM. REG. DA FERCAL,2023,6,3,"430.000,00","430.000,00","341.228,15","88.771,85","430.000,00","341.228,15",2025-12-16T18:14:28.151388
190133,ADM. REG. DA FERCAL,2024,4,2,"400.000,00","400.000,00","398.740,14","0,00","400.000,00","48.740,14",2025-12-16T18:14:28.151388
190133,ADM. REG. DA FERCAL,2025,3,1,"665.000,00","665.000,00","661.973,75","3.026,25","665.000,00","130.496,46",2025-12-16T18:14:28.151388
190106,ADM. REG. DE BRAZLÂNDIA,2021,12,2,"5.280.000,00","5.280.000,00","3.171.158,00","2.108.841,41","4.959.999,41","2.354.866,96",2025-12-16T18:14:28.151388
190106,ADM. REG. DE BRAZLÂNDIA,2022,9,4,"5.300.000,00","5.300.000,00","5.263.876,59","36.123,41","5.300.000,00","3.691.493,34",2025-12-16T18:14:28.151388
190106,ADM. REG. DE BRAZLÂNDIA,2023,2,0,"776.350,00","776.350,00","776.339,73","10,27","776.350,00","517.347,00",2025-12-16T18:14:28.151388
190106,ADM. REG. DE BRAZLÂNDIA,2024,2,2,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190106,ADM. REG. DE BRAZLÂNDIA,2025,1,0,"400.000,00","400.000,00","244.858,72","155.141,28","400.000,00","180.548,72",2025-12-16T18:14:28.151388
190111,ADM. REG. DE CEILÂNDIA,2021,15,8,"1.580.427,00","1.244.849,00","77.962,61","606.886,39","990.427,00","56.144,19",2025-12-16T18:14:28.151388
190111,ADM. REG. DE CEILÂNDIA,2022,22,16,"733.808,00","733.808,00","602.747,16","131.060,84","1.339.000,00","565.764,31",2025-12-16T18:14:28.151388
190111,ADM. REG. DE CEILÂNDIA,2023,15,5,"2.984.986,00","2.984.986,00","1.986.895,10","748.090,90","2.829.461,00","567.929,46",2025-12-16T18:14:28.151388
190111,ADM. REG. DE CEILÂNDIA,2024,6,3,"410.094,00","410.094,00","205.208,26","0,00","410.094,00","162.590,46",2025-12-16T18:14:28.151388
190111,ADM. REG. DE CEILÂNDIA,2025,3,1,"35.000,00","35.000,00","7.738,00","1.560,00","35.000,00","7.738,00",2025-12-16T18:14:28.151388
190108,ADM. REG. DE PLANALTINA,2021,14,6,"3.677.523,00","3.927.523,00","2.848.256,54","862.101,46","3.557.000,00","700.620,09",2025-12-16T18:14:28.151388
190108,ADM. REG. DE PLANALTINA,2022,12,9,"1.739.677,00","1.739.677,00","1.664.127,04","75.549,96","2.310.000,00","1.664.127,04",2025-12-16T18:14:28.151388
190108,ADM. REG. DE PLANALTINA,2023,6,3,"1.150.000,00","1.150.000,00","574.910,41","575.089,59","1.150.000,00","0,00",2025-12-16T18:14:28.151388
190108,ADM. REG. DE PLANALTINA,2024,4,2,"532.000,00","532.000,00","500.000,00","0,00","500.000,00","0,00",2025-12-16T18:14:28.151388
190108,ADM. REG. DE PLANALTINA,2025,4,1,"150.000,00","150.000,00","98.304,84","51.695,16","150.000,00","94.385,00",2025-12-16T18:14:28.151388
190114,ADM. REG. DE SAMAMBAIA,2021,5,1,"590.000,00","590.000,00","422.587,25","167.412,75","590.000,00","222.822,57",2025-12-16T18:14:28.151388
190114,ADM. REG. DE SAMAMBAIA,2022,9,5,"450.000,00","450.000,00","332.474,95","117.525,05","1.000.000,00","0,00",2025-12-16T18:14:28.151388
190114,ADM. REG. DE SAMAMBAIA,2023,11,3,"3.124.929,00","3.124.929,00","1.739.438,81","1.185.490,19","3.060.000,00","40.370,00",2025-12-16T18:14:28.151388
190114,ADM. REG. DE SAMAMBAIA,2024,6,4,"340.000,00","340.000,00","302.475,47","0,00","340.000,00","302.475,47",2025-12-16T18:14:28.151388
190114,ADM. REG. DE SAMAMBAIA,2025,2,0,"280.000,00","280.000,00","52.958,94","227.041,06","630.000,00","32.395,39",2025-12-16T18:14:28.151388
190115,ADM. REG. DE SANTA MARIA,2021,13,8,"1.782.000,00","1.757.000,00","1.634.809,07","122.190,93","8.242.000,00","227.809,09",2025-12-16T18:14:28.151388
190115,ADM. REG. DE SANTA MARIA,2022,8,6,"480.000,00","480.000,00","480.000,00","0,00","480.000,00","480.000,00",2025-12-16T18:14:28.151388
190115,ADM. REG. DE SANTA MARIA,2023,10,3,"2.615.060,00","2.615.060,00","2.566.252,52","48.807,48","3.494.100,00","1.837.356,62",2025-12-16T18:14:28.151388
190115,ADM. REG. DE SANTA MARIA,2024,11,6,"1.596.500,00","1.596.500,00","1.596.403,00","0,00","1.605.000,00","1.066.746,74",2025-12-16T18:14:28.151388
190115,ADM. REG. DE SANTA MARIA,2025,7,5,"350.000,00","350.000,00","327.023,09","22.976,91","350.000,00","292.747,14",2025-12-16T18:14:28.151388
190107,ADM. REG. DE SOBRADINHO,2021,8,1,"2.105.000,00","2.105.000,00","766.941,87","738.058,13","1.505.000,00","278.838,27",2025-12-16T18:14:28.151388
190107,ADM. REG. DE SOBRADINHO,2022,7,4,"656.536,00","656.536,00","476.536,00","180.000,00","1.956.000,00","476.536,00",2025-12-16T18:14:28.151388
190107,ADM. REG. DE SOBRADINHO,2023,10,2,"4.368.673,00","4.368.673,00","1.891.554,10","1.677.118,90","3.688.673,00","0,00",2025-12-16T18:14:28.151388
190107,ADM. REG. DE SOBRADINHO,2024,7,3,"1.400.000,00","1.400.000,00","1.192.835,37","0,00","2.400.000,00","1.103.571,01",2025-12-16T18:14:28.151388
190107,ADM. REG. DE SOBRADINHO,2025,4,2,"150.000,00","150.000,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190128,ADM. REG. DE SOBRADINHO II,2021,6,2,"1.800.000,00","1.800.000,00","236.591,62","1.563.408,38","1.800.000,00","84.011,20",2025-12-16T18:14:28.151388
190128,ADM. REG. DE SOBRADINHO II,2022,7,3,"311.414,00","311.414,00","40.408,98","271.005,02","1.058.140,00","40.408,98",2025-12-16T18:14:28.151388
190128,ADM. REG. DE SOBRADINHO II,2023,6,1,"1.900.000,00","1.900.000,00","1.539.261,39","360.738,61","1.900.000,00","108.595,00",2025-12-16T18:14:28.151388
190128,ADM. REG. DE SOBRADINHO II,2024,8,6,"800.000,00","800.000,00","349.124,80","0,00","800.000,00","349.124,80",2025-12-16T18:14:28.151388
190128,ADM. REG. DE SOBRADINHO II,2025,6,3,"300.000,00","300.000,00","0,00","0,00","500.000,00","0,00",2025-12-16T18:14:28.151388
190116,ADM. REG. DE SÃO SEBASTIÃO,2021,8,4,"1.010.000,00","1.010.000,00","747.140,46","262.859,54","1.010.000,00","0,00",2025-12-16T18:14:28.151388
190116,ADM. REG. DE SÃO SEBASTIÃO,2022,2,1,"71.000,00","71.000,00","70.853,36","146,64","71.000,00","0,00",2025-12-16T18:14:28.151388
190116,ADM. REG. DE SÃO SEBASTIÃO,2023,5,0,"5.014.330,00","4.973.711,85","4.418.195,39","269.516,46","5.700.000,00","315.222,35",2025-12-16T18:14:28.151388
190116,ADM. REG. DE SÃO SEBASTIÃO,2024,2,1,"350.000,00","350.000,00","93.766,74","0,00","200.000,00","93.766,74",2025-12-16T18:14:28.151388
190116,ADM. REG. DE SÃO SEBASTIÃO,2025,4,3,"50.000,00","50.000,00","47.064,80","2.935,20","50.000,00","47.064,80",2025-12-16T18:14:28.151388
190105,ADM. REG. DE TAGUATINGA,2021,6,1,"2.400.000,00","2.520.000,00","1.951.820,20","568.179,80","2.520.000,00","951.820,20",2025-12-16T18:14:28.151388
190105,ADM. REG. DE TAGUATINGA,2022,7,4,"659.000,00","659.000,00","498.488,60","131.511,40","630.000,00","498.488,60",2025-12-16T18:14:28.151388
190105,ADM. REG. DE TAGUATINGA,2023,10,4,"1.800.000,00","1.800.000,00","1.000.000,00","650.000,00","1.650.000,00","0,00",2025-12-16T18:14:28.151388
190105,ADM. REG. DE TAGUATINGA,2024,9,5,"1.200.000,00","800.000,00","281.212,48","0,00","1.200.000,00","281.212,48",2025-12-16T18:14:28.151388
190105,ADM. REG. DE TAGUATINGA,2025,3,2,"300.000,00","300.000,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190132,ADM. REG. DE VICENTE PIRES,2021,1,0,"80.000,00","80.000,00","0,00","80.000,00","80.000,00","0,00",2025-12-16T18:14:28.151388
190132,ADM. REG. DE VICENTE PIRES,2022,2,1,"30.000,00","30.000,00","0,00","30.000,00","330.000,00","0,00",2025-12-16T18:14:28.151388
190132,ADM. REG. DE VICENTE PIRES,2023,1,0,"500.000,00","500.000,00","497.576,86","2.423,14","500.000,00","0,00",2025-12-16T18:14:28.151388
190132,ADM. REG. DE VICENTE PIRES,2024,2,2,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190132,ADM. REG. DE VICENTE PIRES,2025,1,0,"31.474,00","31.474,00","29.676,00","1.798,00","31.474,00","0,00",2025-12-16T18:14:28.151388
190122,ADM. REG. DE ÁGUAS CLARAS,2021,2,0,"1.170.000,00","1.170.000,00","470.798,53","699.201,47","1.170.000,00","0,00",2025-12-16T18:14:28.151388
190122,ADM. REG. DE ÁGUAS CLARAS,2022,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190122,ADM. REG. DE ÁGUAS CLARAS,2023,1,0,"800.000,00","800.000,00","789.671,69","10.328,31","800.000,00","0,00",2025-12-16T18:14:28.151388
190122,ADM. REG. DE ÁGUAS CLARAS,2024,5,4,"100.000,00","100.000,00","83.502,90","0,00","100.000,00","83.502,90",2025-12-16T18:14:28.151388
190122,ADM. REG. DE ÁGUAS CLARAS,2025,1,0,"100.000,00","100.000,00","96.785,20","3.214,80","100.000,00","9.400,00",2025-12-16T18:14:28.151388
190113,ADM. REG. DO CRUZEIRO,2021,5,1,"2.390.000,00","2.390.000,00","1.586.395,15","803.604,85","2.390.000,00","1.561.218,76",2025-12-16T18:14:28.151388
190113,ADM. REG. DO CRUZEIRO,2022,2,1,"93.000,00","93.000,00","89.813,99","3.186,01","250.000,00","73.813,99",2025-12-16T18:14:28.151388
190113,ADM. REG. DO CRUZEIRO,2025,4,0,"320.000,00","320.000,00","222.389,15","17.610,85","240.000,00","72.826,00",2025-12-16T18:14:28.151388
190104,ADM. REG. DO GAMA,2021,13,6,"2.600.000,00","2.600.000,00","592.400,13","687.599,87","1.900.000,00","300.922,20",2025-12-16T18:14:28.151388
190104,ADM. REG. DO GAMA,2022,19,12,"1.718.140,00","1.718.140,00","385.251,23","364.748,77","1.050.000,00","6.018,00",2025-12-16T18:14:28.151388
190104,ADM. REG. DO GAMA,2023,7,4,"1.162.000,00","1.162.000,00","1.005.226,93","156.773,07","1.170.000,00","571.875,52",2025-12-16T18:14:28.151388
190104,ADM. REG. DO GAMA,2024,6,5,"500.000,00","500.000,00","500.000,00","0,00","500.000,00","0,00",2025-12-16T18:14:28.151388
190104,ADM. REG. DO GAMA,2025,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190112,ADM. REG. DO GUARÁ,2021,7,1,"370.000,00","370.000,00","229.811,00","140.189,00","370.000,00","229.811,00",2025-12-16T18:14:28.151388
190112,ADM. REG. DO GUARÁ,2022,2,2,"0,00","0,00","0,00","0,00","200.000,00","0,00",2025-12-16T18:14:28.151388
190112,ADM. REG. DO GUARÁ,2023,6,3,"3.593.784,00","3.593.784,00","3.593.783,19","0,81","3.642.319,00","2.154.660,28",2025-12-16T18:14:28.151388
190112,ADM. REG. DO GUARÁ,2024,8,6,"1.100.000,00","1.100.000,00","1.041.886,28","0,00","1.100.000,00","1.040.019,59",2025-12-16T18:14:28.151388
190112,ADM. REG. DO GUARÁ,2025,2,1,"200.000,00","200.000,00","148.897,64","51.102,36","200.000,00","129.797,70",2025-12-16T18:14:28.151388
190130,ADM. REG. DO ITAPOÃ,2021,1,0,"500.000,00","500.000,00","500.000,00","0,00","500.000,00","0,00",2025-12-16T18:14:28.151388
190130,ADM. REG. DO ITAPOÃ,2022,2,1,"1.000.000,00","2.000.000,00","2.000.000,00","0,00","1.000.000,00","2.000.000,00",2025-12-16T18:14:28.151388
190130,ADM. REG. DO ITAPOÃ,2023,2,1,"100.000,00","100.000,00","41.700,00","58.300,00","100.000,00","41.700,00",2025-12-16T18:14:28.151388
190130,ADM. REG. DO ITAPOÃ,2024,4,4,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190130,ADM. REG. DO ITAPOÃ,2025,3,1,"225.000,00","225.000,00","174.040,77","50.959,23","225.000,00","0,00",2025-12-16T18:14:28.151388
190129,ADM. REG. DO JARDIM BOTÂNICO,2021,4,3,"200.000,00","200.000,00","200.000,00","0,00","200.000,00","0,00",2025-12-16T18:14:28.151388
190129,ADM. REG. DO JARDIM BOTÂNICO,2022,5,5,"0,00","0,00","0,00","0,00","800.000,00","0,00",2025-12-16T18:14:28.151388
190129,ADM. REG. DO JARDIM BOTÂNICO,2023,4,1,"1.050.000,00","1.050.000,00","560.402,27","489.597,73","1.050.000,00","360.102,60",2025-12-16T18:14:28.151388
190129,ADM. REG. DO JARDIM BOTÂNICO,2024,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190120,ADM. REG. DO LAGO NORTE,2021,3,0,"590.000,00","590.000,00","492.216,45","97.783,55","590.000,00","470.264,18",2025-12-16T18:14:28.151388
190120,ADM. REG. DO LAGO NORTE,2022,1,1,"0,00","0,00","0,00","0,00","100.000,00","0,00",2025-12-16T18:14:28.151388
190120,ADM. REG. DO LAGO NORTE,2023,1,1,"0,00","0,00","0,00","0,00","400.000,00","0,00",2025-12-16T18:14:28.151388
190120,ADM. REG. DO LAGO NORTE,2024,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
190118,ADM. REG. DO LAGO SUL,2021,1,0,"300.000,00","300.000,00","0,00","300.000,00","300.000,00","0,00",2025-12-16T18:14:28.151388
190118,ADM. REG. DO LAGO SUL,2022,4,4,"0,00","0,00","0,00","0,00","300.000,00","0,00",2025-12-16T18:14:28.151388
190110,ADM. REG. DO NÚCLEO BANDEIRANTE,2021,12,6,"3.400.000,00","3.400.000,00","2.933.835,94","366.164,06","3.100.000,00","2.933.835,94",2025-12-16T18:14:28.151388
190110,ADM. REG. DO NÚCLEO BANDEIRANTE,2022,11,8,"1.647.296,00","1.647.296,00","1.647.295,20","0,80","3.530.000,00","77.904,96",2025-12-16T18:14:28.151388
190110,ADM. REG. DO NÚCLEO BANDEIRANTE,2023,8,2,"1.330.000,00","1.330.000,00","476.801,05","453.198,95","930.000,00","476.801,05",2025-12-16T18:14:28.151388
190110,ADM. REG. DO NÚCLEO BANDEIRANTE,2024,6,4,"800.000,00","800.000,00","800.000,00","0,00","1.200.000,00","312.663,00",2025-12-16T18:14:28.151388
190110,ADM. REG. DO NÚCLEO BANDEIRANTE,2025,6,1,"950.000,00","950.000,00","393.419,85","556.580,15","950.000,00","168.509,85",2025-12-16T18:14:28.151388
190109,ADM. REG. DO PARANOÁ,2021,7,2,"1.215.000,00","1.215.000,00","455.686,46","759.313,54","1.215.000,00","220.663,64",2025-12-16T18:14:28.151388
190109,ADM. REG. DO PARANOÁ,2022,7,4,"410.000,00","410.000,00","0,00","410.000,00","810.000,00","0,00",2025-12-16T18:14:28.151388
190109,ADM. REG. DO PARANOÁ,2023,3,0,"1.187.100,00","1.187.100,00","1.183.717,82","3.382,18","1.187.100,00","100.000,00",2025-12-16T18:14:28.151388
190109,ADM. REG. DO PARANOÁ,2024,6,4,"200.000,00","200.000,00","74.000,00","0,00","200.000,00","0,00",2025-12-16T18:14:28.151388
190109,ADM. REG. DO PARANOÁ,2025,2,0,"120.000,00","120.000,00","99.904,23","20.095,77","120.000,00","20.800,00",2025-12-16T18:14:28.151388
190126,ADM. REG. DO PARK WAY,2021,8,3,"545.000,00","545.000,00","161.699,95","383.300,05","545.000,00","161.699,95",2025-12-16T18:14:28.151388
