ano,mes_numero,numero_da_ne,credor,especificacao,quantidade,valor_unitario,valor_total,modalidade,identificacao,as_of
2022,1,2022NE00001,FUNDACAO GETULIO VARGAS,"CONTRATAçãO DE INSTITUIçãO PARA CAPACITAçãO DE SERVIDOR NO CURSO DE MBA EM GERENCIAMENTO DE PROJETOS, COM PREVISãO DE DURAçãO DE 20 MESES, CONFORME PROJETO BáSICO ELEGIS - DOCUMENTO SEI 0188885. (5 PARCELAS X R$ 1.560)",5,"1.560,00","7.800,00",Inexigível,"Art25,IIe§1ºArt13,VI",2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,"MESA DE SOM 12 CANAIS (MIXER) ALIMENTAçãO 220VCA OU 110/220VCA; - DIMENSõES E PESO REDUZIDO: PESO MáXIMO = 3KG E DIMENSõES MáXIMAS: 35X30X10CM; - 4 CANAIS BALANCEADOS (XLR OU COMBO) DE ENTRADA, COM PHANTOM POWER +48V;4 CANAIS LINE BALANCEADOS - TRS (P10);",5,"2.165,49","10.827,45",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,MICROFONES SEM FIO KIT COMPOSTO DE BASE RECEPTORA E UM MICROFONE TRANSMISSOR DE MãO TIPO BASTãO COM CAPSULA; - SISTEMA DE TRANSMISSãO DIGITAL WIRELESS 24BITS DESCOMPRIMIDO; - POSSIBILIDADE DE FUNCIONAR NO MíNIMO 10 SISTEMAS DE MICROFONES SEM FIO AO MESMO,14,"7.033,67","98.471,38",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,"MICROFONE CONDENSADOR DE DUPLO DIAFRAGMA TIPO: CONDENSADOR DE DUPLO DIAFRAGMA; - CONEXãO XLR BALANCEADA COM TERMINAIS BANHADOS A OURO; -PADRãO POLAR SELECIONAVEL: CARDIóDE, OMNIDIRECIONAL E BIDIRECIONAL (PADRãO DE CAPTAçãO FIGURA 8); - TRANSDUTOR DE GRADI",2,"3.225,50","6.451,00",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,"FEEDBACK DESTROYER (ELIMINADOR DE MICROFONIA) 12 FILTROS DIGITAIS POR CANAL (MíNIMO), CONTROLADOS AUTOMATICAMENTE; - TEMPO REQUERIDO PARA ENCONTRAR E ELIMINAR MICROFONIA: 0.4 SEGUNDOS, @1KHZ TíPICO (OU MENOR); - IMPEDâNCIA DE ENTRADA: 20KOHMS OU MAIOR; -",5,"1.783,42","8.917,10",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,PLACA INTERFACE USB 2X2 2 ENTRADAS COMBO (XLR/P10) COM AJUSTE DE GANHO INDIVIDUAIS; - CHAVE LINE/MIC NAS DUAS ENTRADAS COMBO; - PHANTOM-POWER 48V COM CHAVE LIGA-DESLIGA; - ALIMENTAçãO VIA USB; -SAíDA PARA FONE DE OUVIDO COM CONTROLE DE VOLUME; - 2 SAíDAS,4,"2.044,83","8.179,32",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,CAIXAS DE FERRAMENTA SANFONADA COM RODINHAS FABRICADA EM CHAPA DE AçO COM TRATAMENTO ANTICORROSIVO E PINTURA ELETROSTáTICA ; - ARTICULADA COM 5 GAVETAS; - ALçA PARA ABERTURA E LEVANTAMENTO; - COM RODíZIOS E ALçA PARA TRANSPORTE; - FUROS PARA CADEADO; - ME,2,"246,50","493,00",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,"MINI MORSA/TORNO COM SARGENTO PARA BANCADA CONSTRUçãO EM AçO CARBONO; - LARGURA DA MANDíBULA: 50MM OU MAIOR; - ABERTURA MáXIMA: 40MM OU MAIOR; - BRAçADEIRA (TIPO SARGENTO) PARA SUPERFíCIE ATé 1 / 25MM. MODELO: 18507 5 MARCA: SPARTA (DEMAIS ESPECIFICACOES,",2,"54,62","109,24",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00002,SOLUX DISTRIBUIDORA EIRELI ME,CARRINHO DE CARGA DOBRÁVEL DE PLáSTICO COM CAIXA DE PLáSTICO DOBRáVEL; - FORMATO DE MALETA QUANDO FECHADO; - 2 RODINHAS MACIçAS DE BORRACHA; - ALçA TELESCóPICA COM TRAVA; - TRAVAS NAS LATERAIS PARA MANTER FECHADO OU ABERTO; - CAPACIDADE DE CARGA: 20KG A 3,2,"167,00","334,00",Pregão,000012/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00003,FUNDACAO DE EMPREENDIMENTOS CIENTIFICOS E TECNOLOG,"CONTRATAçãO DA FUNDAçãO DE EMPREENDIMENTOS CIENTíFICOS E TECNOLóGICOS - FINATEC -, A FIM DE MINISTRAR O CURSO DE PóS-GRADUAçãO LATO SENSU EM ASSESSORIA POLÍTICA, GOVERNO E POLÍTICAS PÚBLICAS, EM NíVEL DE ESPECIALIZAçãO, DO PROGRAMA DE PóS GRADUAçãO DO INS",2,"984,00","1.968,00",Inexigível,"art 25,II-Art 13,VI",2026-08-10T19:25:51
2022,1,2022NE00004,SICOLI IND. E COMERCIO DE MAQUINAS LTDA,DOBRADEIRA DE PAPEL AUTOMATICA COM DOBRA CRUZADA. ESPECIFICAÇÕES TÉCNICAS: MÍNIMO DE 4 TIPOS DE DOBRAS PARALELAS MAIS DOBRA CRUZADA. FORMATO MÍNIMO DE PAPEL 65X90MM. FORMATO MÁXIMO DE PAPEL 330X480MM. GRAMATURA DE PAPEL PARA DOBRA: 50 A 240G. VOLTAGEM: 22,1,"93.400,00","93.400,00",Pregão,000051/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00004,SICOLI IND. E COMERCIO DE MAQUINAS LTDA,"FURADEIRA DE PAPEL ELETRICA MAIS 2 JOGOS DE BROCAS. ESPECIFICAÇÕES TÉCNICAS: NÚMERO DE FUROS SIMULTÂNEOS: 02. CAPACIDADE DE PERFURAÇÃO: 500 FOLHAS DE PAPEL 75G. DIÂMETRO DO FURO: MÍNIMO ENTRE 03 A 12MM. DOIS JOGOS DE BROCAS (16 BROCAS), COM PELO MENOS 4 M",1,"27.480,00","27.480,00",Pregão,000051/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00005,IDP TECNOLOGIAS EDUCACIONAIS LTDA,"Contratação direta do Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa (IDP) a fim de ministrar o curso de pós-graduação lato sensu em DIREITO PROCESSUAL CIVIL, a nível de especialização, para servidora efetiva da CLDF, no período de agosto/2021",8,"1.263,20","10.105,60",Inexigível,"Art 25,II-Art 13,VI",2026-08-10T19:25:51
2022,1,2022NE00006,"INST. BRASILEIRO DE ENSINO, DES. E PESQUISA - IDP","Contratação do IDP, a fim de ministrar o curso de pós-graduação lato sensu em DIREITO ADMINISTRATIVO, em nível de especialização, para servidores da Câmara Legislativa do Distrito Federal, conforme Projeto Básico ELEGIS, documento SEI 0331855. (Conforme I",4,"3.786,00","15.144,00",Inexigível,"Art 25,II-Art 13,VI",2026-08-10T19:25:51
2022,1,2022NE00007,ASSOCIAÇÃO PARANAENSE DE CULTURA - APC,"Contratação da instituição ASSOCIACAO PARANAENSE DE CULTURA- APC (Pontifícia Universidade Católica do Paraná), a fim de ministrar o curso de pós-graduação lato sensu em DIREITO AMBIENTAL E DO AGRONEGÓCIO, em nível de especialização, na modalidade online,",12,"728,01","8.736,12",Inexigível,"Art.25,II-Art.13,VI",2026-08-10T19:25:51
2022,1,2022NE00008,UNIÃO BRASILEIRA DE EDUCAÇÃO E ASSISTÊNCIA,"Contratação de instituição educacional, a fim de ministrar o curso de MBA em LIDERANÇA, INOVAÇÃO E GESTÃO 4.0, na modalidade online, para servidora da Câmara Legislativa do Distrito Federal, nos termos do Projeto Básico - SEI 0614204. (Conforme Parecer-PG",11,"949,95","10.449,45",Inexigível,"Art.25,II-Art.13,VI",2026-08-10T19:25:51
2022,1,2022NE00009,VERBO EDUCACIONAL LTDA.,"Contratação da instituição, a fim de ministrar o curso de pós-graduação lato sensu em AUDITORIA INTERNA E CONTROLE GOVERNAMENTAL, em nível de especialização, para servidor da CLDF, conforme Projeto Básico ELEGIS - doc SEI 0449141 e Nota Técnica nº 29/2021",12,"576,58","6.918,96",Inexigível,"Art25,IIe§1ºArt13,VI",2026-08-10T19:25:51
2022,1,2022NE00029,DECISION SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA,"MóDULOS DE MEMóRIA ECC/DDR4 DIMM 2666MHZ DE 32 GB (TRINTA E DOIS GIGABYTES) CADA MóDULO, A SEREM INSTALADOS EM 16 (DEZESSEIS) SERVIDORES DELL, MODELO POWEREDGE FC-640, INTEGRANTES DA INFRAESTRUTURA DE TI DA CLDF, CONFORME REQUISITOS TéCNICOS ESTABELECIDOS",120,"3.350,00","402.000,00",Pregão,000033/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00030,DECISION SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA,"SERVIçOS DE INSTALAçãO E CONFIGURAçãO DOS MóDULOS DE MEMóRIA FORNECIDOS. (DEMAIS ESPECIFICAçõES VIDE TERMO DE REFERêNCIA/ PROPOSTA). (NOTA DE EMPENHO EM SUBSTITUIÇÃO À NOTA DE EMPNHO Nº 2021NE00534, CANCELADA NO ENCERRAMENTO DO EXERCÍCIO DE 2021 - DOC SEI",1,"692,03","692,03",Pregão,000033/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00031,EMPRESA BRASIL DE COMUNICACAO S.A. - EBC,"Contratação de empresa especializada para execução de serviços de publicação de matérias diversas em jornais de grande circulação, visando atender ao princípio da publicidade dos atos da Administração, conforme Termo de Referência - documento SEI 0644984.",1,"50.000,00","50.000,00",Dispensa de Licitação,"art. 24, XXIII",2026-08-10T19:25:51
2022,1,2022NE00033,REZEK FERREIRA INFORMÁTICA LTDA,"Contratação de empresa para a prestação de serviços de gestão de Plano de Saúde, incluindo auditoria financeira, administrativa e de procedimentos na área médica e odontológica, execução de processos de trabalho, treinamento, assessoria, consultoria e ass",1,"822.407,82","822.407,82",Pregão,000021/2020-CLDF,2026-08-10T19:25:51
2022,1,2022NE00034,REZEK FERREIRA INFORMÁTICA LTDA,"TREINAMENTO NO SISTEMA DE GESTãO EM SAúDE, ESPECIALMENTE QUANTO AOS ASPECTOS GERENCIAIS E FISCALIZATóRIOS. TREINAMENTO NA áREA DE ADMINISTRAçãO. (DEMAIS ESPECIFICAçõES, VIDE EDITAL/ PROPOSTA).",1,"6.557,92","6.557,92",Pregão,000021/2020-CLDF,2026-08-10T19:25:51
2022,1,2022NE00035,IMPACTO AUDITORIA EM SAÚDE LTDA,"Contratação de empresa para a prestação de serviços de gestão de Plano de Saúde, incluindo auditoria financeira, administrativa e de procedimentos na área médica e odontológica, execução de processos de trabalho, treinamento, assessoria, consultoria e ass",1,"408.224,14","408.224,14",Pregão,000021/2020-CLDF,2026-08-10T19:25:51
2022,1,2022NE00036,OSM CONSULTORIA E SISTEMAS LTDA,"Contratação de empresa para manutenção corretiva, adaptativa, evolutiva, preventiva e suporte técnico do software aplicativo MentoRH - Sistema de Gerenciamento de Recursos Humanos. (Conforme Memorando nº 5/2022-GPS - doc SEI 0654567 e Despacho DAF - doc S",1,"150.325,05","150.325,05",Inexigível,"Art. 25, caput",2026-08-10T19:25:51
2022,1,2022NE00037,TORINO INFORMÁTICA LTDA.,"COMPUTADOR PORTáTIL (NOTEBOOK), INCLUINDO EM CADA EQUIPAMENTO O SISTEMA OPERACIONAL MS WINDOWS 10 PROFESSIONAL 64 BITS NA MODALIDADE OEM E MS OFFICE 2019 HOME & BUSINESS, NOVOS, PARA PRIMEIRO USO, COM GARANTIA DE 48 (QUARENTA E OITO) MESES E ASSISTêNCIA T",80,"9.000,00","720.000,00",Pregão,000034/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,Switch Tipo 1 - switch núcleo de rede com 48 portas SFP+ e 6 portas QSFP+. Fabricante: Fortinet Modelo: FS-1048E Licenciamento: FC-10-1E48F-247-02-36 Acessórios: FN-TRAN-QSFP+SR (x4) e SP-CABLE-FS-QSFP+5 (x2). (Demais especificações vide Termo de Referênc,2,"95.000,00","190.000,00",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,"Switch Tipo 2 - switch de acesso PoE++ com 4 portas SFP+ e 24 portas 1Gbps (com, no mínimo, 8 portas de 2.5Gbps). Fabricante: Fortinet. Modelo: FS-M426E-FPOE Licenciamento: FC-10-M426E-247-02-36. (Demais especificações vide Termo de Referência/Proposta).",20,"23.500,00","470.000,00",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,Switch Tipo 3 - switch de acesso PoE+ com 4 portas SFP+ e 48 portas 1Gbps. Fabricante: Fortinet Modelo: FS-448E-FPOE Licenciamento: FC-10-S448F-247-02-36. (Demais especificações vide Termo de Referência/Proposta).,20,"16.350,00","327.000,00",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,Switch Tipo 4 - switch de acesso com 2 portas SFP+ e 48 portas 1Gbps. Fabricante: Fortinet Modelo: FS-448E Licenciamento: FC-10-S448N-247-02-36. (Demais especificações vide Termo de Referência/Proposta).,30,"8.333,00","249.990,00",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,Transceivers Óptico de 10 Gbits. Fabricante: Fortinet Modelo: FN-TRAN-SFP+SR. (Demais especificações vide Termo de Referência/Proposta).,100,"670,00","67.000,00",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00038,NCT INFORMÁTICA LTDA,Solução de gerenciamento.Fabricante: Fortinet. Modelo: FG-500E Licenciamento: FC-10-0500E-247-02-36 Acessórios: SP-FG300E-PS (x1) e FN-TRAN-SFP+SR (x2). (Demais especificações vide Termo de Referência/Proposta).,1,"86.861,60","86.861,60",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00039,NCT INFORMÁTICA LTDA,Serviço de instalação e configuração. (Demais especificações vide Termo de Referência/Proposta).,1,"75.293,95","75.293,95",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00039,NCT INFORMÁTICA LTDA,Operação assistida. (Demais especificações vide Termo de Referência/Proposta).,1,"33.075,25","33.075,25",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00039,NCT INFORMÁTICA LTDA,Capacitação. (Demais especificações vide Termo de Referência/Proposta).,1,"30.779,20","30.779,20",Dispensa de Licitação,"Art. 24, inciso XI",2026-08-10T19:25:51
2022,1,2022NE00040,TORINO INFORMÁTICA LTDA.,"Cancelamento da Nota de Empenho 2022NE00037, para correção da especificação.",80,"9.000,00","720.000,00",Pregão,000034/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00041,TORINO INFORMÁTICA LTDA.,"COMPUTADOR PORTÁTIL (NOTEBOOK), INCLUINDO SISTEMA OPERACIONAL MS WINDOWS 10 PROFESSIONAL 64 BITS NA MODALIDADE OEM E MS OFFICE 2019 HOME & BUSINESS, NOVOS, COM GARANTIA DE 48 MESES E ASSIST. TÉCNICA ON-SITE, PARA ATENDER À CLDF. MARCA: HPINC MODELO: PB 64",80,"9.000,00","720.000,00",Pregão,000034/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00044,INFOCONS - PRODUTOS E SERVIÇOS DE INFORMATICA LTDA,"Contratação de empresa para prestação de serviços de leitura contínua e ininterrupta do Diário da Justiça. (Conforme despacho PG - doc SEI 0655145 e despacho DAF, doc SEI 0655285).",1,"1.186,50","1.186,50",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00045,TORINO INFORMÁTICA LTDA.,ESTAçõES DE TRABALHO (WORKSTATIONS). MARCA: HPINC MODELO: Z4 G4. (DEMAIS ESPECIFICAçõES VIDE TERMO DE REFERêNCIA/PROPOSTA).,15,"25.050,00","375.750,00",Pregão,000032/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00045,TORINO INFORMÁTICA LTDA.,"MONITORES DE VíDEO MULTIMíDIA, 23 (VINTE E TRêS POLEGADAS). MARCA: PHILIPS MODELO: 241B7QPJKEB. (DEMAIS ESPECIFICAçõES VIDE TERMO DE REFERêNCIA/ PROPOSTA).",13,"1.889,00","24.557,00",Pregão,000032/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00045,TORINO INFORMÁTICA LTDA.,"MONITORES DE VíDEO, 27 (VINTE E SETE POLEGADAS). MARCA: PHILIPS MODELO: 276E8VJSB. (DEMAIS ESPECIFICAçõES VIDE TERMO DE REFERêNCIA/ PROPOSTA). (NOTA DE EMPENHO EM SUBSTITUIÇÃO À 2021NE00521, CANCELADA NO ENCERRAMENTO DO EXERCÍCIO DE 2021 DOC SEI 0595577,",2,"1.994,00","3.988,00",Pregão,000032/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00047,CENTRO DE INTEGRACAO EMPRESA-ESCOLA - CIEE,Contratação de instituição credenciada como agente de integração para propiciar a plena operacionalização de estágios de estudantes na Câmara Legislativa do Distrito Federal. (Conforme despacho DRH - doc SEI 0655574 e despacho DAF - doc SEI 0655598).,1,"1.500.000,00","1.500.000,00",Pregão,000024/2018-CLDF,2026-08-10T19:25:51
2022,1,2022NE00048,LOCKTEC CHAVES CARIMBOS E SEGURANCA EIRELI,"Contratação de empresa especializada para prestação de serviços de chaveiro, objetivando fornecimento de chaves, molas de porta, dobradiças com reposição, consertos substituições ou troca, incluindo toda mão de obra e material necessário, para atender à C",1,"24.035,66","24.035,66",Pregão,000041/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00049,LOCKTEC CHAVES CARIMBOS E SEGURANCA EIRELI,"Contratação de empresa especializada para prestação de serviços de chaveiro, objetivando fornecimento de chaves, molas de porta, dobradiças com reposição, consertos substituições ou troca, incluindo toda mão de obra e material necessário, para atender à C",1,"9.789,95","9.789,95",Pregão,000041/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00050,OSM CONSULTORIA E SISTEMAS LTDA,"Contratação de empresa especializada para prestação de serviços de manutenção, suporte técnico, treinamento e eventuais customizações da solução de Mensageria MENTORH (e-Social) adquirida pela CLDF para automatização do processo de escrituração digital da",1,"210.622,29","210.622,29",Inexigível,"Art. 25, Inciso II",2026-08-10T19:25:51
2022,1,2022NE00053,RICARDO ALVES RAMOS DE BRITO EXTINTORES ME,"EXTINTOR PORTáTIL DE PQS (Pó QUíMICO SECO DO TIPO BICARBONATO DE SóDIO) CLASSE B E C, COM CARGA.",288,"16,00","4.608,00",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00053,RICARDO ALVES RAMOS DE BRITO EXTINTORES ME,"EXTINTOR PORTáTIL DE GáS CARBôNICO (CO2) CLASSE B E C, COM CARGA NOMINAL DE 06 KG.",71,"29,00","2.059,00",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00053,RICARDO ALVES RAMOS DE BRITO EXTINTORES ME,"EXTINTOR PORTáTIL DE AP (ÁGUA PRESSURIZADA), COM CARGA EXTINTORA DE 10 LITROS.",1,"126,50","126,50",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00053,RICARDO ALVES RAMOS DE BRITO EXTINTORES ME,"EXTINTOR SOBRE RODAS, DE AP (ÁGUA PRESSURIZADA), COM CARGA EXTINTORA DE 75 LITROS.",1,"126,50","126,50",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00053,RICARDO ALVES RAMOS DE BRITO EXTINTORES ME,"EXTINTOR PORTáTIL DE Pó QUíMICO SECO ABC, COM CARGA NOMINAL DE 06 KG. (DEMAIS ESPECIFICAçõES VIDE TERMO DE REFERêNCIA/ PROPOSTA). (NOTA DE EMPENHO EM SUBSTITUIÇÃO À NE 2021NE00716, CANCELADA NO ENCERRAMENTO DO EXERCÍCIO DE 2021 DOC SEI 0640263, CONF. Art",30,"16,00","480,00",Dispensa de Licitação,"Art. 24, inciso II",2026-08-10T19:25:51
2022,1,2022NE00054,JME SERVICOS INTEGRADOS E EQUIPAMENTOS EIRELI,"Contratação de empresa especializada em serviços de operacionalização e assistência técnica de televisão digital, em regime de execução indireta, por meio da admissão de profissionais qualificados essenciais ao funcionamento da TV da Câmara Legislativa do",1,"2.832.994,69","2.832.994,69",Pregão,000018/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00055,GHS INDUSTRIA E SERVICOS LTDA,"Contratação de empresa especializada na prestação dos serviços de Profilaxia e Tratamento Ambiental de ambientes fechados e de acesso coletivo, sob demanda, utilizando produto saneante registrado no Ministério da Saúde (ANVISA) para fins de controle bioló",1,"40.249,98","40.249,98",Pregão,000015/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00056,SEA TECNOLOGIA LTDA,Serviço de desenvolvimento de sítios e portais. (Demais especificações vide Termo de Referência/Proposta).,3000,"1.082,55","3.247.650,00",Pregão,000045/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00056,SEA TECNOLOGIA LTDA,Suporte técnico e atualização de versão. (Demais especificações vide Termo de Referência/Proposta).,11,"22.916,66","252.083,26",Pregão,000045/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00056,SEA TECNOLOGIA LTDA,Turmas de até 5 estudantes para treinamento de usuários ADMINISTRADORES DE AMBIENTE LIFERAY. (Demais especificações vide Termo de Referência/Proposta).,1,"9.000,00","9.000,00",Pregão,000045/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00056,SEA TECNOLOGIA LTDA,Turmas de até 10 estudantes para treinamento de usuários ADMINISTRADORES DE CONTEÚDO. (Demais especificações vide Termo de Referência/Proposta).,3,"9.000,00","27.000,00",Pregão,000045/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00056,SEA TECNOLOGIA LTDA,Turmas de até 5 estudantes para treinamento de usuários ADMINISTRADORES DE TEMA. (Demais especificações vide Termo de Referência/Proposta).,1,"9.000,00","9.000,00",Pregão,000045/2021-CLDF,2026-08-10T19:25:51
2022,1,2022NE00057,H3D SOLUCOES DE TELEINFORMATICA LTDA,"Contratação de empresa especializada para prestação de serviço de gerenciamento e programação de sistema telefônico com manutenção preventiva e corretiva, com reposição de peças, para a central telefônica da CLDF. (Conforme solicitação de empenho DIAP - d",1,"106.407,72","106.407,72",Pregão,000039/2019-CLDF,2026-08-10T19:25:51
2022,1,2022NE00058,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,"Contratação direta de serviços de conexão à rede Infovia Brasília, rede criada pelo Ministério da Economia e operacionalizada pelo SERPRO para a interconexão de dados entre os órgãos integrantes da Administração Pública Federal, com vistas a permitir o ac",1,"22.400,00","22.400,00",Inexigível,"Art. 25, caput",2026-08-10T19:25:51
2022,1,2022NE00059,GRÁFICA E EDITORA MOVIMENTO LTDA,"Contratação de empresa especializada na prestação de serviços de impressão gráfica e diagramação, em Sistema de Registro de Preços, com vistas à confecção de revistas, jornais, manuais, cartilhas, cartazes, folders, banners e demais itens e serviços para",1,"891.926,76","891.926,76",Pregão Eletrônico com Ata,000010/2020-SRP,2026-08-10T19:25:51
2022,1,2022NE00060,VISUAL SISTEMAS ELETRÔNICOS LTDA,B.1) SERVIçO DE MANUTENçãO CORRETIVA E PREVENTIVA DOS EQUIPAMENTOS.,12,"17.647,00","211.764,00",Pregão,000019/2019-CLDF,2026-08-10T19:25:51
2022,1,2022NE00060,VISUAL SISTEMAS ELETRÔNICOS LTDA,PACOTE DE MENSAGENS SMS ATRAVéS DE BROKER DE MERCADO (7.000 MENSAGENS/MêS). DESPESA REFERENTE AO 1º TERMO ADITIVO AO CONTRATO Nº 24/ 2019 - PG/CLDF.,12,"3.000,00","36.000,00",Pregão,000019/2019-CLDF,2026-08-10T19:25:51
2022,1,2022NE00061,VISUAL SISTEMAS ELETRÔNICOS LTDA,B) SUPORTE TéCNICO E ATUALIZAçõES DE VERSõES.,12,"2.885,00","34.620,00",Pregão,000019/2019-CLDF,2026-08-10T19:25:51
2022,2,2022NE00062,TELEFONICA BRASIL S/A,"Contratação de 75 linhas telefônicas móveis (chips habilitados com características de pós pago) que possuem comunicação de voz e dados, acesso à Internet, correio eletrônico e mensagens de texto, devendo os serviços oferecer facilidades de roaming naciona",1,"8.000,00","8.000,00",Pregão,000037/2019-CLDF,2026-08-10T19:25:51
2022,2,2022NE00063,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,"Contratação de empresa especializada, por meio de rede de oficinas e de centros automotivos credenciados e disponibilizados para a manutenção preventiva e corretiva da frota de veículos da CLDF, conforme Contrato-PG Nº 24/2021-NPLC, doc SEI 0663628, e Ter",1,"50.000,00","50.000,00",Pregão,000008/2021-CLDF,2026-08-10T19:25:51
2022,2,2022NE00064,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,"Contratação de empresa especializada, por meio de rede de oficinas e de centros automotivos credenciados e disponibilizados para a manutenção preventiva e corretiva da frota de veículos da CLDF, conforme Contrato-PG Nº 24/2021-NPLC, doc SEI 0663628, e Ter",1,"20.000,00","20.000,00",Pregão,000008/2021-CLDF,2026-08-10T19:25:51
2022,2,2022NE00065,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,"Contratação de empresa para prestação de serviços de gerenciamento e fornecimento de combustível (gasolina, etanol e óleo diesel comuns), sob demanda, para a frota de veículos automotores da CLDF, em rede de postos dentro do DF, a fim de atender a frota d",1,"39.924,20","39.924,20",Pregão,000028/2018-CLDF,2026-08-10T19:25:51
2022,2,2022NE00066,"SIMPRESS COMÉRCIO, LOCAÇÃO E SERVIÇOS S/A","Serviços de impressão, cópia e digitalização (outsourcing de impressão), monitoramento e contabilização dos serviços contratados contemplando ainda o fornec. de equip. novos, de 1º uso, em linha de fabricação, para digitalização, impressões monocromáticas",1,"217.529,83","217.529,83",Pregão,000028/2021-CLDF,2026-08-10T19:25:51
2022,2,2022NE00067,ALGAR TELECOM S/A,"Prestação de Serviço Telefônico Fixo Comutado STFC, na modalidade local e suas derivações, troncos digitais E1 para DDR (discagem direta a ramal) e grupo de ramais (faixa de numeração) e dos Serviços Contínuos de Chamadas Telefônicas de Longas Distâncias,",1,"5.000,00","5.000,00",Pregão,000009/2018-CLDF,2026-08-10T19:25:51
