empresa,cnpj,sancao,contrato_ou_pregao_na_fonte,processo,publicacao_dcl,observacoes,contratos_na_casa,valor_contratado,ordens_bancarias,valor_recebido,as_of
4K COMERCIO E SERVICOS ESPECIALIZADOS LTDA,30743200000103,Impedimento de licitar e de contratar com o Distrito Federal pelo prazo de 2 (dois) meses,Pregão Eletrônico nº 20/2023,00001-00046136/2023-32,"DCL N º 22, 31/01/2024",,0,,2,"2.999,00",2026-06-23T17:34:34
AFEFE TURISMO LTDA,53431363000148,"IMPEDIMENTO DE LICITAR E DE CONTRATAR COM O DISTRITO FEDERAL, pelo prazo de 2 anos",Contrato 23/2024,00001-00007277/2024-11,"DCL N º 104, 23/05/2025",,1,"227.166,40",5,"42.518,95",2026-06-23T17:34:34
AMS Solução e Comércio Ltda,37287897000196,IMPEDIMENTO de licitar e de contratar com o Distrito Federal e descredenciamento no SICAF por 24 meses,Pregão Eletrônico nº 02/2022-CLDF,00001-00016352/2022-72,"DCL N º 142, 14/07/2022",,0,,0,,2026-06-23T17:34:34
CAMOA SERVIÇOS TELECOM LTDA,28097989000112,IMPEDIMENTO DE LICITAR E CONTRATAR COM O DISTRITO FEDERAL PELO PRAZO DE 2 (DOIS) ANOS,Pregão Eletrônico n º 90004/2025,00001-00024813/2024-42,"DCL N º 284, 19/12/2025",,1,"76.672,56",6,"32.913,89",2026-06-23T17:34:34
CINCO ESTRELAS TRANSPORTES E LOGISTICAS LTDA,03557312000199,"Impedimento para licitar ou contratar com o Distrito Federal pelo prazo de 16,8 meses",Pregão Eletrônico nº 90030/2024-CLDF,00001-00046918/2024-52,"DCL N º 86, 29/04/2025",,0,,0,,2026-06-23T17:34:34
ELIFRANCK CARVALHO GOUVEA - ME,15037271000199,"IMPEDIMENTO temporário de participar de licitações e de contratar com a Administração por 24 (vinte e quatro) meses, combinada com a suspensão do registro cadastral da licitante Sistema de Cadastramento Unificado de Fornecedores – SICAF",Pregão Eletrônico nº 47/2021-CLDF,00001-00010360/2022-13,"DCL N º 137, 07/07/2022",,0,,0,,2026-06-23T17:34:34
JK ENERGIA LTDA,08847656000156,IMPEDIMENTO de licitar e de contratar com o Distrito Federal e descredenciamento no SICAF por 18 meses,Pregão Eletrônico nº 52/2021-CLDF,00001-00006383/2023-04,"DCL N º 87, 25/04/2023 e DCL N º 202, 19/09/2023","No DCL n º 202, 19/09/2023, o Ordenador de Despesas da CLDF reconsidera a pena aplicada em 11 de abril de 2022 à empresa JK ENERGIA LTDA, reduzindo-se o prazo inicial da sanção de 24 meses para 18 meses de impedimento para licitar e contratar no âmbito do Distrito Federal, em decorrência de apresentação de documentação falsa na sessão pública do Pregão Eletrônico nº 52/2021-CLDF.",0,,0,,2026-06-23T17:34:34
M & M ELETROFIBRAS LTDA,42510505000146,"IMPEDIMENTO DE LICITAR E DE CONTRATAR COM O DISTRITO FEDERAL, pelo prazo de 2 anos","Pregão Eletrônico nº 90027/2024 (Nota de empenho 2024NE00806, SEI 1895728 e Nota de empenho 2024NE00807, SEI 1895729)",00001-00011206/2025-01,"DCL N º 86, 29/04/2025",,0,,0,,2026-06-23T17:34:34
MS LUCASTRANSPORTES DE CARGAS EIRELI,35910893000197,IMPEDIMENTO de licitar e de contratar com o Distrito Federal edescredenciamento no SICAF pelo período total de 3 (três) meses,Pregão Eletrônico nº 32/2022-CLDF,00001-00038421/2022-07,"DCL N º 228, 11/11/2022",,0,,0,,2026-06-23T17:34:34
SSB SUPREMOS COMÉRCIO E SERVIÇOS LTDA,38006836000176,Impedimento de licitar e de contratar com o Distrito Federal pelo prazo de 2 (dois) anos,Dispensa Eletrônica nº 16/2023 (Nota de Empenho nº 2023NE00484),00001-00050997/2023-15,"DCL N º 66, 03/04/2024",,0,,0,,2026-06-23T17:34:34
TECHSTEEL INTEGRAÇÃO DE SISTEMAS LTDA,06074662000192,Impedimento de licitar e de contratar com o Distrito Federal pelo prazo de 24 meses,Pregão Eletrônico nº 90031/2024 - CLDF,00001-00047025/2024-24,"DCL N º 239, 30/10/2025",,0,,0,,2026-06-23T17:34:34
