ano,cargo_efetivo,cargo_em_comissao_ou_funcao,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,,,225,40,"0,00","0,00","0,00","723.469,86"
2012,,ASSESSOR,69,12,"0,00","0,00","0,00","290.477,35"
2012,,ASSESSOR  DE COMISSAO,6,1,"0,00","0,00","0,00","27.696,12"
2012,,ASSESSOR  DE COORDENADORIA,6,1,"0,00","0,00","0,00","30.630,71"
2012,,ASSESSOR  DE PRODUCAO GRAFICA,5,1,"0,00","0,00","0,00","11.593,23"
2012,,ASSESSOR  DE SEGURANCA,6,1,"0,00","0,00","0,00","14.234,21"
2012,,ASSESSOR  PRESIDENCIA,2,2,"0,00","0,00","0,00","6.220,15"
2012,,ASSESSOR CHEFE GAB. VICE-PRESIDENCIA,6,1,"0,00","0,00","0,00","42.012,25"
2012,,ASSESSOR CL-10,12,2,"0,00","0,00","0,00","45.453,70"
2012,,ASSESSOR CL-12,12,2,"0,00","0,00","0,00","64.470,08"
2012,,ASSESSOR DA ASSESSORIA DE,1,1,"0,00","0,00","0,00","5.152,83"
2012,,ASSESSOR DA ASSESSORIA DE PLENARIO E,2,1,"0,00","0,00","0,00","10.350,91"
2012,,ASSESSOR DA ASSESSORIA DE PLENARIO E DISTRIBUICAO,3,1,"0,00","0,00","0,00","15.551,46"
2012,,ASSESSOR DA PRG,6,1,"0,00","0,00","0,00","33.567,66"
2012,,ASSESSOR DA PROCURADORIA GERAL,6,1,"0,00","0,00","0,00","45.166,83"
2012,,ASSESSOR DE,1,1,"0,00","0,00","0,00","6.200,18"
2012,,ASSESSOR DE CHEFE DE SETOR,12,2,"0,00","0,00","0,00","65.017,40"
2012,,ASSESSOR DE CHEFE GAB. PRESIDENCIA,6,1,"0,00","0,00","0,00","45.283,34"
2012,,ASSESSOR DE COMISSAO,60,12,"0,00","0,00","0,00","292.935,01"
2012,,ASSESSOR DE COORDENADORIA,28,6,"0,00","0,00","0,00","161.044,57"
2012,,ASSESSOR DE DIRETOR - DAF,6,1,"0,00","0,00","0,00","43.963,46"
2012,,ASSESSOR DE DIRETOR - DLEG,6,1,"0,00","0,00","0,00","42.866,86"
2012,,ASSESSOR DE DIRETOR - DRH,6,1,"0,00","0,00","0,00","41.454,06"
2012,,ASSESSOR DE DIRETORIA,18,3,"0,00","0,00","0,00","75.739,16"
2012,,ASSESSOR DE MANUTENCAO,6,1,"0,00","0,00","0,00","12.435,57"
2012,,ASSESSOR DE MEMBRO DA MESA DIR.,18,3,"0,00","0,00","0,00","144.137,41"
2012,,ASSESSOR DE MEMBRO DA MESA DIRETORA,6,1,"0,00","0,00","0,00","47.522,14"
2012,,ASSESSOR DE PRODUCAO GRAFICA,18,3,"0,00","0,00","0,00","52.129,06"
2012,,ASSESSOR DE SEGURANCA,154,29,"0,00","0,00","0,00","324.804,18"
2012,,ASSESSOR DO GABINETE DA MESA DIR,6,1,"0,00","0,00","0,00","47.024,34"
2012,,ASSESSOR ESPECIAL,42,7,"0,00","0,00","0,00","261.373,67"
2012,,ASSESSOR JURIDICO,18,4,"0,00","0,00","0,00","100.702,44"
2012,,ASSESSOR MEMBRO DA MESA DIRETORA,6,1,"0,00","0,00","0,00","44.335,08"
2012,,ASSESSOR MESA DIRETORA,6,1,"0,00","0,00","0,00","33.675,46"
2012,,ASSESSOR PRESIDENCIA,10,2,"0,00","0,00","0,00","34.918,76"
2012,,ASSESSOR PRIMEIRA SECRETARIA,6,1,"0,00","0,00","0,00","25.636,58"
2012,,ASSESSOR SEGUNDA SECRETARIA,6,1,"0,00","0,00","0,00","28.621,15"
2012,,ASSESSOR TERCEIRA SECRETARIA,6,1,"0,00","0,00","0,00","34.893,36"
2012,,ASSESSOR VICE- PRESIDENCIA,6,1,"0,00","0,00","0,00","34.802,96"
2012,,CARGO DE NATUREZA ESPECIAL,327,76,"0,00","0,00","0,00","2.885.998,93"
2012,,CARGO ESPECIAL DE,2,2,"0,00","0,00","0,00","2.493,14"
2012,,CARGO ESPECIAL DE GABINETE,3130,581,"0,00","0,00","0,00","10.553.514,06"
2012,,CARGO SEM REMUNERACAO,6,6,"0,00","0,00","0,00","0,00"
2012,,CHEFE DE ASSESSORIA,18,4,"0,00","0,00","0,00","153.275,65"
2012,,CHEFE DE DIVISAO,47,9,"0,00","0,00","0,00","348.867,23"
2012,,CHEFE DE GAB. PARLAMENTAR,30,5,"0,00","0,00","0,00","270.768,63"
2012,,CHEFE DE GABINETE DE MEMBRO DA MESA,26,7,"0,00","0,00","0,00","255.900,04"
2012,,CHEFE DE GABINETE PARLAMENTAR,35,6,"0,00","0,00","0,00","301.293,01"
2012,,CHEFE DE SECAO,25,5,"0,00","0,00","0,00","136.174,10"
2012,,CHEFE DE SEÇÃO,5,1,"0,00","0,00","0,00","36.559,74"
2012,,CHEFE GAB. PARLAMENTAR,47,9,"0,00","0,00","0,00","393.525,93"
2012,,CHEFE GAB. WASNY DE ROURE,2,1,"0,00","0,00","0,00","19.227,12"
2012,,COORDENADOR,21,5,"0,00","0,00","0,00","147.391,61"
2012,,COORDENADOR DE POLICIA LEGISLATIVA,6,1,"0,00","0,00","0,00","37.168,84"
2012,,DEPUTADO DISTRITAL,129,28,"0,00","0,00","0,00","1.586.320,73"
2012,,DEPUTADO DISTRITAL DEPUTADO DISTRITAL,2,2,"0,00","0,00","0,00","29.682,65"
2012,,DEPUTADO DISTRITAL DEPUTADO DISTRITAL DEPUTADO DISTRITAL,1,1,"0,00","0,00","0,00","14.384,35"
2012,,DIRETOR,24,4,"0,00","0,00","0,00","133.589,99"
2012,,MEMBRO-TITULAR,11,2,"0,00","0,00","0,00","63.416,97"
2012,,PROCURADOR-GERAL,6,1,"0,00","0,00","0,00","75.066,29"
2012,,SECRETARIO DE COMISSAO,54,11,"0,00","0,00","0,00","386.903,04"
2012,,SECRETARIO EXECUTIVO DA 1 SECRETARIA,6,1,"0,00","0,00","0,00","39.146,10"
2012,,SECRETARIO EXECUTIVO DA 2 SECRETARIA,6,1,"0,00","0,00","0,00","54.861,00"
2012,,SECRETARIO EXECUTIVO DA 3 SECRETARIA,6,1,"0,00","0,00","0,00","32.906,08"
2012,,SECRETARIO EXECUTIVO DA VICE-PRESIDENCIA,6,1,"0,00","0,00","0,00","56.497,77"
2012,,SECRETARIO PARLAMENTAR,703,146,"0,00","0,00","0,00","889.393,02"
2012,,SEGURANCA PARLAMENTAR,259,48,"0,00","0,00","0,00","850.353,30"
2012,ASSISTENTE LEGISLATIVO,,525,106,"0,00","0,00","0,00","2.786.225,67"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE,1,1,"0,00","0,00","0,00","6.050,24"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE CERIMONIAL,5,1,"0,00","0,00","0,00","25.943,70"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE PRODUCAO GRAFICA,4,1,"0,00","0,00","0,00","24.902,72"
