ano,mes,mes_numero,lotacao,lotacao_codigo,tipo_lotacao,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,Julho,7,,,,1,1,"0,00","0,00","0,00","15.027,59"
2012,Julho,7,ADVOCACIA GERAL DA UNIAO,,,1,1,"0,00","0,00","0,00","18.878,06"
2012,Julho,7,ASSESSORIA DE PLENARIO E DISTRIBUICAO,,,12,12,"0,00","0,00","0,00","96.559,78"
2012,Julho,7,ASSESSORIA ESP. DE FISC. E CONTROLE,,,4,4,"0,00","0,00","0,00","27.337,83"
2012,Julho,7,ASSESSORIA LEGISLATIVA,,,7,7,"0,00","0,00","0,00","42.904,12"
2012,Julho,7,BLOCO TRABALHISTA DEMOCRATICO PROGRESSISTA E,,,26,26,"0,00","0,00","0,00","61.534,75"
2012,Julho,7,BLOCO TRABALHISTA DEMOCRATICO PROGRESSISTA E REPUBLICANO,,,3,3,"0,00","0,00","0,00","7.351,58"
2012,Julho,7,CAMARA DOS DEPUTADOS,,,1,1,"0,00","0,00","0,00","11.952,43"
2012,Julho,7,COMISSAO DE ASSUNTOS FUNDIARIOS,,,3,3,"0,00","0,00","0,00","19.736,88"
2012,Julho,7,COMISSAO DE ASSUNTOS SOCIAIS,,,4,4,"0,00","0,00","0,00","24.641,59"
2012,Julho,7,COMISSAO DE CONSTITUICAO E JUSTICA,,,8,8,"0,00","0,00","0,00","71.900,98"
2012,Julho,7,COMISSAO DE DEFESA DO,,,1,1,"0,00","0,00","0,00","7.632,20"
2012,Julho,7,COMISSAO DE DEFESA DO CONSUMIDOR,,,5,5,"0,00","0,00","0,00","25.305,76"
2012,Julho,7,"COMISSAO DE DESENV. ECON.SUST.,CIEN.,TEC.M.AMB E",,,4,4,"0,00","0,00","0,00","31.098,79"
2012,Julho,7,COMISSAO DE ECON. ORCAMENTO E FINANCAS,,,4,4,"0,00","0,00","0,00","30.848,19"
2012,Julho,7,"COMISSAO DE EDUCACAO,SAUDE E CULTURA",,,5,5,"0,00","0,00","0,00","20.120,27"
2012,Julho,7,COMISSAO DE SEGURANCA,,,4,4,"0,00","0,00","0,00","21.810,36"
2012,Julho,7,"COMISSAO DEF.DIR.HUM,CID.ETICA E DEC.",,,8,8,"0,00","0,00","0,00","86.661,21"
2012,Julho,7,"COMISSAO DEF.DIR.HUM,CID.ETICA E DEC. PARLM,",,,1,1,"0,00","0,00","0,00","4.201,74"
2012,Julho,7,COMISSAO DOS ANAIS,,,4,4,"0,00","0,00","0,00","22.746,15"
2012,Julho,7,COMISSAO PERM. DE TOMADA DE CONTAS ESPECIAL E,,,2,2,"0,00","0,00","0,00","20.721,39"
2012,Julho,7,COMISSAO PERM. DE TOMADA DE CONTAS ESPECIAL E SINDICANCIA,,,1,1,"0,00","0,00","0,00","9.546,09"
2012,Julho,7,COMISSAO PERMANENTE DE LICITACAO,,,9,9,"0,00","0,00","0,00","94.156,95"
2012,Julho,7,COORDENAD. EDIT. E PROD. GRAFICA,,,5,5,"0,00","0,00","0,00","30.897,57"
2012,Julho,7,COORDENADORIA  DE PLANEJAMENTO E ELABORACAO,,,4,4,"0,00","0,00","0,00","21.219,21"
2012,Julho,7,COORDENADORIA  DE PLANEJAMENTO E ELABORACAO ORCAMENTARIA,,,1,1,"0,00","0,00","0,00","4.632,91"
2012,Julho,7,COORDENADORIA DE CERIMONIAL,,,9,9,"0,00","0,00","0,00","52.404,20"
2012,Julho,7,COORDENADORIA DE COMUNICACAO SOCIAL,,,8,8,"0,00","0,00","0,00","60.731,56"
2012,Julho,7,COORDENADORIA DE MODERNIZACAO E INFORMATICA,,,7,7,"0,00","0,00","0,00","53.183,89"
2012,Julho,7,COORDENADORIA DE POLICIA LEGISLATIVA,,,52,52,"0,00","0,00","0,00","187.978,49"
