ano,mes,mes_numero,tipo,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,Julho,7,CEDIDO,15,15,"0,00","0,00","0,00","163.864,83"
2012,Julho,7,CONCURSADO,729,729,"0,00","0,00","0,00","5.978.039,59"
2012,Julho,7,CONCURSADO (INATIVO - EC 41/03),2,2,"0,00","0,00","0,00","9.332,78"
2012,Julho,7,CONCURSADO (INATIVO),80,80,"0,00","0,00","0,00","687.782,42"
2012,Julho,7,CONCURSADO (IPREV),7,7,"0,00","0,00","0,00","56.514,20"
2012,Julho,7,DEPUTADO (PSS),8,8,"0,00","0,00","0,00","80.535,97"
2012,Julho,7,DEPUTADO (RGPS),19,19,"0,00","0,00","0,00","245.269,84"
2012,Julho,7,LIVRE PROVIMENTO,803,803,"0,00","0,00","0,00","3.233.070,25"
2012,Julho,7,PENSAO ESPECIAL - TEMPORARIA,4,4,"0,00","0,00","0,00","1.949,34"
2012,Julho,7,PENSAO ESPECIAL - VITALICIA,9,9,"0,00","0,00","0,00","46.160,76"
2012,Julho,7,PENSAO ESPECIAL EC41/03 - TEMPORARIA,14,14,"0,00","0,00","0,00","25.842,73"
2012,Julho,7,PENSAO ESPECIAL EC41/03 - VITALICIA,11,11,"0,00","0,00","0,00","45.625,76"
2012,Julho,7,REQUISITADO - CLT,7,7,"0,00","0,00","0,00","30.911,27"
2012,Julho,7,REQUISITADO - ESTATUTARIO,91,91,"0,00","0,00","0,00","333.769,82"
2012,Julho,7,REQUISITADO S/VINCULO RGPS,1,1,"0,00","0,00","0,00","0,00"
2012,Julho,7,REQUISITADOS S/VINCULO PSS,6,6,"0,00","0,00","0,00","0,00"
2012,Agosto,8,CEDIDO,15,15,"0,00","0,00","0,00","157.295,03"
2012,Agosto,8,CONCURSADO,721,721,"0,00","0,00","0,00","5.827.788,46"
2012,Agosto,8,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","12.129,59"
2012,Agosto,8,CONCURSADO (INATIVO),141,141,"0,00","0,00","0,00","1.264.275,28"
2012,Agosto,8,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","52.021,43"
2012,Agosto,8,CONCURSADO (IPREV) 65 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","14.940,80"
2012,Agosto,8,DEPUTADO (PSS),3,3,"0,00","0,00","0,00","26.320,65"
2012,Agosto,8,DEPUTADO (PSS) 5 DEPUTADO (RGPS),1,1,"0,00","0,00","0,00","14.779,72"
2012,Agosto,8,DEPUTADO (RGPS),13,13,"0,00","0,00","0,00","167.889,57"
2012,Agosto,8,LIVRE PROVIMENTO,802,802,"0,00","0,00","0,00","3.078.913,23"
2012,Agosto,8,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.949,34"
2012,Agosto,8,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","46.160,76"
2012,Agosto,8,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,14,14,"0,00","0,00","0,00","26.135,64"
2012,Agosto,8,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,11,11,"0,00","0,00","0,00","46.039,48"
2012,Agosto,8,REQUISITADO - CLT,7,7,"0,00","0,00","0,00","31.655,20"
2012,Agosto,8,REQUISITADO - ESTATUTÁRIO,93,93,"0,00","0,00","0,00","330.141,55"
