ano,deputado,partido,presencas,sessoes_no_ano,frequencia_pct,primeira_sessao,ultima_sessao,sessoes_no_periodo,frequencia_no_periodo_pct,as_of
2020,AGACIEL MAIA,PL,98,132,74.2,2020-02-04,2020-12-15,132,74.2,2026-08-27
2020,ARLETE SAMPAIO,PT,132,132,100.0,2020-02-04,2020-12-15,132,100.0,2026-08-27
2020,CHICO VIGILANTE,PT,124,132,93.9,2020-02-04,2020-12-15,132,93.9,2026-08-27
2020,CLAUDIO ABRANTES,PDT,101,132,76.5,2020-02-04,2020-12-15,132,76.5,2026-08-27
2020,DANIEL DONIZET,PL,87,132,65.9,2020-02-04,2020-12-15,132,65.9,2026-08-27
2020,DEL. FERNANDO FERNANDES,PROS,126,132,95.5,2020-02-04,2020-12-15,132,95.5,2026-08-27
2020,DELMASSO,REPUBLICANOS,116,132,87.9,2020-02-04,2020-12-15,132,87.9,2026-08-27
2020,EDUARDO PEDROSA,PTC,94,132,71.2,2020-02-04,2020-12-15,132,71.2,2026-08-27
2020,FÁBIO FELIX,PSOL,125,132,94.7,2020-02-04,2020-12-15,132,94.7,2026-08-27
2020,HERMETO,MDB,95,132,72.0,2020-02-04,2020-12-15,132,72.0,2026-08-27
2020,IOLANDO,PSC,110,132,83.3,2020-02-04,2020-12-15,132,83.3,2026-08-27
2020,JAQUELINE SILVA,PTB,108,132,81.8,2020-02-04,2020-12-15,132,81.8,2026-08-27
2020,JORGE VIANNA,PODEMOS,104,132,78.8,2020-02-04,2020-12-15,132,78.8,2026-08-27
2020,JOSÉ GOMES,PSB,91,132,68.9,2020-02-04,2020-12-15,132,68.9,2026-08-27
2020,JOÃO CARDOSO,AVANTE,124,132,93.9,2020-02-04,2020-12-15,132,93.9,2026-08-27
2020,JÚLIA LUCY,NOVO,117,132,88.6,2020-02-04,2020-12-15,132,88.6,2026-08-27
2020,LEANDRO GRASS,REDE,125,132,94.7,2020-02-04,2020-12-15,132,94.7,2026-08-27
2020,LUZIA DE PAULA,PSB,5,132,3.8,2020-10-21,2020-10-28,5,100.0,2026-08-27
2020,MARTINS MACHADO,REPUBLICANOS,125,132,94.7,2020-02-04,2020-12-15,132,94.7,2026-08-27
2020,PROF. REGINALDO VERAS,PDT,129,132,97.7,2020-02-04,2020-12-15,132,97.7,2026-08-27
2020,RAFAEL PRUDENTE,MDB,117,132,88.6,2020-02-11,2020-12-15,130,90.0,2026-08-27
2020,REGINALDO SARDINHA,AVANTE,94,132,71.2,2020-02-04,2020-12-15,132,71.2,2026-08-27
2020,ROBÉRIO NEGREIROS,PSD,83,132,62.9,2020-02-04,2020-12-15,132,62.9,2026-08-27
2020,ROOSEVELT VILELA,PSB,97,132,73.5,2020-02-04,2020-12-15,132,73.5,2026-08-27
2020,VALDELINO BARCELOS,PP,126,132,95.5,2020-02-04,2020-12-15,132,95.5,2026-08-27
2021,AGACIEL MAIA,PL,93,136,68.4,2021-02-02,2021-12-14,135,68.9,2026-08-27
2021,ARLETE SAMPAIO,PT,129,136,94.9,2021-02-02,2021-12-14,135,95.6,2026-08-27
2021,CHICO VIGILANTE,PT,123,136,90.4,2021-02-02,2021-12-14,135,91.1,2026-08-27
2021,CLAUDIO ABRANTES,PDT,83,136,61.0,2021-02-02,2021-12-15,136,61.0,2026-08-27
2021,DANIEL DONIZET,PL,48,136,35.3,2021-02-02,2021-12-09,130,36.9,2026-08-27
2021,DEL. FERNANDO FERNANDES,PROS,36,136,26.5,2021-02-02,2021-06-16,49,73.5,2026-08-27
2021,DELMASSO,REPUBLICANOS,109,136,80.1,2021-02-02,2021-12-14,135,80.7,2026-08-27
2021,EDUARDO PEDROSA,DEM / PTC,97,136,71.3,2021-02-02,2021-12-15,136,71.3,2026-08-27
2021,FÁBIO FELIX,PSOL,123,136,90.4,2021-02-02,2021-12-14,135,91.1,2026-08-27
2021,GUARDA JANIO,PROS,57,136,41.9,2021-06-22,2021-12-14,86,66.3,2026-08-27
2021,HERMETO,MDB,106,136,77.9,2021-02-02,2021-12-14,135,78.5,2026-08-27
2021,IOLANDO,PSC,110,136,80.9,2021-02-02,2021-12-14,135,81.5,2026-08-27
2021,JAQUELINE SILVA,PTB,105,136,77.2,2021-02-02,2021-12-14,135,77.8,2026-08-27
2021,JORGE VIANNA,PODEMOS,79,136,58.1,2021-02-02,2021-12-14,135,58.5,2026-08-27
2021,JOSÉ GOMES,NÃO INFORMADO / PSB / PTB,57,136,41.9,2021-02-02,2021-12-14,135,42.2,2026-08-27
2021,JOÃO CARDOSO,AVANTE,87,136,64.0,2021-02-03,2021-12-14,134,64.9,2026-08-27
2021,JÚLIA LUCY,NOVO,120,136,88.2,2021-02-02,2021-12-14,135,88.9,2026-08-27
2021,LEANDRO GRASS,REDE,108,136,79.4,2021-02-02,2021-12-14,135,80.0,2026-08-27
2021,MARTINS MACHADO,REPUBLICANOS,86,136,63.2,2021-02-02,2021-12-15,136,63.2,2026-08-27
2021,PROF. REGINALDO VERAS,PDT,114,136,83.8,2021-02-02,2021-12-14,135,84.4,2026-08-27
2021,RAFAEL PRUDENTE,MDB,108,136,79.4,2021-02-02,2021-12-14,135,80.0,2026-08-27
2021,REGINALDO SARDINHA,AVANTE,114,136,83.8,2021-02-02,2021-12-14,135,84.4,2026-08-27
2021,ROBÉRIO NEGREIROS,PSD,76,136,55.9,2021-02-02,2021-12-14,135,56.3,2026-08-27
2021,ROOSEVELT VILELA,PSB,91,136,66.9,2021-02-09,2021-12-14,133,68.4,2026-08-27
2021,VALDELINO BARCELOS,PP,115,136,84.6,2021-02-02,2021-12-14,135,85.2,2026-08-27
2022,AGACIEL MAIA,PL,105,146,71.9,2022-02-01,2022-12-13,144,72.9,2026-08-27
2022,ARLETE SAMPAIO,PT,135,146,92.5,2022-02-01,2022-12-15,146,92.5,2026-08-27
2022,CHICO VIGILANTE,PT,132,146,90.4,2022-02-01,2022-12-15,146,90.4,2026-08-27
2022,CLAUDIO ABRANTES,PDT / PSD,61,146,41.8,2022-02-01,2022-12-13,144,42.4,2026-08-27
2022,DANIEL DONIZET,PL,38,146,26.0,2022-02-01,2022-12-13,144,26.4,2026-08-27
2022,DEL. FERNANDO FERNANDES,PROS,54,146,37.0,2022-03-29,2022-12-13,113,47.8,2026-08-27
2022,DELMASSO,REPUBLICANOS,81,146,55.5,2022-02-01,2022-12-13,144,56.2,2026-08-27
2022,EDUARDO PEDROSA,DEM / UNIÃO,82,146,56.2,2022-02-01,2022-12-13,144,56.9,2026-08-27
2022,FÁBIO FELIX,PSOL,116,146,79.5,2022-02-01,2022-12-13,144,80.6,2026-08-27
2022,GUARDA JANIO,PROS,17,146,11.6,2022-02-01,2022-03-08,20,85.0,2026-08-27
2022,HERMETO,MDB,61,146,41.8,2022-02-01,2022-12-13,144,42.4,2026-08-27
2022,IOLANDO,MDB / NÃO INFORMADO / PSC,82,146,56.2,2022-02-01,2022-12-13,144,56.9,2026-08-27
2022,JAQUELINE SILVA,AGIR / PTB,86,146,58.9,2022-02-01,2022-12-13,144,59.7,2026-08-27
2022,JORGE VIANNA,PODEMOS / PSD,63,146,43.2,2022-02-01,2022-12-13,144,43.8,2026-08-27
2022,JOSÉ GOMES,PP / PTB,24,146,16.4,2022-02-01,2022-12-13,144,16.7,2026-08-27
2022,JOÃO CARDOSO,AVANTE,92,146,63.0,2022-02-01,2022-12-13,144,63.9,2026-08-27
2022,JÚLIA LUCY,NOVO / NÃO INFORMADO / UNIÃO,80,146,54.8,2022-02-01,2022-12-13,144,55.6,2026-08-27
2022,LEANDRO GRASS,NÃO INFORMADO / PV / REDE,98,146,67.1,2022-02-01,2022-12-13,144,68.1,2026-08-27
2022,MARTINS MACHADO,REPUBLICANOS,70,146,47.9,2022-03-15,2022-12-14,122,57.4,2026-08-27
2022,PROF. MARIA ANTONIA,SD,21,146,14.4,2022-02-01,2022-03-10,23,91.3,2026-08-27
2022,PROF. REGINALDO VERAS,NÃO INFORMADO / PDT / PV,108,146,74.0,2022-02-01,2022-12-13,144,75.0,2026-08-27
2022,RAFAEL PRUDENTE,MDB,83,146,56.8,2022-02-01,2022-12-13,144,57.6,2026-08-27
2022,REGINALDO SARDINHA,AVANTE / NÃO INFORMADO / PL,88,146,60.3,2022-02-01,2022-12-13,144,61.1,2026-08-27
2022,ROBÉRIO NEGREIROS,PSD,78,146,53.4,2022-02-01,2022-12-13,144,54.2,2026-08-27
2022,ROOSEVELT VILELA,PL / PSB,93,146,63.7,2022-02-01,2022-12-14,145,64.1,2026-08-27
2022,TABANEZ,PROS,8,146,5.5,2022-03-15,2022-03-24,8,100.0,2026-08-27
2022,VALDELINO BARCELOS,PP,90,146,61.6,2022-02-08,2022-12-13,141,63.8,2026-08-27
2023,CHICO VIGILANTE,PT,129,139,92.8,2023-02-01,2023-12-13,139,92.8,2026-08-27
2023,DANIEL DONIZET,MDB / PL,69,139,49.6,2023-02-01,2023-12-13,139,49.6,2026-08-27
2023,DAYSE AMARILIO,PSB,114,139,82.0,2023-02-01,2023-12-13,139,82.0,2026-08-27
2023,DOUTORA JANE,AGIR / MDB,109,139,78.4,2023-02-01,2023-12-13,139,78.4,2026-08-27
2023,EDUARDO PEDROSA,UNIÃO,94,139,67.6,2023-02-01,2023-12-13,139,67.6,2026-08-27
2023,FÁBIO FELIX,PSOL,126,139,90.6,2023-02-01,2023-12-13,139,90.6,2026-08-27
2023,GABRIEL MAGNO,PT,135,139,97.1,2023-02-01,2023-12-13,139,97.1,2026-08-27
2023,HERMETO,MDB,82,139,59.0,2023-02-01,2023-12-13,139,59.0,2026-08-27
2023,IOLANDO,MDB,91,139,65.5,2023-02-01,2023-12-13,139,65.5,2026-08-27
2023,JAQUELINE SILVA,AGIR / MDB / NÃO INFORMADO,109,139,78.4,2023-02-01,2023-12-13,139,78.4,2026-08-27
2023,JOAQUIM RORIZ NETO,PL,111,139,79.9,2023-02-01,2023-12-13,139,79.9,2026-08-27
2023,JORGE VIANNA,PSD,70,139,50.4,2023-02-01,2023-12-13,139,50.4,2026-08-27
2023,JOÃO CARDOSO,AVANTE,102,139,73.4,2023-02-01,2023-12-13,139,73.4,2026-08-27
2023,MARTINS MACHADO,REPUBLICANOS,114,139,82.0,2023-02-01,2023-12-13,139,82.0,2026-08-27
2023,MAX MACIEL,PSOL,133,139,95.7,2023-02-01,2023-12-13,139,95.7,2026-08-27
2023,PASTOR DANIEL DE CASTRO,PP,125,139,89.9,2023-02-01,2023-12-13,139,89.9,2026-08-27
2023,PAULA BELMONTE,CIDADANIA,120,139,86.3,2023-02-01,2023-12-13,139,86.3,2026-08-27
2023,PEPA,PP,121,139,87.1,2023-02-01,2023-12-12,136,89.0,2026-08-27
2023,RICARDO VALE,PT,125,139,89.9,2023-02-01,2023-12-13,139,89.9,2026-08-27
2023,ROBÉRIO NEGREIROS,PSD,101,139,72.7,2023-02-01,2023-12-13,139,72.7,2026-08-27
2023,ROGERIO MORRO DA CRUZ,NÃO INFORMADO / PMN,112,139,80.6,2023-02-01,2023-12-13,139,80.6,2026-08-27
2023,ROOSEVELT VILELA,PL,96,139,69.1,2023-02-01,2023-12-13,139,69.1,2026-08-27
2023,THIAGO MANZONI,PL,122,139,87.8,2023-02-01,2023-12-13,139,87.8,2026-08-27
2023,WELLINGTON LUIZ,MDB,101,139,72.7,2023-02-01,2023-12-13,139,72.7,2026-08-27
2024,CHICO VIGILANTE,PT,123,157,78.3,2024-02-01,2024-12-10,157,78.3,2026-08-27
2024,DANIEL DONIZET,MDB,73,157,46.5,2024-02-01,2024-12-10,157,46.5,2026-08-27
2024,DAYSE AMARILIO,PSB,114,157,72.6,2024-02-01,2024-12-10,157,72.6,2026-08-27
2024,DOUTORA JANE,MDB,102,157,65.0,2024-02-01,2024-12-10,157,65.0,2026-08-27
2024,EDUARDO PEDROSA,UNIÃO,118,157,75.2,2024-02-01,2024-12-10,157,75.2,2026-08-27
