deputado,sessao_legislativa,ano,ordinarias,presencas,ausencias,limite_regimental,ordinarias_com_quorum,presencas_com_quorum,ausencias_com_quorum,limite_regimental_com_quorum,ordinarias_sem_quorum,presencas_sem_quorum,as_of
CHICO VIGILANTE,33,2023,107,102,5,36,94,91,3,32,13,11,2026-09-01
CHICO VIGILANTE,34,2024,108,84,24,36,80,71,9,27,28,13,2026-09-01
CHICO VIGILANTE,35,2025,124,81,43,42,70,69,1,24,54,12,2026-09-01
CHICO VIGILANTE,36,2026,68,49,19,23,40,39,1,14,28,10,2026-09-01
DANIEL DONIZET,33,2023,107,56,51,36,94,53,41,32,13,3,2026-09-01
DANIEL DONIZET,34,2024,108,50,58,36,80,49,31,27,28,1,2026-09-01
DANIEL DONIZET,35,2025,124,20,104,42,70,19,51,24,54,1,2026-09-01
DANIEL DONIZET,36,2026,68,8,60,23,40,7,33,14,28,1,2026-09-01
DAYSE AMARILIO,33,2023,107,91,16,36,94,83,11,32,13,8,2026-09-01
DAYSE AMARILIO,34,2024,108,74,34,36,80,68,12,27,28,6,2026-09-01
DAYSE AMARILIO,35,2025,124,49,75,42,70,48,22,24,54,1,2026-09-01
DAYSE AMARILIO,36,2026,68,20,48,23,40,19,21,14,28,1,2026-09-01
DOUTORA JANE,33,2023,107,88,19,36,94,82,12,32,13,6,2026-09-01
DOUTORA JANE,34,2024,108,67,41,36,80,64,16,27,28,3,2026-09-01
DOUTORA JANE,35,2025,124,56,68,42,70,52,18,24,54,4,2026-09-01
DOUTORA JANE,36,2026,68,39,29,23,40,35,5,14,28,4,2026-09-01
EDUARDO PEDROSA,33,2023,107,68,39,36,94,65,29,32,13,3,2026-09-01
EDUARDO PEDROSA,34,2024,108,75,33,36,80,68,12,27,28,7,2026-09-01
EDUARDO PEDROSA,35,2025,124,64,60,42,70,61,9,24,54,3,2026-09-01
EDUARDO PEDROSA,36,2026,68,34,34,23,40,32,8,14,28,2,2026-09-01
FÁBIO FELIX,33,2023,107,97,10,36,94,87,7,32,13,10,2026-09-01
FÁBIO FELIX,34,2024,108,94,14,36,80,78,2,27,28,16,2026-09-01
FÁBIO FELIX,35,2025,124,74,50,42,70,68,2,24,54,6,2026-09-01
FÁBIO FELIX,36,2026,68,49,19,23,40,40,0,14,28,9,2026-09-01
GABRIEL MAGNO,33,2023,107,105,2,36,94,93,1,32,13,12,2026-09-01
GABRIEL MAGNO,34,2024,108,99,9,36,80,77,3,27,28,22,2026-09-01
GABRIEL MAGNO,35,2025,124,96,28,42,70,69,1,24,54,27,2026-09-01
GABRIEL MAGNO,36,2026,68,50,18,23,40,40,0,14,28,10,2026-09-01
HERMETO,33,2023,107,62,45,36,94,60,34,32,13,2,2026-09-01
HERMETO,34,2024,108,61,47,36,80,61,19,27,28,0,2026-09-01
HERMETO,35,2025,124,63,61,42,70,61,9,24,54,2,2026-09-01
HERMETO,36,2026,68,28,40,23,40,27,13,14,28,1,2026-09-01
IOLANDO,33,2023,107,64,43,36,94,62,32,32,13,2,2026-09-01
IOLANDO,34,2024,108,62,46,36,80,62,18,27,28,0,2026-09-01
