unidade_produtora,exercicio,processos,restrito,sigiloso,sem_categoria,reservado,secreto,ultrassecreto,sem_grau
BPAFM,2025,1,0,1,0,0,1,0,0
CAS,2022,1,1,0,0,0,0,0,1
CAS,2023,2,2,0,0,0,0,0,2
CMI,2022,1,1,0,0,0,0,0,1
CMI,2023,5,5,0,0,0,0,0,5
CONOFIS,2025,2,0,2,0,0,0,0,2
COPOL,2023,1,0,1,0,0,0,0,1
CPI-FEMINICIDIO,2021,1,0,1,0,0,0,0,1
CPI-MAUS-TRATOS CONTRA OS ANIMAIS,2021,1,0,1,0,0,0,0,1
CPI-RIO MELCHIOR,2025,1,0,1,0,1,0,0,0
CPI-SONEGACAO FISCAL,2021,1,0,1,0,0,0,0,1
CPTCE,2024,1,0,1,0,0,0,0,1
DGP,2024,1,0,1,0,0,0,0,1
DICOM,2023,5,0,5,0,0,0,0,5
DIPOL,2024,7,0,7,0,0,0,0,7
DIPOL,2025,1,0,1,0,0,0,0,1
DMI,2024,2,2,0,0,0,0,0,2
ELEGIS,2022,1,1,0,0,0,0,0,1
EXTERNO,2024,2,0,2,0,0,0,0,2
EXTERNO,2025,6,0,6,0,0,4,0,2
GAB DEP CHICO VIGILANTE,2022,1,1,0,0,0,0,0,1
GAB DEP DANIEL DONIZET,2024,2,0,2,0,0,0,0,2
GAB DEP DOUTORA JANE,2025,3,0,3,0,0,0,0,3
GAB DEP EDUARDO PEDROSA,2022,1,1,0,0,0,0,0,1
GAB DEP JOAQUIM RORIZ NETO,2025,1,0,1,0,0,0,0,1
GAB DEP JOaO CARDOSO,2024,2,0,2,0,0,0,0,2
GAB DEP PAULA BELMONTE,2024,3,0,3,0,0,0,0,3
GAB DEP PR DANIEL DE CASTRO,2024,2,0,2,0,0,0,0,2
GAB DEP ROGERIO MORRO DA CRUZ,2025,2,0,2,0,2,0,0,0
GAB DEP ROOSEVELT,2022,1,1,0,0,0,0,0,1
GAB DEP ROOSEVELT,2023,1,0,1,0,0,0,0,1
GMD,2025,2,0,0,2,0,0,0,2
GP,2023,1,0,1,0,0,0,0,1
GP,2025,6,0,6,0,0,1,0,5
GVP,2021,1,0,1,0,0,0,0,1
NAJC,2023,1,1,0,0,0,0,0,1
NJCI,2022,1,0,1,0,0,0,0,1
NPRAD,2025,1,0,1,0,1,0,0,0
NTO,2023,1,1,0,0,0,0,0,1
NUAL,2025,3,0,3,0,0,3,0,0
NUINV,2025,15,0,15,0,14,0,0,1
NUIP,2024,6,0,6,0,0,0,0,6
OUV,2023,16,15,1,0,0,0,0,16
OUV,2025,1,1,0,0,0,0,0,1
SACT,2023,1,0,1,0,0,0,0,1
SAD,2021,1,0,1,0,0,0,0,1
SAM,2024,1,0,1,0,0,0,0,1
SAPLE,2023,1,0,1,0,0,0,0,1
SAS,2021,1,0,1,0,0,0,0,1
SAS,2022,1,0,1,0,0,0,0,1
SCA,2025,1,0,1,0,0,0,0,1
SEASI,2022,9,9,0,0,0,0,0,9
SEASI,2023,2,2,0,0,0,0,0,2
SEASI,2024,1,1,0,0,0,0,0,1
SEASI,2025,1,1,0,0,0,0,0,1
SEATI,2023,2,2,0,0,0,0,0,2
SEATI,2024,1,1,0,0,0,0,0,1
SEATI,2025,1,1,0,0,0,0,0,1
SEDEP,2025,1,1,0,0,0,0,0,1
SEINF,2022,6,5,1,0,0,0,0,6
SEINF,2023,17,14,3,0,0,0,0,17
SEINF,2024,2,2,0,0,0,0,0,2
SEINF,2025,6,5,1,0,0,0,1,5
SESPE,2025,1,0,1,0,0,0,0,1
SPCS,2025,1,1,0,0,0,0,0,1
