exercicio,tipo_de_processo,unidade_produtora,fundamento_legal,classificacao_arquivistica,categoria_de_sigilo,grau_de_sigilo,numero_do_processo,categoria_na_fonte,grau_na_fonte,linha_desalinhada_na_fonte,as_of
2021,"Legislativo: Constituicao, reuniao, inquerito e relatorio de Comissao Parlamentar de Inquerito-CPI",CPI-FEMINICIDIO,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012",COMISSAO PARLAMENTAR DE INQUERITO (comissoes temporarias),Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2021,"Legislativo: Constituicao, reuniao, inquerito e relatorio de Comissao Parlamentar de Inquerito-CPI",CPI-MAUS-TRATOS CONTRA OS ANIMAIS,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012",COMISSAO PARLAMENTAR DE INQUERITO (comissoes temporarias),Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2021,"Legislativo: Constituicao, reuniao, inquerito e relatorio de Comissao Parlamentar de Inquerito-CPI",CPI-SONEGACAO FISCAL,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012",COMISSAO PARLAMENTAR DE INQUERITO (comissoes temporarias),Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2021,"Legislativo: Constituicao, reuniao, inquerito e relatorio de Comissao Parlamentar de Inquerito-CPI",GVP,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012",COMISSAO PARLAMENTAR DE INQUERITO (comissoes temporarias),Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2021,Pessoal: Avaliacao em estagio probatorio,SAD,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012","ESTAGIO PROBATORIO. Inclusive avaliacao e resultado final (recrutamento, selecao e provimento de car?",Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2021,Pessoal: Avaliacao em estagio probatorio,SAS,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012","ESTAGIO PROBATORIO. Inclusive avaliacao e resultado final (recrutamento, selecao e provimento de car?",Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2022,Informatica: Requisicao/ordem de servico de informatica,SEASI,"Lei Acesso ? Informacao do DF - Art. 25, inciso VII da Lei 4990, de 12/12/2012","SUPORTE TECNICO. assistencia TECNICA. Inclusive requisicao de servicos, ordem de servico (informatic?",Restrito,,,Restrito,,não,2026-06-12T19:25:11.291332
2022,Pessoal: Avaliacao em Estagio Probatorio,SAS,"Ativ. De Inteligencia, Investigacao e Fiscalizacao - Art. 25, Inciso VIII, da Lei 4.990/2012","ESTAGIO PROBATORIO. Inclusive avaliacao e resultado final (recrutamento, selecao e provimento de car?",Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
2022,Informatica: Requisicao/ordem de servico de informatica,SEASI,"Lei Acesso ? Informacao do DF - Art. 25, inciso VII da Lei 4990, de 12/12/2012","SUPORTE TECNICO. assistencia TECNICA. Inclusive requisicao de servicos, ordem de servico (informatic?",Restrito,,,Restrito,,não,2026-06-12T19:25:11.291332
2022,Pessoal: Imposto de renda retido na fonte - IRPF,NJCI,"Acesso ? Lei de acesso ? informacao - Art. 23, III, da Lei de Acesso ? Informacao.",IMPOSTO DE RENDA RETIDO NA FONTE. IRPF (descontos e consignacões),Sigiloso,,,Sigiloso,,não,2026-06-12T19:25:11.291332
