comissao,pareceres,admissivel,inadmissivel,com_ressalva,sem_clausula
(indeterminada),12,0,0,0,12
ASSSUNTOS SOCIAIS,1,0,0,0,1
ASSUNOS SOCIAIS,1,0,0,0,1
ASSUNTO SOCIAIS,1,0,0,0,1
ASSUNTO SOCIAL,4,0,0,0,4
ASSUNTOS,1,0,0,0,1
ASSUNTOS FUNDIÁRIOS,5,0,0,0,5
ASSUNTOS SOCIAI,1,0,0,0,1
ASSUNTOS SOCIAIS,274,7,0,0,267
"ASSUNTOS SOCIAIS (CAS), O PROJETO DE LEI N.º 634/2023, QUE “DISPÕE",2,0,0,0,2
"ASSUNTOS SOCIAIS (CAS), O PROJETO DE LEI Nº 413/2023, QUE “DISPÕE",1,0,0,0,1
"ASSUNTOS SOCIAIS, EMENDA SUBSTITUTIVA DO RELATOR DA COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA",1,0,0,0,1
"ASSUNTOS SOCIAIS, O PROJETO DE LEI Nº 2.962/2022, QUE “DISPÕE",1,0,0,0,1
"ASSUNTOS SOCIAIS, O PROJETO DE LEI Nº 304/2023, QUE “DISPÕE",1,0,0,0,1
"ASSUNTOS SOCIAIS, O PROJETO DE LEI Nº 313/2023, QUE “DISPÕE",1,0,0,0,1
"ASSUNTOS SOCIAIS, PARA A ANÁLISE QUANTO",13,0,0,0,13
ASSUNTOS SOCIAS,3,0,0,0,3
ASSUSTOS SOCIAIS,3,1,0,0,2
CAS,49,1,0,0,48
CCJ,5,4,0,1,0
CDDM,1,0,0,0,1
CDESCTMAT,6,0,0,0,6
CE,3,2,0,0,1
CEOF,9,8,0,1,0
CEPELO,2,2,0,0,0
COMISSÃO,2,0,0,0,2
CONSITITUIÇÃO E JUSTIÇA,1,1,0,0,0
CONSTITUIÇAO E JUSTIÇA,2,2,0,0,0
CONSTITUIÇÃO,2,0,0,2,0
CONSTITUIÇÃO DE JUSTIÇA,33,24,0,9,0
CONSTITUIÇÃO E >,1,1,0,0,0
CONSTITUIÇÃO E E JUSTIÇA,1,0,0,1,0
CONSTITUIÇÃO E JUSTICA,1,1,0,0,0
CONSTITUIÇÃO E JUSTIÇA,440,280,34,118,8
CONSTITUIÇÃO E JUSTIÇÃO,2,1,1,0,0
CONSTITUIÇÃO JUSTIÇA,1,1,0,0,0
CONSTITUIÇÃO JUSTIÇÃO,1,0,1,0,0
CONSTITUÇÃO DE CONSTITUIÇÃO E JUSTIÇA,1,1,0,0,0
CONSTITUÇÃO E JUSTIÇA,1,1,0,0,0
CONSTIUIÇÃO E JUSTIÇA,2,1,0,1,0
CONSTIUTIÇÃO E JUSTIÇA,2,1,1,0,0
CONTITUIÇÃO E JUSTIÇA,1,1,0,0,0
CPDM,1,0,0,0,1
CS,1,0,0,0,1
DEFESA DO CONSUMIDOR,6,1,0,1,4
DEFESA DO DIREITO DA MULHER,1,0,0,0,1
DEFESA DOS DIREITOS DA MULHER,2,0,0,0,2
"DEFESA DOS DIREITOS HUMANOS, CIDADANIA E LEGISLAÇÃO PARTICIPATIVA",31,0,0,0,31
"DEFESA DOS DIREITOS HUMANOS, CIDADANIA E LEGISLAÇÃO PARTICIPAVA",1,0,0,0,1
"DEFESA DOS DIREITOS HUMANOS, CIDADANIA, ÉTICA E DECORO PARLAMENTAR",15,0,0,0,15
"DESENVOLVIMENTO ECONÔMICO SUSTENTÁVEL, CIÊNCIA, TECNOLOGIA, MEIO AMBIENTE E TURISMO",27,0,0,3,24
"DESENVOLVIMENTO ECONÔMICO, SUSTENTÁVEL, CIÊNCIA, TECNOLOGIA, MEIO AMBIENTE E TURISMO",1,0,0,0,1
DIREITO DAS MULHERES,1,0,0,0,1
"ECONOMIA, ORÇAMENT E FINANÇAS",1,0,0,1,0
"ECONOMIA, ORÇAMENTE FINANÇAS",1,0,0,1,0
"ECONOMIA, ORÇAMENTO E FINANÇAS",253,181,5,45,22
"ECONOMIA, ORÇAMENTO E FINANÇAS (CEOF)",1,1,0,0,0
EDUCAÇÃO E CULTURA,10,1,0,0,9
EDUCAÇÃO E SAÚDE,1,0,0,0,1
"EDUCAÇÃO, SAÚDE E CULTURA",11,1,0,0,10
EMENDAS DE PROPOSTAS À LEI ORGÂNICA,1,0,1,0,0
"FISCALIZAÇÃO, GOVERNANÇA, TRANSPARÊNCIA E CONTROLE",4,0,0,0,4
GABINETE,1,0,0,0,1
MD,5,0,0,0,5
MESA,4,0,0,0,4
PRODUÇÃO RURAL E ABASTECIMENTO,1,0,0,0,1
SAÚDE,24,0,0,0,24
SEGURANCA,1,0,0,1,0
SEGURANÇA,33,5,0,1,27
TRANSPORTE E MOBILIDADE URBANA,17,0,0,0,17
