fonte,processo,identificacao,procedimento,ano,data_da_sessao,demandante,objeto,valor_estimado,valor_adjudicado,economia_calculada,economia_na_fonte,economia_confere,economia_percentual_na_fonte,situacao,as_of
dispensas-eletronicas,00003405/2026-19,502026,Dispensa Eletronica,2026,,,"Aquisicao de bandeiras diversas a serem instaladas, nos mastros do patio das bandeiras da Camara Legislativa do Distrito Federal","12.352,78","10.370,00","1.982,78","1.982,78",sim,"16,05%",Encerrado (homologado em 06/05/2026),2026-08-26T18:17:25
dispensas-eletronicas,00003754/2026-31,392026,Dispensa Eletronica,2026,,,"Contratacao de empresa especializada para o fornecimento continuo, sob demanda, de ate 10.000 canetas plasticas personalizadas destinadas as acoes educacionais, formativas e institucionais promovidas pela Elegis no ambito da CLDF","39.200,00","15.700,00","23.500,00","23.500,00",sim,"59,95%",Encerrado (homologado em 12/05/2026),2026-08-26T18:17:25
dispensas-eletronicas,00005536/2026-31,862026,Dispensa Eletronica,2026,,,"Contratacao de servicos especializados de Tecnologia da Informacao para conexao redundante à rede metropolitana governamental Infovia Brasilia (Tipo 3), a ser prestado pelo Servico Federal de Processamento de Dados (SERPRO)","260.479,92","192.000,00","68.479,92","68.479,92",sim,"26,29%",Encerrado (homologado em 22/07/2026),2026-08-26T18:17:25
dispensas-eletronicas,00008387/2026-61,492026,Dispensa Eletronica,2026,,,Aquisicao de 12 (doze) televisores e 12 (doze) suportes para televisores para a Camara Legislativa do Distrito Federal,"28.486,20","22.050,60","6.435,60","6.435,60",sim,"22,59%",Encerrado (homologado em 28/04/2026),2026-08-26T18:17:25
dispensas-eletronicas,00009329/2026-55,522026,Dispensa Eletronica,2026,,,Aquisicao de carrinho coletor de lixo e de carrinho de transporte de carga para atender as necessidades da Camara Legislativa do Distrito Federal,"16.444,96","9.876,00","6.568,96","6.568,96",sim,"39,95%",Encerrado (homologado em 06/05/2026),2026-08-26T18:17:25
dispensas-eletronicas,00009847/2026-79,732026,Dispensa Eletronica,2026,,,Aquisicao de pastas executivas em couro sintetico e bottons para cidadaos honorarios,"59.361,50","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00010114/2026-87,662026,Dispensa Eletronica,2026,,,Aquisicao de ferramentas profissionais e materiais de consumo da area audiovisual,"5.406,05","1.326,00","4.080,05","4.080,05",sim,"75,47%",Encerrado (homologado em 16/06/2026),2026-08-26T18:17:25
dispensas-eletronicas,00010731/2026-82,1062026,Dispensa Eletronica,2026,,,"Contratacao de empresa para monitoramento de desempenho e a manutencao preventiva, corretiva e emergencial da Usina Fotovoltaica em funcionamento na CLDF","113.412,79","0,00",,"0,00",,"0,00%",Em andamento,2026-08-26T18:17:25
dispensas-eletronicas,00011340/2026-85,642026,Dispensa Eletronica,2026,,,Aquisicao de 1 (uma) cadeira ergonomica para servidor da Camara Legislativa do Distrito Federal (CLDF),"1.883,55","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00011340/2026-85,932026,Dispensa Eletronica,2026,,,Aquisicao de 1 (uma) cadeira ergonomica para servidor da Camara Legislativa do Distrito Federal (CLDF),"1.883,55","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
