deputado,chave,data,dia_da_semana,sessao_legislativa,sk_sessao,presente,periodo_texto,local_de_destino,ato_da_mesa,motivo,as_of
WELLINGTON LUIZ,WELLINGTON LUIZ,2023-09-12,terça,33,506,não,10/09 a 17/09/2023,Genebra – Suíça,"Ato da Mesa Diretora nº 117, de 2023","Participação na 6ª Semana da Avaliação em Escolas de Governo (SAEG), nos dias 10 a 17 de setembro de 2023, em Genebra – Suíça",2026-09-01
WELLINGTON LUIZ,WELLINGTON LUIZ,2023-09-13,quarta,33,507,não,10/09 a 17/09/2023,Genebra – Suíça,"Ato da Mesa Diretora nº 117, de 2023","Participação na 6ª Semana da Avaliação em Escolas de Governo (SAEG), nos dias 10 a 17 de setembro de 2023, em Genebra – Suíça",2026-09-01
DOUTORA JANE,DOUTORA JANE,2023-11-07,terça,33,533,não,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 168/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,2023-11-07,terça,33,533,não,02/11 a 08/11/2023,Coimbra/Portugal,Ato da Mesa Diretora nº 152/2023.,"Participação no Fórum de Integração Brasil - Europa: Evento: ""Desafios do desenvolvimento: o futuro da tributação"". (6 e 7 de novembro de 2023).",2026-09-01
THIAGO MANZONI,THIAGO MANZONI,2023-11-07,terça,33,533,sim,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 157/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
DOUTORA JANE,DOUTORA JANE,2023-11-08,quarta,33,535,não,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 168/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,2023-11-08,quarta,33,535,não,02/11 a 08/11/2023,Coimbra/Portugal,Ato da Mesa Diretora nº 152/2023.,"Participação no Fórum de Integração Brasil - Europa: Evento: ""Desafios do desenvolvimento: o futuro da tributação"". (6 e 7 de novembro de 2023).",2026-09-01
THIAGO MANZONI,THIAGO MANZONI,2023-11-08,quarta,33,535,não,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 157/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
DOUTORA JANE,DOUTORA JANE,2023-11-09,quinta,33,536,não,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 168/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
THIAGO MANZONI,THIAGO MANZONI,2023-11-09,quinta,33,536,não,07/11 a 11/11/2023,Fortaleza/Brasil,Ato da Mesa Diretora nº 157/2023.,Participação na 26ª Conferência da UNALE (de 8 a 10 de novembro de 2023).,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-03-12,terça,34,1711,não,10/03 a 14/03/2024,Québec - Canadá,Ato da Mesa Diretora nº 20/2024,Participação das Reuniões Constitutivas dos Comitês Executivos da Confederação Parlamentar das Américas (COPA) e da Rede de Mulheres Parlamentares das Américas,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-03-13,quarta,34,579,não,10/03 a 14/03/2024,Québec - Canadá,Ato da Mesa Diretora nº 20/2024,Participação das Reuniões Constitutivas dos Comitês Executivos da Confederação Parlamentar das Américas (COPA) e da Rede de Mulheres Parlamentares das Américas,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-03-14,quinta,34,580,não,10/03 a 14/03/2024,Québec - Canadá,Ato da Mesa Diretora nº 20/2024,Participação das Reuniões Constitutivas dos Comitês Executivos da Confederação Parlamentar das Américas (COPA) e da Rede de Mulheres Parlamentares das Américas,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,2024-03-20,quarta,34,583,não,20/03 a 23/03/2024,New York - USA,Ato da Mesa Diretora nº 25/2024,13ª Conferência do Dia Internacional da Síndrome de Down - WDSC,2026-09-01
EDUARDO PEDROSA,EDUARDO PEDROSA,2024-03-21,quinta,34,584,não,20/03 a 23/03/2024,New York - USA,Ato da Mesa Diretora nº 25/2024,13ª Conferência do Dia Internacional da Síndrome de Down - WDSC,2026-09-01
PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,2024-03-21,quinta,34,584,não,21/03 a 23/03/2024,São Paulo - SP,Ato da Mesa Diretora nº 30/2024,Participação da 16ª Edição do Pesca e Companhia Trade Show,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,2024-04-17,quarta,34,601,não,17/04 a 20/04/2024,Washington - EUA,Ato da Mesa Diretora nº 38/2024,Participação do Pan American Freedim Forum 2024,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,2024-04-18,quinta,34,602,não,17/04 a 20/04/2024,Washington - EUA,Ato da Mesa Diretora nº 38/2024,Participação do Pan American Freedim Forum 2024,2026-09-01
DOUTORA JANE,DOUTORA JANE,2024-05-14,terça,34,612,não,10/05 a 18/05/2024,Tóquio e Hamamatsu - Japão,Ato da Mesa Diretora nº 51/2024,Participação da Missão Técnica da União Nacional dos Legisladores e Legislativos Estaduais - UNALE,2026-09-01
DOUTORA JANE,DOUTORA JANE,2024-05-15,quarta,34,613,não,10/05 a 18/05/2024,Tóquio e Hamamatsu - Japão,Ato da Mesa Diretora nº 51/2024,Participação da Missão Técnica da União Nacional dos Legisladores e Legislativos Estaduais - UNALE,2026-09-01
DOUTORA JANE,DOUTORA JANE,2024-05-16,quinta,34,614,não,10/05 a 18/05/2024,Tóquio e Hamamatsu - Japão,Ato da Mesa Diretora nº 51/2024,Participação da Missão Técnica da União Nacional dos Legisladores e Legislativos Estaduais - UNALE,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-05-28,terça,34,618,não,28/05 a 04/06/2024,Cidade do México - México,Ato da Mesa Diretora nº 67/2024,"Participação como membro do Comitê Executivo da Confederação Parlamentar das Américas, (COPA), do observatório eleitoral no México para as eleições presidenciais e legislativas no México.",2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-05-29,quarta,34,620,não,28/05 a 04/06/2024,Cidade do México - México,Ato da Mesa Diretora nº 67/2024,"Participação como membro do Comitê Executivo da Confederação Parlamentar das Américas, (COPA), do observatório eleitoral no México para as eleições presidenciais e legislativas no México.",2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,2024-06-04,terça,34,622,não,28/05 a 04/06/2024,Cidade do México - México,Ato da Mesa Diretora nº 67/2024,"Participação como membro do Comitê Executivo da Confederação Parlamentar das Américas, (COPA), do observatório eleitoral no México para as eleições presidenciais e legislativas no México.",2026-09-01
HERMETO,HERMETO,2024-06-11,terça,34,627,não,11/06 a 13/06/2024,Porto - Portugal,Ato da Mesa Diretora nº 82/2024,Participação no II Seminário Luso-Brasileiro de Inovação e Envelhecimento Humano,2026-09-01
HERMETO,HERMETO,2024-06-12,quarta,34,628,não,11/06 a 13/06/2024,Porto - Portugal,Ato da Mesa Diretora nº 82/2024,Participação no II Seminário Luso-Brasileiro de Inovação e Envelhecimento Humano,2026-09-01
HERMETO,HERMETO,2024-06-13,quinta,34,629,não,11/06 a 13/06/2024,Porto - Portugal,Ato da Mesa Diretora nº 82/2024,Participação no II Seminário Luso-Brasileiro de Inovação e Envelhecimento Humano,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,2024-06-25,terça,34,636,não,24/06 a 27/06/2024,"Grand Rapids, Michigan - EUA",Ato da Mesa Diretora nº 71/2024,Participação na Conferência Acton University,2026-09-01
MAX MACIEL,MAX MACIEL,2024-08-01,quinta,34,637,não,01/08 a 03/08/2024,Rio de Janeiro - RJ,Ato da Mesa Diretora nº 96/2024,"I Encontro Nacional ""As periferias e a Agenda Democrática""",2026-09-01
IOLANDO,IOLANDO,2024-08-27,terça,34,649,não,27/08 a 06/09/2024,Paris - França,Ato da Mesa Diretora nº 97/2024,Participação nos eventos das Paralimpíadas de Paris,2026-09-01
IOLANDO,IOLANDO,2024-08-28,quarta,34,650,não,27/08 a 06/09/2024,Paris - França,Ato da Mesa Diretora nº 97/2024,Participação nos eventos das Paralimpíadas de Paris,2026-09-01
IOLANDO,IOLANDO,2024-08-29,quinta,34,651,não,27/08 a 06/09/2024,Paris - França,Ato da Mesa Diretora nº 97/2024,Participação nos eventos das Paralimpíadas de Paris,2026-09-01
