ano,data_da_liquidacao,data_da_ordem_bancaria,dias_entre_liquidacao_e_pagamento,cnpj_credor,credor,forma_do_registro_na_fonte,valor,objeto,categoria_de_contrato,fonte_de_recursos,obrigacoes_mais_antigas_ultrapassadas,justificativa_publicada,as_of
2022,2022-01-12,2022-01-13,1,71208516000174,ALGAR TELECOM S/A,cnpj,"492,43",SERVIÇO DE TELEFONIA FIXA - DEZEMBRO/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-13,1,10902520000143,CASA LIMPA DEDETIZADORA LTDA,cnpj,"1.788,67",SERV.DE CONTROLE DE VETORES/PRAGAS - DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-13,1,00082024000137,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,cnpj,"15.189,52",SERV. DE FORNECIMENTO DE ÁGUA/ESGOTO - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-13,1,15813919000171,INFOCONS - PRODUTOS E SERVIÇOS DE INFORMATICA LTDA,cnpj,"161,03",LEITURA CONTÍNUA - DIÁRIO DA JUSTIÇA - DEZ/21 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-13,1,03828805000116,RIOPRO INFORMÁTICA LTDA.,cnpj,"11.500,00",MANUT SUPORTE SOFTWARE ALMOXARIFADO - DEZ/21- RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-13,1,09388567000151,SHOW TECNOLOGIA DA INFORMACAO E COM. DE EQUIP. DE,cnpj,"7.864,32",MANUT. PARQUE COMPUTADORES HP ELITE DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-12,2022-01-17,5,00394601000126,GOVERNO DO DISTRITO FEDERAL,cnpj,"21.220,48",PUBLICAÇÕES DA CLDF NO DODF - DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-13,2022-01-14,1,22166193000198,ALGAR SOLUÇÕES EM TIC S/A,cnpj,"6.870,26",LINK PARA ACESSO DEDICADO A INTERNET - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-13,2022-01-14,1,61600839000155,CENTRO DE INTEGRACAO EMPRESA-ESCOLA - CIEE,cnpj,"112.510,02",CONTRATAÇÃO DE ESTAGIÁRIOS - DEZEMBRO - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-13,2022-01-17,4,72602303000195,PURISSIMA AGUA MINERAL LTDA-EPP,cnpj,"2.805,50",FORNEC.DE ÁGUA MINERAL - GALÕES 20L - DEZ/21 RPNP,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
