ano,tipoProposicao,numero,ementa,comissao,comissao_fonte,verdict,verdict_estrutural,clausula,sigla_unidade,documento_id,data_documento
2022,Projeto de Decreto Legislativo,245,"Concede	o	título	de	Cidadã
Honorária de Brasília à Sra. Lydia Garcia.
",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 245/2022 no âmbito da CCJ, na forma do substitutivo anexo.",GAB DEP ROBÉRIO NEGREIROS,121282,2024-05-15T17:22:08.087
2022,Projeto de Decreto Legislativo,250,Concede Título de Cidadão Benemérito de Brasília ao Senhor Leonardo Santos.,CONSTITUIÇÃO DE JUSTIÇA,clausula_da,admissivel,Aprovado(a),"o nº 334/2023. O Projeto em tela foi apenas o segundo do gênero apresentado pelo Deputado Delmasso na condição de primeiro subscritor na sessão legislativa do ano de 2022. III – CONCLUSÃO Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 250/2022 no âmbito desta Comissão de Constituição e Justiça.",CCJ,103274,2023-11-13T18:09:33.637
2022,Projeto de Decreto Legislativo,251,Concede Título de Cidadão Benemérito de Brasília ao Senhor Humberto Alves de Freitas.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"§ 1º do art. 2º da Resolução nº 334/2023. Consulta ao sistema PLe nos informa que foi o quarto PDL congênere apresentado pelo autor, na condição de primeiro ou único subscritor, em 2022. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 251/2022 no âmbito da CCJ.",GAB DEP FÁBIO FÉLIX,113258,2024-03-06T11:39:42.893
2022,Projeto de Decreto Legislativo,253,Concede Título de Cidadão Benemérito de Brasília ao Senhor Édson Pereira Pires.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Aprovado(a),"Como exposto, o Projeto não cumpre o requisito pessoal previsto e tampouco respeita as regras de propositura estabelecidas no art. 2º, da Resolução nº 334/2023. Pelo exposto, manifestamos voto pela INADMISSIBILIDADE do Projeto de Decreto Legislativo nº 253/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP ROBÉRIO NEGREIROS,91215,2023-09-19T10:17:00.78
2022,Projeto de Decreto Legislativo,253,Concede Título de Cidadão Benemérito de Brasília ao Senhor Édson Pereira Pires.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Não apreciado(a),"Pelo exposto, manifestamos voto pela INADMISSIBILIDADE do Projeto de Decreto Legislativo nº 253/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP ROBÉRIO NEGREIROS,89909,2023-09-13T10:39:30.377
2022,Projeto de Decreto Legislativo,260,Concede o Título de Cidadã Honorária de Brasília à Senhora MARLUCE GUEDES FERREIRA.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"da Resolução nº 334/2023. O Projeto em tela foi apenas o primeiro do gênero apresentado pelo Deputado João Cardoso na condição de primeiro subscritor na sessão legislativa do ano de 2022. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 260/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP THIAGO MANZONI,97784,2023-10-18T13:45:57.513
2022,Projeto de Decreto Legislativo,261,Concede o Título de Cidadão Honorário de Brasília ao Senhor JORGE EDUARDO DEISTER.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"o na condição de primeiro subscritor na sessão legislativa de 2021. Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 261/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP THIAGO MANZONI,97986,2023-10-19T10:59:39.627
2022,Projeto de Decreto Legislativo,262,Concede Título de Cidadão Honorário de Brasília ao Senhor Paccelli José Maracci Zahler.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 262/2022 no âmbito da CCJ.",GAB DEP FÁBIO FÉLIX,275140,2024-10-31T11:39:00.717
2022,Projeto de Decreto Legislativo,266," Concede  Título de Cidadã Honorária de Brasília a senhora MEIRE LÚCIA GOMES MONTEIRO MOTA COELHO.
",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 266/2021 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,111496,2024-02-26T16:53:04.343
2022,Projeto de Decreto Legislativo,270,“Concede o Título de Cidadã Honorária de Brasília à Promotora de Justiça Maria da Graça Peres Soares Amorim”,CONSTITUIÇÃO DE JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 270/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP THIAGO MANZONI,78710,2023-06-15T11:47:06.047
2022,Projeto de Decreto Legislativo,271,Concede o Título de Cidadão Honorário de Brasília ao Sr. Antonio Carlos Ferreira.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"nstantes do art. 3º, o PDL nº 271/2022 está em conformidade com o limite quantitativo de oito proposituras por sessão legislativa, veiculado pelo § 1º do art. 2º da Resolução nº 334/2023. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 271/2022 no âmbito da CCJ.",GAB DEP FÁBIO FÉLIX,108895,2024-01-15T16:14:43.76
2022,Projeto de Decreto Legislativo,272,Concede o título de Cidadã Honorária de Brasília à senhora Ivone Araújo.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 272/2022 no âmbito da CCJ, na forma do substitutivo anexo.",GAB DEP ROBÉRIO NEGREIROS,121286,2024-05-15T17:43:54.83
2022,Projeto de Decreto Legislativo,278,Concede Título de Cidadão Honorário de Brasília ao Senhor Alessandro Rodrigues Paschoall.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Por esses motivos, voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 278/2022.",GAB DEP IOLANDO,105962,2023-11-29T14:24:28.747
2022,Projeto de Decreto Legislativo,279,Concede o Título de Cidadão Honorário de Brasília ao senhor Manoel Coelho Arruda Júnior.  ,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 279/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,92445,2023-09-26T16:13:49.733
2022,Projeto de Decreto Legislativo,287,"""Concede o Título de Cidadão Honorário de Brasília à Sebastião de Carvalho Neto""",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 287/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,90416,2023-09-14T12:06:58.43
2022,Projeto de Decreto Legislativo,289,“Concede o Título de Cidadão Benemérito de Brasília a Bruno Ericky Francisco Alvim de Oliveira”,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 289/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP THIAGO MANZONI,78715,2023-06-15T13:28:32.297
2022,Projeto de Decreto Legislativo,293,Concede o Título de Cidadão Honorário de Brasília ao Senhor Sebastião Theodoro Gomes.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 293/2022 no âmbito da CCJ, na forma do substitutivo anexo.",GAB DEP FÁBIO FÉLIX,120479,2024-05-06T15:13:15.2
2022,Projeto de Lei,2473,"Dispõe sobre o correto acondicionamento dos filtros de produtos fumígenos, pontas de cigarros ou equivalentes.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Portanto, a proposição reúne condições de constitucionalidade e juridicidade, motivo pelo qual nosso voto é pela admissibilidade do Projeto de Lei nº 2.473/2022.",GAB DEP FÁBIO FÉLIX,82109,2023-07-07T16:16:47.18
