deputado,partidos_no_periodo,primeira_sessao,ultima_sessao,sessoes_presente,sessoes_registradas,apresentadas,ind,req,moc,pl,pdl,plc,pelo,pr,outras_especies,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel,deliberadas_com_data,dias_mediana_ate_deliberacao,emendas_gabinete,emendas_aprovadas,emendas_rejeitadas,emendas_nao_apreciadas,emendas_prejudicadas,emendas_retiradas,emendas_sem_desfecho,loa_emendas,loa_canceladas,loa_vl_lei,loa_vl_empenhado,loa_vl_bloqueado,loa_vl_disponivel,ccj_pareceres,ccj_admissivel,ccj_admissivel_com_ressalva,ccj_inadmissivel,ccj_outro_veredito,as_of_presenca,as_of_loa
Deputada Dayse Amarilio,PSB,2023-02-01,2026-08-25,341,547,1295,431,601,165,53,16,5,9,14,1,31,0,67,1197,0,31,77,214,138,6,63,6,0,1,111,36,108209157.00,78993063.49,11908078.70,17304018.78,22,15,4,3,0,2026-08-27,2026-09-01
Deputada Doutora Jane,AGIR / MDB / REPUBLICANOS,2023-02-01,2026-08-25,349,547,846,319,258,150,71,22,0,11,15,0,39,0,81,726,0,39,87,129,68,10,51,0,0,0,119,44,106704362.00,77683664.52,17029876.81,9598325.07,25,14,8,2,1,2026-08-27,2026-09-01
Deputada Jaqueline Silva,AGIR / MDB / NÃO INFORMADO,2023-02-01,2026-08-25,392,547,2803,2326,219,135,89,19,2,5,8,0,34,0,90,2679,0,34,149,205,123,1,80,0,0,1,178,60,109072924.00,89233741.58,10533876.70,8263264.29,26,19,6,1,0,2026-08-27,2026-09-01
Deputada Paula Belmonte,CIDADANIA / INVÁLIDO,2023-02-01,2026-08-25,360,547,1044,142,608,87,120,45,3,12,23,4,51,1,152,840,0,52,134,283,138,56,77,10,0,2,156,63,98150839.00,57410379.14,31267207.00,5819047.03,37,26,7,4,0,2026-08-27,2026-09-01
Deputado Chico Vigilante,PT,2023-02-01,2026-08-25,435,547,387,105,181,28,39,22,0,6,5,1,27,0,46,314,0,27,154,98,62,0,31,0,0,5,106,24,114096529.00,79512704.77,23736296.26,4390004.29,10,7,3,0,0,2026-08-27,2026-09-01
Deputado Daniel Donizet,MDB / PL,2023-02-01,2026-08-12,193,547,431,273,90,34,17,8,0,3,6,0,9,0,25,397,0,9,83,45,23,0,15,7,0,0,78,32,111135012.00,90525403.85,6385355.00,12571323.59,11,6,4,1,0,2026-08-27,2026-09-01
Deputado Eduardo Pedrosa,UNIÃO,2023-02-01,2026-08-25,363,547,959,260,380,131,117,49,0,9,13,0,52,0,138,769,0,52,118,114,45,0,68,0,1,0,135,45,110769344.00,90015268.85,13395188.00,6644360.78,26,17,8,1,0,2026-08-27,2026-09-01
Deputado Fábio Felix,PSOL,2023-02-01,2026-08-25,441,547,838,155,516,62,76,11,4,6,5,3,18,1,86,733,0,19,199,536,223,89,202,14,5,3,135,49,107449067.00,69341645.35,28216340.00,6484842.50,20,11,4,5,0,2026-08-27,2026-09-01
Deputado Gabriel Magno,PT,2023-02-01,2026-08-25,477,547,1066,183,590,154,85,32,7,7,6,2,28,0,111,927,0,28,260,655,297,194,151,12,0,1,126,41,105827472.00,65223288.55,33839000.00,5052400.29,32,18,10,4,0,2026-08-27,2026-09-01
Deputado Hermeto,MDB,2023-02-01,2026-08-04,314,547,810,342,180,180,73,22,1,4,7,1,27,1,79,703,0,28,208,108,66,0,42,0,0,0,187,80,113717088.00,84460832.06,10056790.00,12666314.73,7,5,2,0,0,2026-08-27,2026-09-01
Deputado Iolando,MDB,2023-02-01,2026-08-25,338,547,573,127,184,49,175,19,1,6,9,3,23,0,187,363,0,23,43,87,47,0,40,0,0,0,78,26,111343308.00,91158534.51,6793000.00,11884895.95,18,13,5,0,0,2026-08-27,2026-09-01
Deputado Joaquim Roriz Neto,PL,2023-02-01,2026-08-18,303,547,4138,3834,156,29,82,13,1,10,11,2,29,0,88,4021,0,29,189,69,27,0,42,0,0,0,102,38,109825985.00,97453000.32,3692000.00,7369220.59,26,17,3,6,0,2026-08-27,2026-09-01
Deputado Jorge Vianna,PSD / INVÁLIDO,2023-02-01,2026-08-25,278,547,653,117,197,233,72,22,2,4,6,0,28,0,78,547,0,28,184,211,158,1,51,1,0,0,168,38,115388629.00,82793250.88,14582000.00,14414069.44,18,11,5,2,0,2026-08-27,2026-09-01
Deputado João Cardoso,AVANTE / PL,2023-02-01,2026-08-25,320,547,503,90,224,71,80,22,1,4,11,0,28,0,91,384,0,28,192,173,107,4,61,0,1,0,139,62,108510524.00,75674324.38,20257909.50,7642875.03,13,10,3,0,0,2026-08-27,2026-09-01
Deputado Martins Machado,REPUBLICANOS,2023-02-01,2026-08-19,403,547,514,68,235,129,41,26,1,4,10,0,25,0,58,431,0,25,287,56,32,1,22,1,0,0,112,29,112523929.00,85285387.28,13018000.00,11928265.12,28,20,6,0,2,2026-08-27,2026-09-01
Deputado Max Maciel,PSOL,2023-02-01,2026-08-25,454,547,905,406,358,52,49,22,3,7,6,2,31,0,56,818,0,31,267,351,182,82,77,6,0,4,148,36,115427751.00,74703915.56,25722906.00,5664893.58,23,16,4,3,0,2026-08-27,2026-09-01
Deputado Pastor Daniel de Castro,PP,2023-02-01,2026-08-25,409,547,1355,363,427,152,287,67,12,14,30,3,59,0,351,945,0,59,207,134,65,12,52,2,1,2,117,43,105066093.00,81512559.77,13954605.72,9483914.86,51,33,13,3,2,2026-08-27,2026-09-01
