ano,tipoProposicao,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,Indicação,1137,0,0,0,1137,0
2022,Moção,913,0,0,0,913,0
2022,Proc,7,0,0,7,0,0
2022,Projeto de Decreto Legislativo,57,14,0,43,0,0
2022,Projeto de Lei,605,44,0,561,0,0
2022,Projeto de Lei Complementar,37,6,0,31,0,0
2022,Projeto de Resolução,9,0,0,9,0,0
2022,Proposta de Emenda à Lei Orgânica,6,0,0,6,0,0
2022,Recurso,1,0,0,0,1,0
2022,Requerimento,567,0,0,0,567,0
2023,Indicação,4233,0,0,0,4233,0
2023,Moção,586,5,0,0,581,0
2023,Proc,17,2,0,15,0,0
2023,Projeto de Decreto Legislativo,74,40,0,34,0,0
2023,Projeto de Lei,844,184,0,660,0,0
2023,Projeto de Lei Complementar,37,10,0,27,0,0
2023,Projeto de Resolução,25,6,0,19,0,0
2023,Proposta de Emenda à Lei Orgânica,10,3,0,7,0,0
2023,Questão de Ordem,1,0,0,0,1,0
2023,Recurso,7,0,0,0,7,0
2023,Requerimento,1069,4,0,0,1065,0
2024,Indicação,2741,0,0,0,2741,0
2024,Moção,598,0,0,0,598,0
2024,Proc,10,1,0,9,0,0
2024,Projeto de Decreto Legislativo,173,102,1,70,0,0
2024,Projeto de Lei,648,186,2,460,0,0
2024,Projeto de Lei Complementar,24,7,0,17,0,0
2024,Projeto de Resolução,28,8,0,20,0,0
2024,Proposta de Emenda à Lei Orgânica,5,1,0,4,0,0
2024,Questão de Ordem,1,0,0,0,1,0
2024,Recurso,2,0,0,0,2,0
2024,Requerimento,702,0,0,0,702,0
2025,Indicação,2664,0,0,0,2664,0
2025,Moção,624,0,0,0,624,0
2025,Proc,20,0,0,20,0,0
2025,Projeto de Decreto Legislativo,161,91,0,70,0,0
2025,Projeto de Lei,609,137,2,470,0,0
2025,Projeto de Lei Complementar,34,21,0,13,0,0
2025,Projeto de Resolução,24,10,0,14,0,0
2025,Proposta de Emenda à Lei Orgânica,3,0,0,3,0,0
2025,Questão de Ordem,2,0,0,0,2,0
2025,Requerimento,780,0,0,0,780,0
2026,Indicação,1363,0,0,0,1363,0
2026,Moção,313,0,0,0,313,0
2026,Proc,6,0,0,6,0,0
2026,Projeto de Decreto Legislativo,88,33,0,55,0,0
2026,Projeto de Lei,347,54,0,293,0,0
2026,Projeto de Lei Complementar,16,4,0,12,0,0
2026,Projeto de Resolução,13,4,0,9,0,0
2026,Proposta de Emenda à Lei Orgânica,3,1,0,2,0,0
2026,Requerimento,503,0,1,0,502,0
2026,Sugestão Legislativa,1,0,0,1,0,0
