ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,Indicação,14,Deputada Arlete Sampaio,14,0,0,0,14,0
2022,Indicação,24,Deputada Jaqueline Silva,219,0,0,0,219,0
2022,Indicação,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),24,0,0,0,24,0
2022,Indicação,13,Deputado Agaciel Maia,37,0,0,0,37,0
2022,Indicação,55,Deputado Carlos Alberto Rodrigues Tabanez,22,0,0,0,22,0
2022,Indicação,15,Deputado Chico Vigilante,6,0,0,0,6,0
2022,Indicação,16,Deputado Claudio Abrantes,10,0,0,0,10,0
2022,Indicação,17,Deputado Daniel Donizet,153,0,0,0,153,0
2022,Indicação,21,Deputado Delegado Fernando Fernandes,6,0,0,0,6,0
2022,Indicação,19,Deputado Eduardo Pedrosa,99,0,0,0,99,0
2022,Indicação,20,Deputado Fábio Felix,6,0,0,0,6,0
2022,Indicação,22,Deputado Hermeto,30,0,0,0,30,0
2022,Indicação,23,Deputado Iolando,29,0,0,0,29,0
2022,Indicação,26,Deputado Jorge Vianna,20,0,0,0,20,0
2022,Indicação,27,Deputado José Gomes,55,0,0,0,55,0
2022,Indicação,25,Deputado João Cardoso ,12,0,0,0,12,0
2022,Indicação,29,Deputado Leandro Grass,79,0,0,0,79,0
2022,Indicação,30,Deputado Martins Machado,22,0,0,0,22,0
2022,Indicação,32,Deputado Professor Reginaldo Veras,18,0,0,0,18,0
2022,Indicação,31,Deputado Rafael Prudente,144,0,0,0,144,0
2022,Indicação,35,Deputado Reginaldo Sardinha,47,0,0,0,47,0
2022,Indicação,33,Deputado Robério Negreiros,74,0,0,0,74,0
2022,Indicação,34,Deputado Roosevelt Vilela,15,0,0,0,15,0
2022,Indicação,36,Deputado Valdelino Barcelos,2,0,0,0,2,0
2022,Moção,14,Deputada Arlete Sampaio,11,0,0,0,11,0
2022,Moção,24,Deputada Jaqueline Silva,31,0,0,0,31,0
2022,Moção,28,Deputada Júlia Lucy,26,0,0,0,26,0
2022,Moção,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),1,0,0,0,1,0
2022,Moção,13,Deputado Agaciel Maia,383,0,0,0,383,0
2022,Moção,55,Deputado Carlos Alberto Rodrigues Tabanez,3,0,0,0,3,0
2022,Moção,15,Deputado Chico Vigilante,1,0,0,0,1,0
2022,Moção,16,Deputado Claudio Abrantes,11,0,0,0,11,0
2022,Moção,17,Deputado Daniel Donizet,3,0,0,0,3,0
2022,Moção,21,Deputado Delegado Fernando Fernandes,1,0,0,0,1,0
2022,Moção,18,Deputado Delmasso,62,0,0,0,62,0
2022,Moção,19,Deputado Eduardo Pedrosa,16,0,0,0,16,0
2022,Moção,20,Deputado Fábio Felix,4,0,0,0,4,0
2022,Moção,22,Deputado Hermeto,57,0,0,0,57,0
2022,Moção,23,Deputado Iolando,51,0,0,0,51,0
2022,Moção,53,Deputado Janio Farias Marques (Guarda Janio),3,0,0,0,3,0
2022,Moção,26,Deputado Jorge Vianna,61,0,0,0,61,0
2022,Moção,27,Deputado José Gomes,7,0,0,0,7,0
2022,Moção,25,Deputado João Cardoso ,13,0,0,0,13,0
2022,Moção,29,Deputado Leandro Grass,45,0,0,0,45,0
2022,Moção,30,Deputado Martins Machado,19,0,0,0,19,0
2022,Moção,32,Deputado Professor Reginaldo Veras,11,0,0,0,11,0
2022,Moção,31,Deputado Rafael Prudente,6,0,0,0,6,0
2022,Moção,35,Deputado Reginaldo Sardinha,56,0,0,0,56,0
2022,Moção,33,Deputado Robério Negreiros,7,0,0,0,7,0
2022,Moção,34,Deputado Roosevelt Vilela,24,0,0,0,24,0
2022,Moção,36,Deputado Valdelino Barcelos,2,0,0,0,2,0
2022,Proc,6,Poder Executivo,7,0,0,7,0,0
2022,Projeto de Decreto Legislativo,9,"Comissão de Economia, Orçamento e Finanças",5,0,0,5,0,0
2022,Projeto de Decreto Legislativo,14,Deputada Arlete Sampaio,7,5,0,2,0,0
2022,Projeto de Decreto Legislativo,24,Deputada Jaqueline Silva,4,1,0,3,0,0
2022,Projeto de Decreto Legislativo,28,Deputada Júlia Lucy,2,0,0,2,0,0
2022,Projeto de Decreto Legislativo,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),6,0,0,6,0,0
2022,Projeto de Decreto Legislativo,13,Deputado Agaciel Maia,8,3,0,5,0,0
2022,Projeto de Decreto Legislativo,15,Deputado Chico Vigilante,7,5,0,2,0,0
2022,Projeto de Decreto Legislativo,16,Deputado Claudio Abrantes,5,0,0,5,0,0
2022,Projeto de Decreto Legislativo,17,Deputado Daniel Donizet,2,0,0,2,0,0
2022,Projeto de Decreto Legislativo,21,Deputado Delegado Fernando Fernandes,2,0,0,2,0,0
2022,Projeto de Decreto Legislativo,18,Deputado Delmasso,13,1,0,12,0,0
2022,Projeto de Decreto Legislativo,19,Deputado Eduardo Pedrosa,8,2,0,6,0,0
2022,Projeto de Decreto Legislativo,20,Deputado Fábio Felix,4,3,0,1,0,0
2022,Projeto de Decreto Legislativo,22,Deputado Hermeto,5,1,0,4,0,0
2022,Projeto de Decreto Legislativo,23,Deputado Iolando,14,3,0,11,0,0
2022,Projeto de Decreto Legislativo,53,Deputado Janio Farias Marques (Guarda Janio),6,0,0,6,0,0
2022,Projeto de Decreto Legislativo,26,Deputado Jorge Vianna,4,0,0,4,0,0
2022,Projeto de Decreto Legislativo,27,Deputado José Gomes,2,1,0,1,0,0
2022,Projeto de Decreto Legislativo,25,Deputado João Cardoso ,6,3,0,3,0,0
2022,Projeto de Decreto Legislativo,29,Deputado Leandro Grass,6,1,0,5,0,0
2022,Projeto de Decreto Legislativo,30,Deputado Martins Machado,15,5,0,10,0,0
2022,Projeto de Decreto Legislativo,32,Deputado Professor Reginaldo Veras,3,0,0,3,0,0
2022,Projeto de Decreto Legislativo,31,Deputado Rafael Prudente,10,2,0,8,0,0
2022,Projeto de Decreto Legislativo,35,Deputado Reginaldo Sardinha,4,2,0,2,0,0
2022,Projeto de Decreto Legislativo,33,Deputado Robério Negreiros,12,4,0,8,0,0
2022,Projeto de Decreto Legislativo,34,Deputado Roosevelt Vilela,5,1,0,4,0,0
2022,Projeto de Decreto Legislativo,36,Deputado Valdelino Barcelos,5,2,0,3,0,0
2022,Projeto de Lei,42,Defensoria Pública do Distrito Federal,4,1,0,3,0,0
2022,Projeto de Lei,14,Deputada Arlete Sampaio,13,0,0,13,0,0
2022,Projeto de Lei,24,Deputada Jaqueline Silva,9,0,0,9,0,0
2022,Projeto de Lei,28,Deputada Júlia Lucy,16,0,0,16,0,0
2022,Projeto de Lei,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),3,0,0,3,0,0
2022,Projeto de Lei,13,Deputado Agaciel Maia,38,0,0,38,0,0
2022,Projeto de Lei,55,Deputado Carlos Alberto Rodrigues Tabanez,49,0,0,49,0,0
2022,Projeto de Lei,15,Deputado Chico Vigilante,17,3,0,14,0,0
2022,Projeto de Lei,16,Deputado Claudio Abrantes,10,0,0,10,0,0
2022,Projeto de Lei,17,Deputado Daniel Donizet,10,0,0,10,0,0
2022,Projeto de Lei,21,Deputado Delegado Fernando Fernandes,12,0,0,12,0,0
2022,Projeto de Lei,18,Deputado Delmasso,66,1,0,65,0,0
2022,Projeto de Lei,19,Deputado Eduardo Pedrosa,10,4,0,6,0,0
2022,Projeto de Lei,20,Deputado Fábio Felix,7,1,0,6,0,0
2022,Projeto de Lei,22,Deputado Hermeto,11,0,0,11,0,0
2022,Projeto de Lei,23,Deputado Iolando,23,5,0,18,0,0
2022,Projeto de Lei,26,Deputado Jorge Vianna,14,0,0,14,0,0
2022,Projeto de Lei,27,Deputado José Gomes,22,0,0,22,0,0
2022,Projeto de Lei,25,Deputado João Cardoso ,18,1,0,17,0,0
