ano,tipoProposicao,apresentadas
2022,Indicação,1137
2022,Moção,913
2022,Proc,7
2022,Projeto de Decreto Legislativo,57
2022,Projeto de Lei,605
2022,Projeto de Lei Complementar,37
2022,Projeto de Resolução,9
2022,Proposta de Emenda à Lei Orgânica,6
2022,Recurso,1
2022,Requerimento,567
2023,Indicação,4233
2023,Moção,586
2023,Proc,17
2023,Projeto de Decreto Legislativo,74
2023,Projeto de Lei,844
2023,Projeto de Lei Complementar,37
2023,Projeto de Resolução,25
2023,Proposta de Emenda à Lei Orgânica,10
2023,Questão de Ordem,1
2023,Recurso,7
2023,Requerimento,1069
2024,Indicação,2741
2024,Moção,598
2024,Proc,10
2024,Projeto de Decreto Legislativo,173
2024,Projeto de Lei,648
2024,Projeto de Lei Complementar,24
2024,Projeto de Resolução,28
2024,Proposta de Emenda à Lei Orgânica,5
2024,Questão de Ordem,1
2024,Recurso,2
2024,Requerimento,702
2025,Indicação,2664
2025,Moção,624
2025,Proc,20
2025,Projeto de Decreto Legislativo,161
2025,Projeto de Lei,609
2025,Projeto de Lei Complementar,34
2025,Projeto de Resolução,24
2025,Proposta de Emenda à Lei Orgânica,3
2025,Questão de Ordem,2
2025,Requerimento,780
2026,Indicação,1363
2026,Moção,313
2026,Proc,6
2026,Projeto de Decreto Legislativo,88
2026,Projeto de Lei,347
2026,Projeto de Lei Complementar,16
2026,Projeto de Resolução,13
2026,Proposta de Emenda à Lei Orgânica,3
2026,Requerimento,503
2026,Sugestão Legislativa,1
