ano,autor,tipoProposicao,apresentadas_como_autor_unico,apresentadas_com_coautoria
2022,Comissão de Economia,Projeto de Decreto Legislativo,0,5
2022,Comissão de Educação Saúde e Cultura,Requerimento,5,5
2022,Defensoria Pública do Distrito Federal,Projeto de Lei,4,4
2022,Defensoria Pública do Distrito Federal,Projeto de Lei Complementar,1,1
2022,Defensoria Pública do Distrito Federal,Requerimento,1,1
2022,Deputada Arlete Sampaio,Indicação,13,14
2022,Deputada Arlete Sampaio,Moção,10,12
2022,Deputada Arlete Sampaio,Projeto de Decreto Legislativo,0,7
2022,Deputada Arlete Sampaio,Projeto de Lei,10,13
2022,Deputada Arlete Sampaio,Projeto de Resolução,0,2
2022,Deputada Arlete Sampaio,Proposta de Emenda à Lei Orgânica,0,1
2022,Deputada Arlete Sampaio,Requerimento,23,66
2022,Deputada Jaqueline Silva,Indicação,219,219
2022,Deputada Jaqueline Silva,Moção,30,31
2022,Deputada Jaqueline Silva,Projeto de Decreto Legislativo,0,4
2022,Deputada Jaqueline Silva,Projeto de Lei,9,9
2022,Deputada Jaqueline Silva,Proposta de Emenda à Lei Orgânica,0,2
2022,Deputada Jaqueline Silva,Requerimento,9,43
2022,Deputada Júlia Lucy,Moção,25,26
2022,Deputada Júlia Lucy,Projeto de Decreto Legislativo,1,2
2022,Deputada Júlia Lucy,Projeto de Lei,11,18
2022,Deputada Júlia Lucy,Projeto de Resolução,0,1
2022,Deputada Júlia Lucy,Proposta de Emenda à Lei Orgânica,0,1
2022,Deputada Júlia Lucy,Recurso,1,1
2022,Deputada Júlia Lucy,Requerimento,34,103
2022,Deputada Maria Antônia,Indicação,24,24
2022,Deputada Maria Antônia,Moção,1,1
2022,Deputada Maria Antônia,Projeto de Decreto Legislativo,0,6
2022,Deputada Maria Antônia,Projeto de Lei,2,3
2022,Deputada Maria Antônia,Requerimento,1,4
2022,Deputado Agaciel Maia,Indicação,35,37
2022,Deputado Agaciel Maia,Moção,383,383
2022,Deputado Agaciel Maia,Projeto de Decreto Legislativo,0,9
2022,Deputado Agaciel Maia,Projeto de Lei,31,39
2022,Deputado Agaciel Maia,Projeto de Resolução,2,2
2022,Deputado Agaciel Maia,Proposta de Emenda à Lei Orgânica,0,2
2022,Deputado Agaciel Maia,Requerimento,15,56
2022,Deputado Chico Vigilante,Indicação,5,6
2022,Deputado Chico Vigilante,Moção,1,1
2022,Deputado Chico Vigilante,Projeto de Decreto Legislativo,0,7
2022,Deputado Chico Vigilante,Projeto de Lei,16,17
2022,Deputado Chico Vigilante,Projeto de Lei Complementar,1,1
2022,Deputado Chico Vigilante,Proposta de Emenda à Lei Orgânica,0,3
2022,Deputado Chico Vigilante,Requerimento,8,44
2022,Deputado Claudio Abrantes,Indicação,10,10
2022,Deputado Claudio Abrantes,Moção,11,11
2022,Deputado Claudio Abrantes,Projeto de Decreto Legislativo,0,5
2022,Deputado Claudio Abrantes,Projeto de Lei,8,10
2022,Deputado Claudio Abrantes,Projeto de Resolução,0,1
2022,Deputado Claudio Abrantes,Proposta de Emenda à Lei Orgânica,0,2
2022,Deputado Claudio Abrantes,Requerimento,14,54
2022,Deputado Daniel Donizet,Indicação,153,153
2022,Deputado Daniel Donizet,Moção,3,3
2022,Deputado Daniel Donizet,Projeto de Decreto Legislativo,0,2
2022,Deputado Daniel Donizet,Projeto de Lei,9,11
2022,Deputado Daniel Donizet,Proposta de Emenda à Lei Orgânica,0,1
2022,Deputado Daniel Donizet,Requerimento,0,10
2022,Deputado Delegado Fernando Fernandes,Indicação,6,6
2022,Deputado Delegado Fernando Fernandes,Moção,1,1
2022,Deputado Delegado Fernando Fernandes,Projeto de Decreto Legislativo,0,2
2022,Deputado Delegado Fernando Fernandes,Projeto de Lei,10,13
2022,Deputado Delegado Fernando Fernandes,Requerimento,0,7
2022,Deputado Delmasso,Moção,62,62
2022,Deputado Delmasso,Projeto de Decreto Legislativo,2,13
2022,Deputado Delmasso,Projeto de Lei,63,66
2022,Deputado Delmasso,Projeto de Lei Complementar,9,9
2022,Deputado Delmasso,Projeto de Resolução,1,3
2022,Deputado Delmasso,Proposta de Emenda à Lei Orgânica,0,2
2022,Deputado Delmasso,Requerimento,10,23
2022,Deputado Eduardo Pedrosa,Indicação,99,99
2022,Deputado Eduardo Pedrosa,Moção,16,16
2022,Deputado Eduardo Pedrosa,Projeto de Decreto Legislativo,0,8
2022,Deputado Eduardo Pedrosa,Projeto de Lei,10,10
2022,Deputado Eduardo Pedrosa,Projeto de Resolução,0,1
2022,Deputado Eduardo Pedrosa,Proposta de Emenda à Lei Orgânica,0,1
2022,Deputado Eduardo Pedrosa,Requerimento,12,63
