ano,tipoProposicao,apresentadas,aprovada_no_texto_original,aprovada_com_emendas,rejeitada,pendente,original_com_emenda_nao_decidida,emendas_acatadas
2022,Proc,7,0,0,0,7,0,0
2022,Projeto de Lei,102,17,2,0,83,10,6
2022,Projeto de Lei Complementar,18,2,0,0,16,0,0
2022,Proposta de Emenda à Lei Orgânica,2,0,0,0,2,0,1
2023,Proc,17,2,0,0,15,0,0
2023,Projeto de Lei,87,31,25,0,31,0,1519
2023,Projeto de Lei Complementar,8,3,2,0,3,1,8
2023,Proposta de Emenda à Lei Orgânica,1,1,0,0,0,0,0
2024,Proc,10,1,0,0,9,0,0
2024,Projeto de Lei,108,53,40,0,15,4,1093
2024,Projeto de Lei Complementar,10,2,5,0,3,1,113
2025,Proc,20,0,0,0,20,0,0
2025,Projeto de Lei,99,50,27,1,21,3,1500
2025,Projeto de Lei Complementar,20,4,12,0,4,2,227
2025,Proposta de Emenda à Lei Orgânica,1,0,0,0,1,0,0
2026,Proc,6,0,0,0,6,0,0
2026,Projeto de Lei,44,14,15,0,15,0,691
2026,Projeto de Lei Complementar,10,2,1,0,7,1,27
2026,Proposta de Emenda à Lei Orgânica,1,0,1,0,0,0,3
