ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2022,Proc,88,PROC 88/2022,pendente,pendente,0,0,0,2022-02-24,"Homologa o Convênio ICMS 178, de 1º de outubro de 2021, que prorroga disposições de convênios que concedem benefícios fiscais."
2022,Proc,89,PROC 89/2022,pendente,pendente,0,0,0,2022-04-05,"Prestação de Contas Anual do Governo do Distrito Federal, relativa ao exercício de 2021, em consonância com o disposto no inciso XVII do artigo 100 da Lei Orgânica do Distrito Federal."
2022,Proc,90,PROC 90/2022,pendente,pendente,0,0,0,2022-04-12,Indicação do nome da Sra. MARIELA SOUZA DE JESUS para ocupar o cargo de Diretora-Presidente do Instituto de Gestão Estratégica de Saúde do Distrito Federal - IGESDF.
2022,Proc,91,PROC 91/2022,pendente,pendente,0,0,0,2022-11-09,"Homologa o Convênio ICMS n. 68, de 12 de maio de 2022, que prorroga a vigência de benefícios fiscais reinstituídos nos termos da Cláusula segunda do Convênio ICMS 190, de 15 de dezembro 2017."
2022,Proc,92,PROC 92/2022,pendente,pendente,0,0,0,2022-11-10,"Indicação do senhor Rogério Schumann Rosso para ocupar o cargo de Diretor da Agência Reguladora de Águas, Energia e Saneamento Básico do Distrito Federal"
2022,Proc,93,PROC 93/2022,pendente,pendente,0,0,0,2022-11-17,"Homologa o Convênio ICMS no 116, de 27 de julho de 2022."
2022,Proc,94,PROC 94/2022,pendente,pendente,0,0,0,2022-12-06,"Homologa os Convênios ICMS n°s 24, de 7 de abril de 2022, 87, de 1° de julho de 2022, e 137, de 23 de setembro de 2022."
2022,Projeto de Lei,2515,PL 2515/2022,pendente,pendente,0,0,1,2022-02-03,Dispõe sobre a suplementação do auxílio-alimentação para os Policiais civis do Distrito Federal.
2022,Projeto de Lei,2516,PL 2516/2022,pendente,pendente,0,0,5,2022-02-03,"Dispõe sobre o auxílio uniforme, de natureza indenizatória, para os policiais civis do Distrito Federal."
2022,Projeto de Lei,2517,PL 2517/2022,pendente,pendente,0,0,0,2022-02-08,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 85.744.370,00."
