ano,sigla,numero,autor,tipo_autor,registros_na_fonte,id_proposicao,as_of
2023,IND,1,Deputado Hermeto,PARLAMENTAR,1,10121,2026-09-01
2023,IND,2,Deputado Gabriel Magno,PARLAMENTAR,5,10058,2026-09-01
2023,IND,3,Deputado Daniel Donizet,PARLAMENTAR,1,10203,2026-09-01
2023,IND,5,Deputada Dayse Amarilio,PARLAMENTAR,1,10168,2026-09-01
2023,IND,6,Deputada Dayse Amarilio,PARLAMENTAR,1,10318,2026-09-01
2023,IND,7,Deputada Dayse Amarilio,PARLAMENTAR,1,10277,2026-09-01
2023,IND,8,Deputado Robério Negreiros,PARLAMENTAR,1,10213,2026-09-01
2023,IND,9,Deputado Robério Negreiros,PARLAMENTAR,1,10215,2026-09-01
2023,IND,10,Deputado Robério Negreiros,PARLAMENTAR,1,10216,2026-09-01
2023,IND,11,Deputado Robério Negreiros,PARLAMENTAR,1,10218,2026-09-01
2023,IND,12,Deputado Robério Negreiros,PARLAMENTAR,2,10220,2026-09-01
2023,IND,13,Deputado Robério Negreiros,PARLAMENTAR,1,10297,2026-09-01
2023,IND,14,Deputado Robério Negreiros,PARLAMENTAR,1,10287,2026-09-01
2023,IND,15,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10156,2026-09-01
2023,IND,16,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10165,2026-09-01
2023,IND,17,Deputado Pastor Daniel de Castro,PARLAMENTAR,2,10164,2026-09-01
2023,IND,18,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10163,2026-09-01
2023,IND,19,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10162,2026-09-01
2023,IND,20,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10161,2026-09-01
2023,IND,21,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10160,2026-09-01
2023,IND,22,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10159,2026-09-01
2023,IND,23,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10158,2026-09-01
2023,IND,24,Deputado Pastor Daniel de Castro,PARLAMENTAR,1,10157,2026-09-01
