ano,sigla,proposicoes_api,proposicoes_painel,em_ambas,so_na_api_painel_em_outro_ano,so_na_api_ausente_do_painel,so_no_painel_api_em_outro_ano,so_no_painel_posterior_a_coleta_da_api,so_no_painel_ausente_da_api,coleta_api,as_of_painel
2023,IND,4233,4247,4230,0,3,17,0,0,2026-08-23,2026-09-01
2023,MO,586,586,586,0,0,0,0,0,2026-08-23,2026-09-01
2023,PDL,74,78,74,0,0,4,0,0,2026-08-23,2026-09-01
2023,PELO,10,10,10,0,0,0,0,0,2026-08-23,2026-09-01
2023,PL,844,855,839,0,5,16,0,0,2026-08-23,2026-09-01
2023,PLC,37,38,37,0,0,1,0,0,2026-08-23,2026-09-01
2023,PR,25,24,24,0,1,0,0,0,2026-08-23,2026-09-01
2023,PROC,17,14,14,0,3,0,0,0,2026-08-23,2026-09-01
2023,QO,1,0,0,1,0,0,0,0,2026-08-23,2026-09-01
2023,REC,7,7,7,0,0,0,0,0,2026-08-23,2026-09-01
2023,REQ,1069,1074,1066,0,3,8,0,0,2026-08-23,2026-09-01
2023,TODAS,6903,6933,6887,1,15,46,0,0,2026-08-23,2026-09-01
2024,IND,2741,2894,2724,17,0,170,0,0,2026-08-23,2026-09-01
2024,MO,598,602,598,0,0,4,0,0,2026-08-23,2026-09-01
2024,PDL,173,173,167,4,2,6,0,0,2026-08-23,2026-09-01
2024,PELO,5,5,5,0,0,0,0,0,2026-08-23,2026-09-01
2024,PL,648,650,632,16,0,18,0,0,2026-08-23,2026-09-01
2024,PLC,24,24,23,1,0,1,0,0,2026-08-23,2026-09-01
2024,PR,28,28,28,0,0,0,0,0,2026-08-23,2026-09-01
2024,PROC,10,10,10,0,0,0,0,0,2026-08-23,2026-09-01
2024,QO,1,2,1,0,0,1,0,0,2026-08-23,2026-09-01
2024,REC,2,2,2,0,0,0,0,0,2026-08-23,2026-09-01
2024,REQ,702,709,695,7,0,14,0,0,2026-08-23,2026-09-01
2024,TODAS,4932,5099,4885,45,2,214,0,0,2026-08-23,2026-09-01
2025,IND,2664,2508,2494,170,0,14,0,0,2026-08-23,2026-09-01
2025,MO,624,621,620,4,0,1,0,0,2026-08-23,2026-09-01
2025,PDL,161,161,155,6,0,6,0,0,2026-08-23,2026-09-01
2025,PELO,3,3,3,0,0,0,0,0,2026-08-23,2026-09-01
2025,PL,609,598,591,18,0,7,0,0,2026-08-23,2026-09-01
2025,PLC,34,33,33,1,0,0,0,0,2026-08-23,2026-09-01
2025,PR,24,24,24,0,0,0,0,0,2026-08-23,2026-09-01
2025,PROC,20,20,20,0,0,0,0,0,2026-08-23,2026-09-01
2025,QO,2,2,2,0,0,0,0,0,2026-08-23,2026-09-01
2025,REQ,780,770,765,15,0,5,0,0,2026-08-23,2026-09-01
2025,TODAS,4921,4740,4707,214,0,33,0,0,2026-08-23,2026-09-01
2026,IND,1363,1400,1349,14,0,0,51,0,2026-08-23,2026-09-01
2026,MO,313,346,312,1,0,0,34,0,2026-08-23,2026-09-01
2026,PDL,88,82,82,6,0,0,0,0,2026-08-23,2026-09-01
2026,PELO,3,3,3,0,0,0,0,0,2026-08-23,2026-09-01
2026,PL,347,354,340,7,0,0,14,0,2026-08-23,2026-09-01
2026,PLC,16,16,16,0,0,0,0,0,2026-08-23,2026-09-01
2026,PR,13,13,13,0,0,0,0,0,2026-08-23,2026-09-01
2026,PROC,6,6,6,0,0,0,0,0,2026-08-23,2026-09-01
2026,REQ,503,510,498,5,0,0,12,0,2026-08-23,2026-09-01
2026,SUG,1,1,1,0,0,0,0,0,2026-08-23,2026-09-01
2026,TODAS,2653,2731,2620,33,0,0,111,0,2026-08-23,2026-09-01
