ano,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,9,"Comissão de Economia, Orçamento e Finanças",5,0,0,5,0,0
2022,48,Comissão de Educação Saúde e Cultura,5,0,0,0,5,0
2022,42,Defensoria Pública do Distrito Federal,6,2,0,3,1,0
2022,14,Deputada Arlete Sampaio,111,5,0,18,88,0
2022,24,Deputada Jaqueline Silva,308,1,0,14,293,0
2022,28,Deputada Júlia Lucy,150,0,0,20,130,0
2022,54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),38,0,0,9,29,0
2022,13,Deputado Agaciel Maia,525,3,0,47,475,0
2022,55,Deputado Carlos Alberto Rodrigues Tabanez,76,0,0,49,27,0
2022,15,Deputado Chico Vigilante,77,8,0,20,49,0
2022,16,Deputado Claudio Abrantes,93,0,0,18,75,0
2022,17,Deputado Daniel Donizet,179,0,0,13,166,0
2022,21,Deputado Delegado Fernando Fernandes,28,0,0,14,14,0
2022,18,Deputado Delmasso,177,3,0,90,84,0
2022,19,Deputado Eduardo Pedrosa,198,6,0,14,178,0
2022,20,Deputado Fábio Felix,68,5,0,9,54,0
2022,22,Deputado Hermeto,119,1,0,16,102,0
2022,23,Deputado Iolando,152,8,0,33,111,0
2022,53,Deputado Janio Farias Marques (Guarda Janio),24,0,0,6,18,0
2022,26,Deputado Jorge Vianna,145,0,0,20,125,0
2022,27,Deputado José Gomes,107,1,0,24,82,0
2022,25,Deputado João Cardoso ,100,4,0,22,74,0
2022,29,Deputado Leandro Grass,340,1,0,18,321,0
2022,30,Deputado Martins Machado,107,7,0,23,77,0
2022,32,Deputado Professor Reginaldo Veras,110,0,0,9,101,0
2022,31,Deputado Rafael Prudente,214,2,0,34,178,0
2022,35,Deputado Reginaldo Sardinha,225,2,0,67,156,0
2022,33,Deputado Robério Negreiros,190,8,0,59,123,0
2022,34,Deputado Roosevelt Vilela,125,3,0,24,98,0
2022,36,Deputado Valdelino Barcelos,66,2,0,11,53,0
2022,56,Mesa Diretora,2,1,0,1,0,0
2022,6,Poder Executivo,129,21,0,108,0,0
2022,7,Tribunal de Contas do Distrito Federal,3,1,0,2,0,0
2023,8,Comissão de Constituição e Justiça,1,0,0,0,1,0
2023,46,"Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa",1,0,0,0,1,0
2023,9,"Comissão de Economia, Orçamento e Finanças",4,3,0,1,0,0
2023,48,Comissão de Educação Saúde e Cultura,7,0,0,0,7,0
2023,49,Comissão de Fiscalização Governança Transparência Controle,26,0,0,0,26,0
2023,51,Comissão de Transporte e Mobilidade Urbana,3,0,0,0,3,0
2023,42,Defensoria Pública do Distrito Federal,10,1,0,6,3,0
2023,60,Deputada Dayse Amarilio,694,9,0,31,654,0
2023,61,Deputada Doutora Jane,333,18,0,30,285,0
2023,24,Deputada Jaqueline Silva,1571,11,0,32,1528,0
2023,64,Deputada Paula Belmonte,531,19,0,84,428,0
2023,15,Deputado Chico Vigilante,190,8,0,13,169,0
2023,17,Deputado Daniel Donizet,293,6,0,11,276,0
2023,19,Deputado Eduardo Pedrosa,495,20,0,42,433,0
2023,20,Deputado Fábio Felix,265,11,0,22,232,0
2023,68,Deputado Gabriel Magno,484,19,0,65,400,0
2023,22,Deputado Hermeto,315,7,0,25,283,0
2023,23,Deputado Iolando,252,7,0,55,190,0
2023,62,Deputado Joaquim Roriz Neto,679,16,0,52,611,0
2023,26,Deputado Jorge Vianna,265,10,0,29,226,0
2023,25,Deputado João Cardoso ,265,12,0,38,215,0
2023,30,Deputado Martins Machado,226,7,0,21,198,0
2023,63,Deputado Max Maciel,345,15,0,18,312,0
2023,59,Deputado Pastor Daniel de Castro,600,24,0,106,470,0
2023,65,Deputado Pepa,305,18,0,25,262,0
2023,31,Deputado Rafael Prudente,1,0,0,0,1,0
2023,57,Deputado Ricardo Vale,421,18,0,33,370,0
2023,33,Deputado Robério Negreiros,383,15,0,43,325,0
2023,67,Deputado Rogério Morro da Cruz,340,15,0,57,268,0
2023,34,Deputado Roosevelt Vilela,265,13,0,32,220,0
2023,66,Deputado Thiago Manzoni,165,11,0,28,126,0
2023,58,Deputado Wellington Luiz,225,20,0,35,170,0
2023,56,Mesa Diretora,8,2,0,5,1,0
2023,6,Poder Executivo,113,64,0,49,0,0
2023,7,Tribunal de Contas do Distrito Federal,6,2,0,4,0,0
2024,43,Comissão de Assuntos Fundiários,1,0,0,0,1,0
2024,8,Comissão de Constituição e Justiça,2,0,0,0,2,0
2024,9,"Comissão de Economia, Orçamento e Finanças",2,2,0,0,0,0
2024,48,Comissão de Educação Saúde e Cultura,5,0,0,0,5,0
2024,49,Comissão de Fiscalização Governança Transparência Controle,15,0,0,0,15,0
2024,69,Comissão de Produção Rural e Abastecimento,2,0,0,1,1,0
2024,51,Comissão de Transporte e Mobilidade Urbana,2,1,0,0,1,0
2024,42,Defensoria Pública do Distrito Federal,2,2,0,0,0,0
2024,60,Deputada Dayse Amarilio,328,11,0,20,297,0
2024,61,Deputada Doutora Jane,251,9,0,22,220,0
2024,24,Deputada Jaqueline Silva,785,8,0,29,748,0
2024,64,Deputada Paula Belmonte,294,15,1,33,245,0
2024,15,Deputado Chico Vigilante,100,8,0,14,78,0
2024,17,Deputado Daniel Donizet,77,2,0,5,70,0
2024,19,Deputado Eduardo Pedrosa,224,13,0,27,184,0
2024,20,Deputado Fábio Felix,207,2,0,25,180,0
2024,68,Deputado Gabriel Magno,237,8,0,24,205,0
2024,22,Deputado Hermeto,284,11,1,29,243,0
2024,23,Deputado Iolando,127,5,0,47,75,0
2024,62,Deputado Joaquim Roriz Neto,1099,8,0,19,1072,0
2024,26,Deputado Jorge Vianna,162,6,0,19,137,0
2024,25,Deputado João Cardoso ,119,8,0,20,91,0
2024,30,Deputado Martins Machado,146,11,0,16,119,0
2024,63,Deputado Max Maciel,218,12,0,22,184,0
2024,59,Deputado Pastor Daniel de Castro,404,25,0,103,276,0
2024,65,Deputado Pepa,227,15,0,19,193,0
2024,57,Deputado Ricardo Vale,228,11,0,19,198,0
2024,33,Deputado Robério Negreiros,150,6,0,27,117,0
2024,67,Deputado Rogério Morro da Cruz,203,11,0,39,153,0
2024,34,Deputado Roosevelt Vilela,115,7,0,18,90,0
2024,66,Deputado Thiago Manzoni,148,11,1,17,119,0
2024,58,Deputado Wellington Luiz,175,25,0,39,111,0
2024,56,Mesa Diretora,9,6,0,2,1,0
2024,6,Poder Executivo,128,101,0,27,0,0
2024,7,Tribunal de Contas do Distrito Federal,3,3,0,0,0,0
2025,43,Comissão de Assuntos Fundiários,1,0,0,0,1,0
2025,8,Comissão de Constituição e Justiça,1,1,0,0,0,0
2025,238,Comissão de Defesa dos Direitos da Mulher,1,0,0,0,1,0
2025,47,Comissão de Desenvolvimento Econômico Sustentável Ciência Tecnologia Meio Ambiente e Turismo,2,1,0,1,0,0
2025,9,"Comissão de Economia, Orçamento e Finanças",14,11,0,3,0,0
2025,49,Comissão de Fiscalização Governança Transparência Controle,1,0,0,0,1,0
2025,236,Comissão de Saúde,3,0,0,1,2,0
2025,42,Defensoria Pública do Distrito Federal,1,1,0,0,0,0
2025,60,Deputada Dayse Amarilio,170,6,0,8,156,0
2025,61,Deputada Doutora Jane,165,7,0,13,145,0
2025,24,Deputada Jaqueline Silva,200,13,0,20,167,0
2025,64,Deputada Paula Belmonte,154,12,0,19,123,0
2025,15,Deputado Chico Vigilante,59,8,0,14,37,0
2025,17,Deputado Daniel Donizet,33,1,0,2,30,0
2025,19,Deputado Eduardo Pedrosa,149,13,0,32,104,0
2025,20,Deputado Fábio Felix,292,4,0,25,263,0
2025,68,Deputado Gabriel Magno,156,1,0,17,138,0
2025,22,Deputado Hermeto,150,9,0,15,126,0
2025,23,Deputado Iolando,130,7,0,58,65,0
2025,62,Deputado Joaquim Roriz Neto,1522,5,0,11,1506,0
2025,26,Deputado Jorge Vianna,146,11,0,17,118,0
2025,25,Deputado João Cardoso ,69,6,0,19,44,0
2025,30,Deputado Martins Machado,95,7,0,14,74,0
2025,63,Deputado Max Maciel,280,3,0,14,263,0
2025,59,Deputado Pastor Daniel de Castro,262,8,0,88,166,0
2025,65,Deputado Pepa,157,7,0,17,133,0
2025,57,Deputado Ricardo Vale,198,7,0,22,169,0
2025,33,Deputado Robério Negreiros,109,4,0,42,63,0
2025,67,Deputado Rogério Morro da Cruz,121,3,0,31,87,0
2025,34,Deputado Roosevelt Vilela,116,6,0,39,71,0
2025,66,Deputado Thiago Manzoni,81,9,0,19,53,0
2025,58,Deputado Wellington Luiz,173,12,1,25,135,0
2025,56,Mesa Diretora,10,9,0,1,0,0
2025,6,Poder Executivo,140,93,1,46,0,0
2025,7,Tribunal de Contas do Distrito Federal,2,2,0,0,0,0
2026,239,Comissão Parlamentar de Inquérito do Rio Melchior,9,4,0,0,5,0
2026,8,Comissão de Constituição e Justiça,1,1,0,0,0,0
2026,9,"Comissão de Economia, Orçamento e Finanças",5,2,0,0,3,0
2026,237,Comissão de Educação e Cultura,6,0,0,0,6,0
2026,49,Comissão de Fiscalização Governança Transparência Controle,1,0,0,0,1,0
2026,236,Comissão de Saúde,16,1,0,0,15,0
2026,42,Defensoria Pública do Distrito Federal,1,1,0,0,0,0
2026,60,Deputada Dayse Amarilio,103,5,0,8,90,0
2026,61,Deputada Doutora Jane,97,5,0,16,76,0
2026,24,Deputada Jaqueline Silva,247,2,0,9,236,0
2026,64,Deputada Paula Belmonte,65,5,0,16,44,0
2026,15,Deputado Chico Vigilante,38,3,0,5,30,0
2026,17,Deputado Daniel Donizet,28,0,0,7,21,0
2026,19,Deputado Eduardo Pedrosa,91,6,0,37,48,0
2026,20,Deputado Fábio Felix,74,1,1,14,58,0
2026,68,Deputado Gabriel Magno,189,0,0,5,184,0
2026,22,Deputado Hermeto,61,0,0,10,51,0
2026,23,Deputado Iolando,64,4,0,27,33,0
2026,62,Deputado Joaquim Roriz Neto,838,0,0,6,832,0
2026,26,Deputado Jorge Vianna,80,1,0,13,66,0
2026,25,Deputado João Cardoso ,50,2,0,14,34,0
2026,30,Deputado Martins Machado,47,0,0,7,40,0
