codigo_ra,nome_canonico,grafia_api,codigo_localizacao,grafia_orcamento
I,REGIÃO I - PLANO PILOTO,REGIÃO I - PLANO PILOTO,1,REGIÃO I - PLANO PILOTO
I,REGIÃO I - PLANO PILOTO,,1,REGIÃO I - PLANO PILOTO .
II,REGIÃO II - GAMA,REGIÃO II - GAMA,2,REGIÃO II - GAMA
III,REGIÃO III - TAGUATINGA,REGIÃO III - TAGUATINGA,3,REGIÃO III - TAGUATINGA
IV,REGIÃO IV - BRAZLÂNDIA,REGIÃO IV - BRAZLÂNDIA,4,REGIÃO IV - BRAZLÂNDIA
V,REGIÃO V - SOBRADINHO,REGIÃO V - SOBRADINHO,5,REGIÃO V - SOBRADINHO
VI,REGIÃO VI - PLANALTINA,REGIÃO VI - PLANALTINA,6,REGIÃO VI - PLANALTINA
VII,REGIÃO VII - PARANOÁ,REGIÃO VII - PARANOÁ,7,REGIÃO VII - PARANOÁ
VIII,REGIÃO VIII - NÚCLEO BANDEIRANTE,REGIÃO VIII - NÚCLEO BANDEIRANTE,8,REGIÃO VIII - NÚCLEO BANDEIRANTE
IX,REGIÃO IX - CEILÂNDIA,REGIÃO IX - CEILÂNDIA,9,REGIÃO IX - CEILÂNDIA
X,REGIÃO X - GUARÁ,REGIÃO X - GUARÁ,10,REGIÃO X - GUARÁ
XI,REGIÃO XI - CRUZEIRO,REGIÃO XI - CRUZEIRO,11,REGIÃO XI - CRUZEIRO
XII,REGIÃO XII - SAMAMBAIA,REGIÃO XII - SAMAMBAIA,12,REGIÃO XII - SAMAMBAIA
XIII,REGIÃO XIII - SANTA MARIA,REGIÃO XIII - SANTA MARIA,13,REGIÃO XIII - SANTA MARIA
XIV,REGIÃO XIV - SÃO SEBASTIÃO,REGIÃO XIV - SÃO SEBASTIÃO,14,REGIÃO XIV - SÃO SEBASTIÃO
XV,REGIÃO XV - RECANTO DAS EMAS,REGIÃO XV - RECANTO DAS EMAS,15,REGIÃO XV - RECANTO DAS EMAS
XVI,REGIÃO XVI - LAGO SUL,REGIÃO XVI - LAGO SUL,16,REGIÃO XVI - LAGO SUL
XVII,REGIÃO XVII - RIACHO FUNDO,REGIÃO XVII - RIACHO FUNDO,17,REGIÃO XVII - RIACHO FUNDO
XVIII,REGIÃO XVIII - LAGO NORTE,REGIÃO XVIII - LAGO NORTE,18,REGIÃO XVIII - LAGO NORTE
XIX,REGIÃO XIX - CANDANGOLÂNDIA,REGIÃO XIX - CANDANGOLÂNDIA,19,REGIÃO XIX - CANDANGOLÂNDIA
XX,REGIÃO XX - ÁGUAS CLARAS,REGIÃO XX - ÁGUAS CLARAS,20,REGIÃO XX - ÁGUAS CLARAS
XXI,REGIÃO XXI - RIACHO FUNDO II,REGIÃO XXI - RIACHO FUNDO II,21,REGIÃO XXI - RIACHO FUNDO II
XXII,REGIÃO XXII - SUDOESTE/OCTOGONAL,REGIÃO XXII - SUDOESTE/OCTOGONAL,22,REGIÃO XXII - SUDOESTE/OCTOGONAL
XXIII,REGIÃO XXIII- VARJÃO,REGIÃO XXIII- VARJÃO,23,REGIÃO XXIII- VARJÃO
XXIV,REGIÃO XXIV - PARK WAY,REGIÃO XXIV - PARK WAY,24,REGIÃO XXIV - PARK WAY
XXV,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO / ESTRUTURAL,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO / ESTRUTURAL,25,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO
