ano,mes,mes_numero,pessoal_e_encargos,outras_despesas_correntes,investimentos,total_recebido,total_previsto,diferenca_recebido_previsto,rubricas_somam_o_total,as_of
2022,JANEIRO,1,"37.325.000,00","12.623.371,50","1.769.937,75","51.718.309,25","51.718.309,25","0,00",sim,2026-08-21T14:55:23
2022,FEVEREIRO,2,"37.325.000,00","12.623.371,50","1.769.937,75","51.718.309,25","51.718.309,25","0,00",sim,2026-08-21T14:55:23
2022,MARÇO,3,"37.325.000,00","12.611.371,50","1.769.937,75","51.706.309,25","51.706.309,25","0,00",sim,2026-08-21T14:55:23
2022,ABRIL,4,"37.325.000,00","12.611.371,50","1.769.937,75","51.706.309,25","51.706.309,25","0,00",sim,2026-08-21T14:55:23
2022,MAIO,5,"37.325.000,00","8.711.871,50","812.437,75","46.849.309,25","46.849.309,25","0,00",sim,2026-08-21T14:55:23
2022,JUNHO,6,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,JULHO,7,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,AGOSTO,8,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,SETEMBRO,9,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,OUTUBRO,10,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,NOVEMBRO,11,"37.325.000,00","8.687.871,50","812.437,75","46.825.309,25","46.825.309,25","0,00",sim,2026-08-21T14:55:23
2022,DEZEMBRO,12,"40.895.000,00","0,00","0,00","40.895.000,00","46.825.309,25","'-5.930.309,25",sim,2026-08-21T14:55:23
2023,JANEIRO,1,"46.082.833,33","15.265.511,25","2.916.461,25","64.264.805,83","64.264.805,83","0,00",sim,2026-08-21T14:55:23
2023,FEVEREIRO,2,"36.489.031,97","12.197.164,07","1.876.067,16","50.562.263,20","50.562.263,20","0,00",sim,2026-08-21T14:55:23
2023,MARÇO,3,"36.489.031,97","12.195.664,07","1.877.567,16","50.562.263,20","50.562.263,20","0,00",sim,2026-08-21T14:55:23
2023,ABRIL,4,"36.489.031,97","12.195.664,07","1.877.567,16","50.562.263,20","50.562.263,20","0,00",sim,2026-08-21T14:55:23
2023,MAIO,5,"36.489.031,97","12.195.664,07","1.877.567,16","50.562.263,20","50.562.263,20","0,00",sim,2026-08-21T14:55:23
2023,JUNHO,6,"51.565.005,54","16.993.066,78","3.512.472,16","72.070.544,48","72.070.544,48","0,00",sim,2026-08-21T14:55:23
2023,JULHO,7,"51.565.005,54","16.993.066,78","3.512.472,16","72.070.544,48","72.070.544,48","0,00",sim,2026-08-21T14:55:23
2023,AGOSTO,8,"51.565.005,54","16.993.066,78","3.512.472,16","72.070.544,48","72.070.544,48","0,00",sim,2026-08-21T14:55:23
2023,SETEMBRO,9,"51.565.005,54","16.993.066,78","3.512.472,16","72.070.544,48","72.070.544,48","0,00",sim,2026-08-21T14:55:23
2023,OUTUBRO,10,"51.565.005,54","14.993.066,78","3.487.032,16","70.045.104,48","70.045.104,48","0,00",sim,2026-08-21T14:55:23
2023,NOVEMBRO,11,"51.565.005,54","14.993.066,78","3.487.032,16","70.045.104,48","70.045.104,48","0,00",sim,2026-08-21T14:55:23
2023,DEZEMBRO,12,"0,00","0,00","0,00","0,00","70.045.104,48","'-70.045.104,48",sim,2026-08-21T14:55:23
2024,JANEIRO,1,"50.825.441,67","6.189.187,50","528.329,17","57.542.958,34","57.542.958,34","0,00",sim,2026-08-21T14:55:23
2024,FEVEREIRO,2,"50.825.441,67","13.420.551,14","1.933.329,17","66.179.321,98","66.179.321,98","0,00",sim,2026-08-21T14:55:23
2024,MARÇO,3,"50.825.441,67","13.405.487,24","1.933.329,17","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,ABRIL,4,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,MAIO,5,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,JUNHO,6,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,JULHO,7,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,AGOSTO,8,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,SETEMBRO,9,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,OUTUBRO,10,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,NOVEMBRO,11,"50.825.441,67","13.398.528,35","1.940.288,06","66.164.258,08","66.164.258,08","0,00",sim,2026-08-21T14:55:23
2024,DEZEMBRO,12,"48.825.441,67","20.000.000,00","0,00","68.825.441,67","56.164.257,96","12.661.183,71",sim,2026-08-21T14:55:23
2025,JANEIRO,1,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,FEVEREIRO,2,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,MARÇO,3,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,ABRIL,4,"55.763.791,66","18.720.491,66","2.626.591,68","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,MAIO,5,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,JUNHO,6,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,JULHO,7,"55.763.791,67","18.720.491,67","2.626.591,66","77.110.875,00","77.110.875,00","0,00",sim,2026-08-21T14:55:23
2025,AGOSTO,8,"55.763.791,67","16.505.759,46","4.841.323,88","77.110.875,01","77.110.875,00","0,01",sim,2026-08-21T14:55:23
2025,SETEMBRO,9,"55.763.791,65","15.105.759,47","6.241.323,87","77.110.874,99","77.110.874,99","0,00",sim,2026-08-21T14:55:23
2025,OUTUBRO,10,"55.763.791,66","14.772.426,13","6.241.323,87","76.777.541,66","76.777.541,66","0,00",sim,2026-08-21T14:55:23
2025,NOVEMBRO,11,"54.013.791,67","13.372.426,13","'-1.217.352,26","67.386.217,80","66.777.541,67","608.676,13",não,2026-08-21T14:55:23
