sessao_legislativa,ano,dia_da_semana,ordinarias,com_quorum,sem_quorum,presentes_mediana,presentes_min,presentes_max,as_of
33,2023,terça,40,39,1,23,10,24,2026-09-01
33,2023,quarta,37,34,3,20,11,24,2026-09-01
33,2023,quinta,30,21,9,14,10,22,2026-09-01
34,2024,terça,38,38,0,21,17,24,2026-09-01
34,2024,quarta,35,33,2,20,4,24,2026-09-01
34,2024,quinta,35,9,26,10,1,22,2026-09-01
35,2025,segunda,1,0,1,5,5,5,2026-09-01
35,2025,terça,37,37,0,22,15,24,2026-09-01
35,2025,quarta,37,31,6,19,1,22,2026-09-01
35,2025,quinta,49,2,47,2,0,16,2026-09-01
36,2026,terça,24,24,0,21,16,24,2026-09-01
36,2026,quarta,23,16,7,15,0,23,2026-09-01
36,2026,quinta,21,0,21,1,0,9,2026-09-01
