ano,data,numero_sessao,tipo_sessao,status_sessao,ambiente,presenca_registrada,presentes,quorum_atingido,legislatura,sessao_legislativa,sk_sessao,as_of
2020,2020-02-04,1,ORDINARIA,FECHADA,PRESENCIAL,sim,23,sim,8,30,4,2026-09-01
2020,2020-02-05,2,ORDINARIA,FECHADA,PRESENCIAL,sim,22,sim,8,30,5,2026-09-01
2020,2020-02-11,1,EXTRAORDINARIA,FECHADA,PRESENCIAL,sim,18,sim,8,30,7,2026-09-01
2020,2020-02-11,3,ORDINARIA,FECHADA,PRESENCIAL,sim,24,sim,8,30,6,2026-09-01
2020,2020-02-12,4,ORDINARIA,FECHADA,PRESENCIAL,sim,22,sim,8,30,8,2026-09-01
2020,2020-02-13,5,ORDINARIA,FECHADA,PRESENCIAL,sim,14,sim,8,30,9,2026-09-01
2020,2020-02-18,6,ORDINARIA,FECHADA,PRESENCIAL,sim,23,sim,8,30,10,2026-09-01
2020,2020-02-19,7,ORDINARIA,FECHADA,PRESENCIAL,sim,22,sim,8,30,11,2026-09-01
2020,2020-02-20,8,ORDINARIA,FECHADA,PRESENCIAL,sim,17,sim,8,30,12,2026-09-01
2020,2020-02-27,9,ORDINARIA,FECHADA,PRESENCIAL,sim,13,sim,8,30,13,2026-09-01
2020,2020-03-03,10,ORDINARIA,FECHADA,PRESENCIAL,sim,22,sim,8,30,14,2026-09-01
2020,2020-03-04,11,ORDINARIA,FECHADA,PRESENCIAL,sim,18,sim,8,30,15,2026-09-01
2020,2020-03-05,12,ORDINARIA,FECHADA,PRESENCIAL,sim,8,nao,8,30,16,2026-09-01
2020,2020-03-10,13,ORDINARIA,FECHADA,PRESENCIAL,sim,23,sim,8,30,17,2026-09-01
2020,2020-03-11,3,EXTRAORDINARIA,FECHADA,PRESENCIAL,sim,21,sim,8,30,19,2026-09-01
2020,2020-03-11,14,ORDINARIA,FECHADA,PRESENCIAL,sim,23,sim,8,30,18,2026-09-01
2020,2020-03-12,15,ORDINARIA,FECHADA,PRESENCIAL,sim,18,sim,8,30,20,2026-09-01
2020,2020-03-16,4,EXTRAORDINARIA,FECHADA,PRESENCIAL,sim,20,sim,8,30,21,2026-09-01
2020,2020-03-16,5,EXTRAORDINARIA,FECHADA,PRESENCIAL,sim,18,sim,8,30,22,2026-09-01
2020,2020-03-17,6,EXTRAORDINARIA,FECHADA,PRESENCIAL,sim,19,sim,8,30,24,2026-09-01
2020,2020-03-17,16,ORDINARIA,FECHADA,PRESENCIAL,sim,22,sim,8,30,23,2026-09-01
2020,2020-03-24,7,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,25,2026-09-01
2020,2020-03-24,8,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,26,2026-09-01
2020,2020-03-25,9,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,27,2026-09-01
2020,2020-03-25,10,EXTRAORDINARIA,FECHADA,REMOTA,sim,23,sim,8,30,28,2026-09-01
2020,2020-03-25,11,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,29,2026-09-01
2020,2020-03-25,12,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,30,2026-09-01
2020,2020-03-31,13,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,31,2026-09-01
2020,2020-03-31,14,EXTRAORDINARIA,FECHADA,REMOTA,sim,23,sim,8,30,32,2026-09-01
2020,2020-03-31,15,EXTRAORDINARIA,FECHADA,REMOTA,sim,19,sim,8,30,33,2026-09-01
2020,2020-04-01,16,EXTRAORDINARIA,FECHADA,REMOTA,sim,24,sim,8,30,35,2026-09-01
2020,2020-04-01,17,EXTRAORDINARIA,FECHADA,REMOTA,sim,19,sim,8,30,36,2026-09-01
