competencia,tipo_tabela,item,classe,padrao,campo,valor,fonte_legal,as_of
2022-04,Cargos Comissionados,CL-01,,,55% do Vencimento,"1.455,99",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-01,,,Remuneração Integral,"4.235,62",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-01,,,Remuneração com Efetivo,"3.044,35",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-01,,,Representação,"1.588,36",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-01,,,Vencimento,"2.647,26",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-02,,,55% do Vencimento,"1.617,77",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-02,,,Remuneração Integral,"4.706,24",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-02,,,Remuneração com Efetivo,"3.382,61",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-02,,,Representação,"1.764,84",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-02,,,Vencimento,"2.941,40",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-03,,,55% do Vencimento,"1.797,52",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-03,,,Remuneração Integral,"5.229,15",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-03,,,Remuneração com Efetivo,"3.758,45",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-03,,,Representação,"1.960,93",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-03,,,Vencimento,"3.268,22",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-04,,,55% do Vencimento,"1.997,25",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-04,,,Remuneração Integral,"5.810,18",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-04,,,Remuneração com Efetivo,"4.176,06",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-04,,,Representação,"2.178,81",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-04,,,Vencimento,"3.631,36",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-05,,,55% do Vencimento,"2.219,16",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-05,,,Remuneração Integral,"6.455,77",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-05,,,Remuneração com Efetivo,"4.640,08",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-05,,,Representação,"2.420,91",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-05,,,Vencimento,"4.034,86",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-06,,,55% do Vencimento,"2.465,75",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-06,,,Remuneração Integral,"7.173,09",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-06,,,Remuneração com Efetivo,"5.155,66",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-06,,,Representação,"2.689,91",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-06,,,Vencimento,"4.483,18",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-07,,,55% do Vencimento,"2.739,72",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-07,,,Remuneração Integral,"7.970,11",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-07,,,Remuneração com Efetivo,"5.728,50",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-07,,,Representação,"2.988,79",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-07,,,Vencimento,"4.981,32",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-08,,,55% do Vencimento,"3.044,14",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-08,,,Remuneração Integral,"8.855,68",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-08,,,Remuneração com Efetivo,"6.365,02",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-08,,,Representação,"3.320,88",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-08,,,Vencimento,"5.534,80",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-09,,,55% do Vencimento,"3.382,38",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-09,,,Remuneração Integral,"9.839,67",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-09,,,Remuneração com Efetivo,"7.072,25",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-09,,,Representação,"3.689,87",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-09,,,Vencimento,"6.149,79",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-10,,,55% do Vencimento,"3.758,21",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-10,,,Remuneração Integral,"10.932,98",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-10,,,Remuneração com Efetivo,"7.858,07",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-10,,,Representação,"4.099,87",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-10,,,Vencimento,"6.833,11",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-11,,,55% do Vencimento,"4.175,79",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-11,,,Remuneração Integral,"12.147,76",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-11,,,Remuneração com Efetivo,"8.731,20",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-11,,,Representação,"4.555,41",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-11,,,Vencimento,"7.592,35",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-12,,,55% do Vencimento,"4.639,77",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-12,,,Remuneração Integral,"13.497,53",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-12,,,Remuneração com Efetivo,"9.701,34",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-12,,,Representação,"5.061,57",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-12,,,Vencimento,"8.435,96",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-13,,,55% do Vencimento,"5.155,30",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-13,,,Remuneração Integral,"14.997,26",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-13,,,Remuneração com Efetivo,"10.779,27",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-13,,,Representação,"5.623,97",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-13,,,Vencimento,"9.373,29",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-14,,,55% do Vencimento,"5.728,12",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-14,,,Remuneração Integral,"16.663,63",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-14,,,Remuneração com Efetivo,"11.976,98",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-14,,,Representação,"6.248,86",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-14,,,Vencimento,"10.414,77",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-15,,,55% do Vencimento,"6.364,58",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-15,,,Remuneração Integral,"18.515,17",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-15,,,Remuneração com Efetivo,"13.307,77",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-15,,,Representação,"6.943,19",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CL-15,,,Vencimento,"11.571,98",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CNE-01,,,55% do Vencimento,"7.472,42",,2025-07-21T17:59:14.584679
2022-04,Cargos Comissionados,CNE-01,,,Remuneração Integral,"21.737,95",,2025-07-21T17:59:14.584679
