unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
Auditoria - AUDIT,2023-02,2023,02,4,0,0,4
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-02,2023,02,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-02,2023,02,3,0,0,3
Divisão de Almoxarifado e Patrimônio - DIAP,2023-02,2023,02,1,0,0,1
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-02,2023,02,1,0,0,1
Escola do Legislativo - ELEGIS,2023-02,2023,02,1,0,0,1
Gabinete da Mesa Diretoria - GMD,2023-02,2023,02,2,0,0,2
Setor de Biblioteca - SEBIB,2023-02,2023,02,2,0,0,2
Setor de Contabilidade - SECON,2023-02,2023,02,3,0,0,3
Setor de Finanças - SEFIN,2023-02,2023,02,4,0,0,4
Setor de Patrimônio - SEPAT,2023-02,2023,02,1,0,0,1
Setor de Recrutamento e Seleção - SERES,2023-02,2023,02,7,0,0,7
Setor de Taquigrafia - SETAQ,2023-02,2023,02,43,0,0,43
Seção de Elaboração Orçamentária - SEORC,2023-02,2023,02,4,0,0,4
Seção de Orçamento Finanças e Contabilidade - SOFC,2023-02,2023,02,2,0,0,2
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-02,2023,02,7,0,0,7
Unidade de Constituição e Justiça - UCJ,2023-02,2023,02,7,0,0,7
Unidade de Economia e Finanças - UEF,2023-02,2023,02,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-02,2023,02,7,0,0,7
Auditoria - AUDIT,2023-03,2023,03,4,0,0,4
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-03,2023,03,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-03,2023,03,4,0,0,4
Comissão dos Anais e Memória,2023-03,2023,03,4,0,0,4
Divisão de Almoxarifado e Patrimônio - DIAP,2023-03,2023,03,1,0,0,1
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-03,2023,03,1,0,0,1
Escola do Legislativo - ELEGIS,2023-03,2023,03,1,0,0,1
Gabinete da Mesa Diretoria - GMD,2023-03,2023,03,4,0,0,4
Gabinete da Primeira Secretaria - GPS,2023-03,2023,03,1,0,0,1
Núcleo de Comunicação Organizacional,2023-03,2023,03,1,0,0,1
Núcleo de Publicidade Legal,2023-03,2023,03,5,0,0,5
Ouvidoria,2023-03,2023,03,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-03,2023,03,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2023-03,2023,03,1,0,0,1
Setor de Biblioteca - SEBIB,2023-03,2023,03,3,0,0,3
Setor de Contabilidade - SECON,2023-03,2023,03,3,0,0,3
Setor de Finanças - SEFIN,2023-03,2023,03,4,0,0,4
Setor de Patrimônio - SEPAT,2023-03,2023,03,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-03,2023,03,44,0,0,44
Setor de Tramitação Ata e Súmula  SETAS,2023-03,2023,03,1,0,0,1
Seção de Elaboração Orçamentária - SEORC,2023-03,2023,03,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-03,2023,03,2,0,0,2
Seção de Orçamento Finanças e Contabilidade - SOFC,2023-03,2023,03,1,0,0,1
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-03,2023,03,7,0,0,7
Unidade de Constituição e Justiça - UCJ,2023-03,2023,03,6,0,0,6
Unidade de Economia e Finanças - UEF,2023-03,2023,03,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-03,2023,03,8,0,0,8
Assessoria Legislativa,2023-04,2023,04,1,0,0,1
Auditoria - AUDIT,2023-04,2023,04,4,0,0,4
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-04,2023,04,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-04,2023,04,4,0,0,4
Comissão dos Anais e Memória,2023-04,2023,04,1,0,0,1
Divisão de Almoxarifado e Patrimônio - DIAP,2023-04,2023,04,1,0,0,1
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-04,2023,04,1,0,0,1
Escola do Legislativo - ELEGIS,2023-04,2023,04,2,0,0,2
Gabinete da Mesa Diretoria - GMD,2023-04,2023,04,4,0,0,4
Núcleo de Comunicação Organizacional,2023-04,2023,04,1,0,0,1
Núcleo de Publicidade Legal,2023-04,2023,04,6,0,0,6
Setor de Apoio às Comissões Permanentes - SACP,2023-04,2023,04,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2023-04,2023,04,1,0,0,1
Setor de Biblioteca - SEBIB,2023-04,2023,04,4,0,0,4
