ano,tipoProposicao,apresentadas,deliberadas,dias_p25,dias_mediana,dias_p75,dias_maximo,sem_deliberacao_estrito,sem_deliberacao_amplo,as_of
2022,Indicação,1137,0,,,,,0,1137,2026-08-21
2022,Moção,913,0,,,,,0,913,2026-08-21
2022,Proc,7,0,,,,,7,7,2026-08-21
2022,Projeto de Decreto Legislativo,57,14,497,665,917,1170,43,43,2026-08-21
2022,Projeto de Lei,605,44,503,660,774,1508,561,561,2026-08-21
2022,Projeto de Lei Complementar,37,6,533,694,776,894,31,31,2026-08-21
2022,Projeto de Resolução,9,0,,,,,9,9,2026-08-21
2022,Proposta de Emenda à Lei Orgânica,6,0,,,,,6,6,2026-08-21
2022,Recurso,1,0,,,,,0,1,2026-08-21
2022,Requerimento,567,0,,,,,0,567,2026-08-21
2023,Indicação,4233,0,,,,,0,4233,2026-08-21
2023,Moção,586,5,1,1,1,6,0,581,2026-08-21
2023,Proc,17,2,31,31,128,128,15,15,2026-08-21
2023,Projeto de Decreto Legislativo,74,40,93,164,286,912,34,34,2026-08-21
2023,Projeto de Lei,844,184,78,209,432,1247,660,660,2026-08-21
2023,Projeto de Lei Complementar,37,10,157,346,719,1118,27,27,2026-08-21
2023,Projeto de Resolução,25,6,55,118,233,378,19,19,2026-08-21
2023,Proposta de Emenda à Lei Orgânica,10,3,421,455,467,467,7,7,2026-08-21
2023,Questão de Ordem,1,0,,,,,0,1,2026-08-21
2023,Recurso,7,0,,,,,0,7,2026-08-21
2023,Requerimento,1069,4,1,1,19,20,0,1065,2026-08-21
2024,Indicação,2741,0,,,,,0,2741,2026-08-21
2024,Moção,598,0,,,,,0,598,2026-08-21
2024,Proc,10,1,23,23,23,23,9,9,2026-08-21
2024,Projeto de Decreto Legislativo,173,103,72,156,253,799,70,70,2026-08-21
2024,Projeto de Lei,648,188,12,85,282,883,460,460,2026-08-21
2024,Projeto de Lei Complementar,24,7,8,50,140,141,17,17,2026-08-21
2024,Projeto de Resolução,28,8,6,38,72,233,20,20,2026-08-21
2024,Proposta de Emenda à Lei Orgânica,5,1,33,33,33,33,4,4,2026-08-21
2024,Questão de Ordem,1,0,,,,,0,1,2026-08-21
2024,Recurso,2,0,,,,,0,2,2026-08-21
2024,Requerimento,702,0,,,,,0,702,2026-08-21
2025,Indicação,2664,0,,,,,0,2664,2026-08-21
2025,Moção,624,0,,,,,0,624,2026-08-21
2025,Proc,20,0,,,,,20,20,2026-08-21
2025,Projeto de Decreto Legislativo,161,91,24,72,177,494,70,70,2026-08-21
2025,Projeto de Lei,609,139,14,38,152,472,470,470,2026-08-21
2025,Projeto de Lei Complementar,34,21,27,44,131,381,13,13,2026-08-21
2025,Projeto de Resolução,24,10,7,12,27,238,14,14,2026-08-21
2025,Proposta de Emenda à Lei Orgânica,3,0,,,,,3,3,2026-08-21
2025,Questão de Ordem,2,0,,,,,0,2,2026-08-21
2025,Requerimento,780,0,,,,,0,780,2026-08-21
2026,Indicação,1363,0,,,,,0,1363,2026-08-21
2026,Moção,313,0,,,,,0,313,2026-08-21
2026,Proc,6,0,,,,,6,6,2026-08-21
2026,Projeto de Decreto Legislativo,88,33,15,36,83,141,55,55,2026-08-21
2026,Projeto de Lei,347,54,8,15,53,120,293,293,2026-08-21
2026,Projeto de Lei Complementar,16,4,9,26,57,81,12,12,2026-08-21
2026,Projeto de Resolução,13,4,2,2,8,9,9,9,2026-08-21
2026,Proposta de Emenda à Lei Orgânica,3,1,47,47,47,47,2,2,2026-08-21
2026,Requerimento,503,1,1,1,1,1,0,502,2026-08-21
2026,Sugestão Legislativa,1,0,,,,,1,1,2026-08-21
