competencia,cargo,quantidade
2023-08,AJUDANTE GERAL,3
2023-08,BOMBEIRO CIVIL,9
2023-08,BOMBEIRO CIVIL LID,2
2023-08,BOMBEIRO CIVIL NOTURNO,7
2023-08,BOMBEIRO HIDRAULICO,2
2023-08,CONTROLADOR DE PROGRAMAÇÃO,2
2023-08,COPEIRA,7
2023-08,DIRETOR DE IMAGENS (COMISSÕES),4
2023-08,DIRETOR DE IMAGENS (PLENÁRIO/ESTÚDIO),3
2023-08,EDITOR DE MÍDIA AUDIOVISUAL,3
2023-08,EDITOR DE MÍDIA AUDIOVISUAL (PÓS-PRODUÇÃO),2
2023-08,ELETRICISTA,2
2023-08,ELETRICISTA AR COND,1
2023-08,ENCARREGADO AR COND,1
2023-08,ENCARREGADO DE LIMPEZA,2
2023-08,ENCARREGADO DE MANUTENÇÃO,1
2023-08,ENGENHEIRO CIVIL,1
2023-08,ENGENHEIRO MECÂNICO,1
2023-08,GARÇOM,2
2023-08,GARÇONETE,3
2023-08,GERENTE DE PROJETOS TV DIGITAL,1
2023-08,MARCENEIRO,1
2023-08,MECÂNICO VRF,1
2023-08,MECÂNICO ÁGUA GELADA,3
2023-08,OPERADOR CONTROLE MESTRE,3
2023-08,OPERADOR DE CAMÊRA UPE,8
2023-08,OPERADOR DE MÍDIA AUDIOVISUAL,4
2023-08,PEDREIRO,1
2023-08,PINTOR,1
2023-08,PRODUTOR DE TV,5
2023-08,RECEPCIONISTA,7
2023-08,SERVENTE,33
2023-08,SERVENTE COM INSALUBRIDADE,3
2023-08,SUPERVISOR 1,1
2023-08,SUPERVISOR 2,1
2023-08,SUPERVISOR DE ATENDIMENTO,1
2023-08,SUPERVISOR TÉCNICO,1
2023-08,TÉCNICO DE SISTEMAS AUDIOVISUAIS,4
2023-08,TÉCNICO DE SUPORTE,3
2023-08,TÉCNICO TELECOMUNICAÇÕES,1
2023-08,VIGILANTE DIURNO,42
2023-08,VIGILANTE NOTURNO,8
2023-08,WEB DESIGNER EM TV,1
2023-09,AJUDANTE GERAL,3
2023-09,BOMBEIRO CIVIL,9
2023-09,BOMBEIRO CIVIL LID,2
2023-09,BOMBEIRO CIVIL NOTURNO,7
2023-09,BOMBEIRO HIDRAULICO,2
2023-09,CONTROLADOR DE PROGRAMAÇÃO,2
2023-09,COPEIRA,7
2023-09,DIRETOR DE IMAGENS (COMISSÕES),4
2023-09,DIRETOR DE IMAGENS (PLENÁRIO/ESTÚDIO),3
2023-09,EDITOR DE MÍDIA AUDIOVISUAL,3
2023-09,EDITOR DE MÍDIA AUDIOVISUAL (PÓS-PRODUÇÃO),2
2023-09,ELETRICISTA,2
2023-09,ELETRICISTA AR COND,1
2023-09,ENCARREGADO AR COND,1
2023-09,ENCARREGADO DE LIMPEZA,2
2023-09,ENCARREGADO DE MANUTENÇÃO,1
2023-09,ENGENHEIRO CIVIL,1
2023-09,ENGENHEIRO MECÂNICO,1
2023-09,GARÇOM,2
2023-09,GARÇONETE,3
2023-09,GERENTE DE PROJETOS TV DIGITAL,1
2023-09,MARCENEIRO,1
2023-09,MECÂNICO VRF,1
2023-09,MECÂNICO ÁGUA GELADA,3
2023-09,OPERADOR CONTROLE MESTRE,3
2023-09,OPERADOR DE CAMÊRA UPE,8
2023-09,OPERADOR DE MÍDIA AUDIOVISUAL,4
2023-09,PEDREIRO,1
2023-09,PINTOR,1
2023-09,PRODUTOR DE TV,5
2023-09,RECEPCIONISTA,7
2023-09,SERVENTE,33
2023-09,SERVENTE COM INSALUBRIDADE,3
2023-09,SUPERVISOR 1,1
2023-09,SUPERVISOR 2,1
2023-09,SUPERVISOR DE ATENDIMENTO,1
2023-09,SUPERVISOR TÉCNICO,1
2023-09,TÉCNICO DE SISTEMAS AUDIOVISUAIS,4
2023-09,TÉCNICO DE SUPORTE,3
2023-09,TÉCNICO TELECOMUNICAÇÕES,1
2023-09,VIGILANTE DIURNO,42
2023-09,VIGILANTE NOTURNO,8
2023-09,WEB DESIGNER EM TV,1
