competencia,empresa,cnpj,quantidade
2023-08,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2023-08,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2023-08,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2023-08,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2023-08,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2023-08,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2023-08,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
2023-08,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,04744995000156,13
2023-08,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,11349160000167,18
2023-09,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2023-09,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2023-09,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2023-09,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2023-09,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2023-09,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2023-09,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
2023-09,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,04744995000156,13
2023-09,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,11349160000167,18
2023-10,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2023-10,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2023-10,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2023-10,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2023-10,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2023-10,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2023-10,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
2023-10,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,04744995000156,13
2023-10,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,11349160000167,18
2023-11,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2023-11,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2023-11,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2023-11,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2023-11,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2023-11,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2023-11,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
2023-11,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,04744995000156,13
2023-11,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,11349160000167,18
2023-12,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2023-12,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2023-12,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2023-12,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2023-12,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2023-12,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2023-12,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
2023-12,TOP SERVICOS E CONSTRUCOES EIRELI - EPP,04744995000156,13
2023-12,VIPPIN SEGURANÇA E VIGILÂNCIA LTDA,11349160000167,18
2024-01,CLIMATICA ENGENHARIA EIRELI,02604476000167,7
2024-01,JME SERVIÇOS INTEGRADOS E EQUIPAMENTOS LTDA,38036000000114,41
2024-01,PARTNER SECURITY SERVIÇOS DE SEGURANÇA LTDA,12817803000465,52
2024-01,PONTUAL SERVIÇOS GERAIS LTDA,13569390000167,7
2024-01,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,26963645000113,4
2024-01,R2R CONSTRUÇÕES E SERVIÇOS EIRELI,07566931000109,12
2024-01,SEFIX - GESTÃO DE PROFISSIONAIS LTDA,13258899000199,38
