ano,mes,mes_numero,transferencias_financeiras_enviadas,repasses_financeiros_enviados,as_of
2022,JANEIRO,1,"0,00","0,00",2026-02-05T17:49:24.555261
2022,FEVEREIRO,2,"0,00","0,00",2026-02-05T17:49:24.555261
2022,MARÇO,3,"0,00","0,00",2026-02-05T17:49:24.555261
2022,ABRIL,4,"0,00","0,00",2026-02-05T17:49:24.555261
2022,MAIO,5,"0,00","0,00",2026-02-05T17:49:24.555261
2022,JUNHO,6,"0,00","0,00",2026-02-05T17:49:24.555261
2022,JULHO,7,"0,00","0,00",2026-02-05T17:49:24.555261
2022,AGOSTO,8,"0,00","0,00",2026-02-05T17:49:24.555261
2022,SETEMBRO,9,"0,00","0,00",2026-02-05T17:49:24.555261
2022,OUTUBRO,10,"0,00","0,00",2026-02-05T17:49:24.555261
2022,NOVEMBRO,11,"0,00","0,00",2026-02-05T17:49:24.555261
2022,DEZEMBRO,12,"0,00","0,00",2026-02-05T17:49:24.555261
2023,JANEIRO,1,"0,00","0,00",2026-02-05T17:49:24.555261
2023,FEVEREIRO,2,"0,00","0,00",2026-02-05T17:49:24.555261
2023,MARÇO,3,"0,00","0,00",2026-02-05T17:49:24.555261
2023,ABRIL,4,"0,00","0,00",2026-02-05T17:49:24.555261
2023,MAIO,5,"0,00","0,00",2026-02-05T17:49:24.555261
2023,JUNHO,6,"0,00","0,00",2026-02-05T17:49:24.555261
2023,JULHO,7,"0,00","0,00",2026-02-05T17:49:24.555261
2023,AGOSTO,8,"0,00","0,00",2026-02-05T17:49:24.555261
2023,SETEMBRO,9,"0,00","0,00",2026-02-05T17:49:24.555261
2023,OUTUBRO,10,"0,00","0,00",2026-02-05T17:49:24.555261
2023,NOVEMBRO,11,"0,00","0,00",2026-02-05T17:49:24.555261
2023,DEZEMBRO,12,"0,00","0,00",2026-02-05T17:49:24.555261
2024,JANEIRO,1,"0,00","0,00",2026-02-05T17:49:24.555261
2024,FEVEREIRO,2,"0,00","0,00",2026-02-05T17:49:24.555261
2024,MARÇO,3,"0,00","0,00",2026-02-05T17:49:24.555261
2024,ABRIL,4,"0,00","0,00",2026-02-05T17:49:24.555261
2024,MAIO,5,"0,00","0,00",2026-02-05T17:49:24.555261
2024,JUNHO,6,"0,00","0,00",2026-02-05T17:49:24.555261
2024,JULHO,7,"0,00","0,00",2026-02-05T17:49:24.555261
2024,AGOSTO,8,"0,00","0,00",2026-02-05T17:49:24.555261
2024,SETEMBRO,9,"0,00","0,00",2026-02-05T17:49:24.555261
2024,OUTUBRO,10,"0,00","0,00",2026-02-05T17:49:24.555261
2024,NOVEMBRO,11,"0,00","0,00",2026-02-05T17:49:24.555261
2024,DEZEMBRO,12,"0,00","0,00",2026-02-05T17:49:24.555261
2025,JANEIRO,1,"0,00","0,00",2026-02-05T17:49:24.555261
2025,FEVEREIRO,2,"0,00","0,00",2026-02-05T17:49:24.555261
2025,MARÇO,3,"0,00","0,00",2026-02-05T17:49:24.555261
2025,ABRIL,4,"0,00","0,00",2026-02-05T17:49:24.555261
2025,MAIO,5,"0,00","0,00",2026-02-05T17:49:24.555261
2025,JUNHO,6,"0,00","0,00",2026-02-05T17:49:24.555261
2025,JULHO,7,"0,00","0,00",2026-02-05T17:49:24.555261
2025,AGOSTO,8,"0,00","0,00",2026-02-05T17:49:24.555261
2025,SETEMBRO,9,"0,00","0,00",2026-02-05T17:49:24.555261
2025,OUTUBRO,10,"0,00","0,00",2026-02-05T17:49:24.555261
2025,NOVEMBRO,11,"0,00","0,00",2026-02-05T17:49:24.555261
2025,DEZEMBRO,12,"0,00","0,00",2026-02-05T17:49:24.555261
2026,JANEIRO,1,"0,00","0,00",2026-02-05T17:49:24.555261
2026,FEVEREIRO,2,"0,00","0,00",2026-02-05T17:49:24.555261
2026,MARÇO,3,"0,00","0,00",2026-02-05T17:49:24.555261
2026,ABRIL,4,"0,00","0,00",2026-02-05T17:49:24.555261
2026,MAIO,5,"0,00","0,00",2026-02-05T17:49:24.555261
2026,JUNHO,6,"0,00","0,00",2026-02-05T17:49:24.555261
2026,JULHO,7,"0,00","0,00",2026-02-05T17:49:24.555261
2026,AGOSTO,8,"0,00","0,00",2026-02-05T17:49:24.555261
2026,SETEMBRO,9,"0,00","0,00",2026-02-05T17:49:24.555261
2026,OUTUBRO,10,"0,00","0,00",2026-02-05T17:49:24.555261
2026,NOVEMBRO,11,"0,00","0,00",2026-02-05T17:49:24.555261
2026,DEZEMBRO,12,"0,00","0,00",2026-02-05T17:49:24.555261
